study,name,label,label_de,description,description_de,topic,topic_old
soep-core,_100_p_tim,"hours sunday job, training","beruf,lehre,nebenerw. std., so",,,tim,t0901000000000000
soep-core,_1000_p_ila,developments in cost of living,entwicklung des lebensunterhaltskosten,,,ila,t0802030000000000
soep-core,_1001_p_ila,developments in local environment,entwicklung d. reg. umweltsituation,,,ila,t0802030000000000
soep-core,_1002_p_ila,developments in political activity,entwicklung der polit. einflussnahme,,,ila,t0802030000000000
soep-core,_1004_p_dtw,place of work in east or west germany,arbeitsplatz in alten bzw. neuen bl.,,,dtw,t0203050100000000
soep-core,_1005_p_trf,no income at all prev yr,1993 ueberhaupt keine einkuenfte,,,trf,t0302000000000000
soep-core,_1007_p_isd,disability benefits declined,erwerbsunfaehigkeitsrente abgelehnt,,,isd,t0501040000000000
soep-core,_1008_p_isd,year declined disability benefits,jahr ablehnung d. erwerbsunfaehigk.rente,,,isd,t0501040000000000
soep-core,_1009_p_dov,number of visits to general practitioner,anzahl d. besuche bei prakt. arzt,,,dov,t0502020000000000
soep-core,_101_p_tim,hours sunday on handicraft work,"nebenerwerbsttgkt,sonntg.o.ber.tgkt,std",,,tim,t0901000000000000
soep-core,_1010_p_dov,number of visits to internist,anzahl d. besuche beim internisten,,,dov,t0502020000000000
soep-core,_1011_p_dov,number of visits to dentist,anzahl d. besuche beim zahnarzt,,,dov,t0502020000000000
soep-core,_1012_p_dov,number of visits to gynecologist,anzahl d. besuche beim frauenarzt,,,dov,t0502020000000000
soep-core,_1013_p_dov,number of visits to ent specialist,anzahl d. besuche beim h-n-o arzt,,,dov,t0502020000000000
soep-core,_1014_p_dov,number of visits to orthopaedist,anzahl d. besuche beim orthopaeden,,,dov,t0502020000000000
soep-core,_1015_p_dov,number of visits to dermatologist,anzahl d. besuche beim hautarzt,,,dov,t0502020000000000
soep-core,_1016_p_dov,number of visits to urologist,anzahl d. besuche beim urologen,,,dov,t0502020000000000
soep-core,_1017_p_dov,number of visits to optometrist,anzahl d. besuche beim augenarzt,,,dov,t0502020000000000
soep-core,_1018_p_dov,number of visits to radiologist,anzahl d. besuche beim roentgenarzt,,,dov,t0502020000000000
soep-core,_1019_p_dov,number of visits to other doctor,anzahl d. besuche bei sonstigen aerzten,,,dov,t0502020000000000
soep-core,_1031_p_vda,higher standard of living,hoher lebensstandard,,,vda,t0802020000000000
soep-core,_1032_p_vda,develop creativity,"phantasie,kreativit. entwickeln",,,vda,t0802020000000000
soep-core,_1033_p_vda,respect law and order,"gesetz,ordnung respektieren",,,vda,t0802020000000000
soep-core,_1034_p_vda,support disadvantaged groups,fuer benacht. gruppen einsetzen,,,vda,t0802020000000000
soep-core,_1035_p_vda,strive for safety,nach sicherheit streben,,,vda,t0802020000000000
soep-core,_1036_p_vda,be politically active,sich politisch engagieren,,,vda,t0802020000000000
soep-core,_1037_p_vda,enjoy the good things in life,gute dinge d. lebens geniessen,,,vda,t0802020000000000
soep-core,_1038_p_vda,"be industrious,ambitious","fleissig, ehrgeizig sein",,,vda,t0802020000000000
soep-core,_1039_p_vda,live life to the fullest,"gefuehle offen zeigen, ausleben",,,vda,t0802020000000000
soep-core,_1040_p_vda,help others,"and. menschen helfen, nicht a.s.denken",,,vda,t0802020000000000
soep-core,_1041_p_vda,assert oneself,seine beduerf. geg. andere durchsetzen,,,vda,t0802020000000000
soep-core,_1042_p_mbr,"not a trade union,association member",kein mitglied v. gewerks. berufsverb,,,mbr,t0804000000000000
soep-core,_1043_p_oct,year last job ended,erwerbstaetig gewesen bis zum jahr ..,,,oct,t0205010000000000
soep-core,_1044_p_lme,never gainfully employed,nie erwerbstaetig,,,lme,t0201050000000000
soep-core,_1045_p_jcl,employment status in last job,letzter erwerbsstatus,,,jcl,t0205050000000000
soep-core,_1046_p_jcl,last worked in civil service,"letzter betrieb,oeffentlicher dienst",,,jcl,t0205050000000000
soep-core,_1047_p_jcl,last worked as blue-collar worker,"letzte stellung,arbeiter",,,jcl,t0205050000000000
soep-core,_1048_p_jcl,last worked as self-employed,"letzte stellung,selbstaendige",,,jcl,t0205050000000000
soep-core,_1049_p_jcl,"last was in training,education","letzte stellung,auszubildende, praktikt.",,,jcl,t0205050000000000
soep-core,_1050_p_jcl,last worked as white-collar worker,"letzte stellung,angestellte",,,jcl,t0205050000000000
soep-core,_1051_p_jcl,last worked as public servant,"letzte stellung,=beamte",,,jcl,t0205050000000000
soep-core,_1065_p_oct,year last job ended,ende letzte stellung im jahr ..,,,oct,t0205010000000000
soep-core,_107_p_tim,hours sunday running errands,"besorgungen std., so",,,tim,t0901000000000000
soep-core,_1127_p_saf,number of most important course,wichtigster kurs nr.,,,saf,t0705030000000000
soep-core,_1128_p_saf,all courses are equally important,ein kurs bzw. alle gleich wichtig,,,saf,t0705030000000000
soep-core,_113_p_tim,"hours saturday on housework,errands","hausarbt,besorg.,samstag.m.ber.tgkt,std",,,tim,t0901000000000000
soep-core,_114_p_tim,"hours saturday on housework,errands","hausarbt,besorg.,samstag.o.ber.tgkt,std",,,tim,t0901000000000000
soep-core,_1141_p_fvi,initiative for taking course,kursteilnahme,,,fvi,t0705020700000000
soep-core,_1148_p_fvf,provider of financial support,finan.hilfe und zwar,,,fvf,t0705020800000000
soep-core,_1153_p_fvf,further education exc financial support,motivation zu bw ohne finaz.hilfe,,,fvf,t0705020800000000
soep-core,_116_p_tim,"hours sunday on housework,errands","hausarbt,besorg.,sonntag.m.ber.tgkt,std",,,tim,t0901000000000000
soep-core,_1162_p_saf,further education worthwhile,hat sich weiterbildung ausgezahlt,,,saf,t0705030000000000
soep-core,_1163_p_saf,newly acquired skills useful in new job,wb anwendbar i. anderem betrieb,,,saf,t0705030000000000
soep-core,_1164_p_saf,media about health topics,medien zu gesundh.fragen,,,saf,t0705030000000000
soep-core,_1165_p_saf,media lectures about raising children,"medien zu kindererz.,schule",,,saf,t0705030000000000
soep-core,_1166_p_saf,"media about personal, family problems",medien zu partnersch.fragen,,,saf,t0705030000000000
soep-core,_1167_p_saf,media about language skills,medien zu sprachkenntnissen,,,saf,t0705030000000000
soep-core,_1168_p_saf,media about practical crafts or trades,"medien zu prakt.,handw. faehigkt.",,,saf,t0705030000000000
soep-core,_1169_p_saf,"lectures about pc, internet","lehrgang zu pc,internet",,,saf,t0705030000000000
soep-core,_117_p_tim,"hours sunday on housework,errands","hausarbt,besorg.,sonntag.o.ber.tgkt,std",,,tim,t0901000000000000
soep-core,_1170_p_saf,"media about pc, internet","medien zu pc,internet",,,saf,t0705030000000000
soep-core,_1171_p_saf,"media about musical, artistic skills","medien zu kuenstl.,musikal. faehigkt.",,,saf,t0705030000000000
