conceptual_dataset_name,label,label_de,description
track,Tracking Data,Struktur-/Pfad-Daten,Essential files to track persons or household over time
org/gross,Gross Data,Brutto-Daten,"Information on gross sample, mostly from the field work"
org/net,Original Data,Fragebogendaten (netto),"Information from succesfull interviewed respondents, mostly based on a questionnaire"
survey,Survey Data,Methodendaten,Dataset describing the survey design or weighting scheme
gen,Generated Data,Generierte Daten,Generated data and check for longitudinally consistency
spell,Spell Data,,
raw,Raw data (undistributed),Rohdaten (nicht veröffentlicht),Undistributed original datasets
tl-track,Tracking Data (top level folder),Struktur-/Pfad-Daten,Essential files to track persons or household over time
tl-org/gross,Gross Data (top level folder),Brutto-Daten,"Information on gross sample, mostly from the field work"
tl-org/net,Original Data (top level folder),Fragebogendaten (netto),"Information from succesfull interviewed respondents, mostly based on a questionnaire"
tl-survey,Survey Data (top level folder),Methodendaten,Dataset describing the survey design or weighting scheme
tl-gen,Generated Data (top level folder),Generierte Daten,Generated data and check for longitudinally consistency
tl-spell,Spell Data (top level folder),Generierte Daten,Generated data and check for longitudinally consistency
raw-track,Tracking Data (raw folder),Struktur-/Pfad-Daten,Essential files to track persons or household over time
raw-org/gross,Gross Data (raw),Brutto-Daten,"Information on gross sample, mostly from the field work"
raw-org/net,Original Data (raw),Fragebogendaten (netto),"Information from succesfull interviewed respondents, mostly based on a questionnaire"
raw-survey,Survey Data (raw),Methodendaten,Dataset describing the survey design or weighting scheme
raw-gen,Generated Data (raw),Generierte Daten,Generated data and check for longitudinally consistency
raw-spell,Spell Data (raw),Generierte Daten,Generated data and check for longitudinally consistency
