study,name,label,label_de,parent
soep-core,na,not assigned!,not assigned! [DE],
soep-core,dp,demography and population,demography and population [DE],
soep-core,im,"integration, migration, transnationalization","integration, migration, transnationalization [DE]",
soep-core,hc,health and care,health and care [DE],
soep-core,we,work and employment,work and employment [DE],
soep-core,ed,education and qualification,education and qualification [DE],
soep-core,fn,family and social networks,family and social networks [DE],
soep-core,at,"attitudes, values, and personality","attitudes, values, and personality [DE]",
soep-core,ha,"home, amenities, and contributions of private hh","home, amenities, and contributions of private hh [DE]",
soep-core,tu,time use and environmental behavior,time use and environmental behavior [DE],
soep-core,it,"income, taxes, and social security","income, taxes, and social security [DE]",
soep-core,sm,survey methodology,survey methodology [DE],
soep-core,bad,birth date / age / year of death,birth date / age / year of death [DE],dp
soep-core,hhs,household size and structure,household size and structure [DE],dp
soep-core,bih,birth history,birth history [DE],dp
soep-core,sex,sex,sex [DE],dp
soep-core,cpe,career plans and expectations,career plans and expectations [DE],we
soep-core,ocm,occupational mobility,occupational mobility [DE],we
soep-core,was,wages / salary,wages / salary [DE],we
soep-core,cne,cnef equivalent file -employment-,cnef equivalent file -employment- [DE],we
soep-core,est,employment status,employment status [DE],we
soep-core,ech,employment and career history,employment and career history [DE],we
soep-core,cce,characteristics of job with current employer,characteristics of job with current employer [DE],we
soep-core,whs,working hours,working hours [DE],we
soep-core,sej,side job,side job [DE],we
soep-core,joc,job change,job change [DE],ech
soep-core,lme,labor market experience,labor market experience [DE],ech
soep-core,eha,employment history since the age of 15 on an annual basis (spell data),employment history since the age of 15 on an annual basis (spell data) [DE],ech
soep-core,ljo,last job,last job [DE],ech
soep-core,ljb,last job (at the point in time of the biography questionnaire),last job (at the point in time of the biography questionnaire) [DE],ech
soep-core,esp,employment status in previous (calendar) year on monthly basis,employment status in previous (calendar) year on monthly basis [DE],est
soep-core,esc,current employment status,current employment status [DE],est
soep-core,esm,employment status on monthly basis (spell data),employment status on monthly basis (spell data) [DE],est
soep-core,sjp,side job in previous (calendar) year,side job in previous (calendar) year [DE],esp
soep-core,min,mini-jobs in previous (calendar) year,mini-jobs in previous (calendar) year [DE],esp
soep-core,onl,on leave from work in previous (calendar) year,on leave from work in previous (calendar) year [DE],esp
soep-core,mcv,military / civil service in previous (calendar) year,military / civil service in previous (calendar) year [DE],esp
soep-core,esf,employed full-time in previous (calendar) year,employed full-time in previous (calendar) year [DE],esp
soep-core,hom,homemaker in previous (calendar) year,homemaker in previous (calendar) year [DE],esp
soep-core,oft,occupational further training / retraining in previous (calendar) year,occupational further training / retraining in previous (calendar) year [DE],esp
soep-core,oth,other in previous (calendar) year,other in previous (calendar) year [DE],esp
soep-core,ept,employed part-time in previous (calendar) year,employed part-time in previous (calendar) year [DE],esp
soep-core,rue,registered unemployed in previous (calendar) year,registered unemployed in previous (calendar) year [DE],esp
soep-core,stw,short-time work in previous (calendar) year,short-time work in previous (calendar) year [DE],esp
soep-core,scp,school / university in previous (calendar) year,school / university in previous (calendar) year [DE],esp
soep-core,rep,retirement / pension in previous (calendar) year,retirement / pension in previous (calendar) year [DE],esp
soep-core,sde,"start, duration, and end date of current job","start, duration, and end date of current job [DE]",cce
soep-core,cuo,current occupation,current occupation [DE],cce
soep-core,woe,work environment,work environment [DE],cce
soep-core,ttw,travel to work,travel to work [DE],cce
soep-core,cec,company / employer characteristics,company / employer characteristics [DE],cce
soep-core,cts,type and size of company,type and size of company [DE],cec
soep-core,ind,sector,sector [DE],cec
soep-core,cag,age of company,age of company [DE],cec
soep-core,cdv,company development,company development [DE],cec
soep-core,oap,occupational activity and prestige,occupational activity and prestige [DE],cuo
soep-core,req,required qualifications,required qualifications [DE],cuo
soep-core,ocs,occupational status,occupational status [DE],cuo
soep-core,sim,"subjective importance of occupational activity, occupational strain, and recognition","subjective importance of occupational activity, occupational strain, and recognition [DE]",woe
soep-core,wkc,working conditions,working conditions [DE],woe
soep-core,dtw,distance to work,distance to work [DE],ttw
soep-core,mtr,means of transportation used to reach workplace,means of transportation used to reach workplace [DE],ttw
soep-core,abs,absenteeism,absenteeism [DE],whs
soep-core,whb,working hours preferences and work-family balance,working hours preferences and work-family balance [DE],whs
soep-core,whn,number of working hours,number of working hours [DE],whs
soep-core,whd,distribution of working hours,distribution of working hours [DE],whs
soep-core,whp,special type of working hour possibilities,special type of working hour possibilities [DE],whn
soep-core,whr,regular working hours,regular working hours [DE],whn
soep-core,who,overtime,overtime [DE],whn
soep-core,dmm,days missed in the last month,days missed in the last month [DE],abs
soep-core,dmy,days missed in the last two halves of the year,days missed in the last two halves of the year [DE],abs
soep-core,vac,vacation days,vacation days [DE],abs
soep-core,oct,type and point in time of occupational change,type and point in time of occupational change [DE],ocm
soep-core,ocr,reasons for occupational change,reasons for occupational change [DE],ocm
soep-core,jcl,job characteristics with last employer,job characteristics with last employer [DE],ocm
soep-core,occ,comparison of current job characteristics to previous job,comparison of current job characteristics to previous job [DE],ocm
soep-core,tjs,type of job search,type of job search [DE],ocm
soep-core,sef,field of work in side job,field of work in side job [DE],sej
soep-core,see,hours and earnings in side job,hours and earnings in side job [DE],sej
soep-core,rlm,re-entry to labor market and future work plans (for non-employed respondents),re-entry to labor market and future work plans (for non-employed respondents) [DE],cpe
soep-core,pow,plans of older working people for the future,plans of older working people for the future [DE],cpe
soep-core,cex,career expectations (employed respondents),career expectations (employed respondents) [DE],cpe
soep-core,epy,earnings in previous year,earnings in previous year [DE],was
soep-core,cue,current earnings,current earnings [DE],was
soep-core,wab,basic wages,basic wages [DE],cue
soep-core,adb,additional benefits,additional benefits [DE],cue
soep-core,spf,subjective perception of fairness,subjective perception of fairness [DE],cue
soep-core,wsp,wages / salary in previous year,wages / salary in previous year [DE],epy
soep-core,isj,income from side jobs in previous year,income from side jobs in previous year [DE],epy
soep-core,abp,additional benefits in previous year,additional benefits in previous year [DE],epy
soep-core,ise,income from self-employment in previous year,income from self-employment in previous year [DE],epy
soep-core,trf,transfers,transfers [DE],it
soep-core,pen,pensions,pensions [DE],it
soep-core,ass,assets,assets [DE],it
soep-core,cos,consumption and savings,consumption and savings [DE],it
soep-core,inc,income,income [DE],it
soep-core,pin,personal income,personal income [DE],inc
soep-core,hhi,household income,household income [DE],inc
soep-core,tax,taxes,taxes [DE],inc
soep-core,moi,monthly income,monthly income [DE],hhi
soep-core,ipy,income in previous year,income in previous year [DE],hhi
soep-core,sue,subjective evaluation,subjective evaluation [DE],hhi
soep-core,irl,income from rentals and leasing,income from rentals and leasing [DE],ipy
soep-core,idl,money earned from domestic and livestock production,money earned from domestic and livestock production [DE],ipy
soep-core,iid,income from interest and dividends,income from interest and dividends [DE],ipy
soep-core,sem,self-employment,self-employment [DE],pin
soep-core,wsa,wages and salary,wages and salary [DE],pin
soep-core,sij,side jobs,side jobs [DE],wsa
soep-core,mic,military / civil service pay,military / civil service pay [DE],wsa
soep-core,ads,additional benefits,additional benefits [DE],wsa
soep-core,hht,household-related transfers,household-related transfers [DE],trf
soep-core,ptr,personal transfers,personal transfers [DE],trf
soep-core,cbe,child benefit / supplementary child benefit,child benefit / supplementary child benefit [DE],hht
soep-core,ltc,long-term care insurance,long-term care insurance [DE],hht
soep-core,hal,housing allowance,housing allowance [DE],hht
soep-core,bis,basic income support in old age,basic income support in old age [DE],hht
soep-core,sas,alg ii / social assistance,alg ii / social assistance [DE],hht
soep-core,pmc,"parental, maternity, and child-raising allowance","parental, maternity, and child-raising allowance [DE]",ptr
soep-core,prt,private transfers,private transfers [DE],ptr
soep-core,erb,early retirement benefits,early retirement benefits [DE],ptr
soep-core,sup,spousal/child support payments,spousal/child support payments [DE],ptr
soep-core,ueb,unemployment benefits,unemployment benefits [DE],ptr
soep-core,bfg,bafoeg student grants / scholarships,bafoeg student grants / scholarships [DE],ptr
soep-core,rir,riester pension,riester pension [DE],pen
soep-core,old,old-age and disability pensions,old-age and disability pensions [DE],pen
soep-core,pcn,pension contribution,pension contribution [DE],pen
soep-core,pfd,pension fund,pension fund [DE],pen
soep-core,wid,widow's / orphan's pension,widow's / orphan's pension [DE],pen
soep-core,asc,asset categories,asset categories [DE],ass
soep-core,ast,total assets,total assets [DE],ass
soep-core,ori,original responses,original responses [DE],ass
soep-core,asp,personal assets,personal assets [DE],ast
soep-core,ash,household assets,household assets [DE],ast
soep-core,bas,business assets,business assets [DE],asc
soep-core,opr,other properties,other properties [DE],asc
