study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,concept,filter,goto,description,number
soep-core,soep-core-2014-e1,0,,753,"Herzlichen Glückwunsch, noch nachträglich, zur Geburt Ihres Kindes! Für das „Leben in Deutschland“ ist die nachwachsende Generation besonders wichtig. In diesem kurzen Fragebogen geht es um Kinder, die im Jahr 2013 oder 2014 geboren wurden. Unsere Fragen beziehen sich auf Ihre persönlichen Erfahrungen und die Entwicklung des Kindes. Da es auch um die Schwangerschaft geht, richtet sich der Fragebogen nur an die Mütter.
Ihre Mitarbeit ist freiwillig. 
Wir bitten Sie aber herzlich,
- unserem Mitarbeiter die Fragen zu beantworten 
- oder den Fragebogen sorgfältig selbst auszufüllen.",,"Belated congratulations on the birth of your baby! For “Living in Germany” the next generation is especially important. This short questionnaire deals with children, who were born in 2013 or 2014. Our questions refer to your personal experiences and the child's growth. Because the questionnaire is about the pregnancy too, the following  survey is aimed for the mother. 
The participation is voluntarily.
We cordially request you, to answer the questions for our Interviewer or to fill out the questionnaire by yourself accurately. ",,txt,,,,,,
soep-core,soep-core-2014-e1,0,1,753,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,"Before handing in the questionnaire, please enter in accordance with the address log:",,txt,,,,,,
soep-core,soep-core-2014-e1,0,hnr,753,Nr. des Haushalts:,,Household number:,,int,,hnr,,,,
soep-core,soep-core-2014-e1,0,avati,753,Vom Vater ausgefüllt,,Completed by father:,,bin,,avati,,,,
soep-core,soep-core-2014-e1,0,mname,753,Vorname der Mutter:,Bitte in Druckbuchstaben,Mother‘s first name:,Please print in capital letters.,chr,,mname,,,,
soep-core,soep-core-2014-e1,0,mpnr,753,Person Nr.:,,Person ID,,int,,mpnr,,,,
soep-core,soep-core-2014-e1,1,,754,Wie heißt Ihr neugeborenes Kind?,,What’s your newborn child’s name?,,txt,,,,,,
soep-core,soep-core-2014-e1,1,aname,754,Vorname des Kindes,Bitte in Druckbuchstaben,Child’s first name,Please print in capital letters.,chr,,aname,,,,
soep-core,soep-core-2014-e1,1,apnr,754,Personen Nr.,,Person ID,,int,,apnr,,,,
soep-core,soep-core-2014-e1,2,,755,In welchem Jahr und Monat wurde Ihr Kind geboren?,,In what year and month was your child born?,,cat,242+,agebj,,,,
soep-core,soep-core-2014-e1,2,agebm,755,Monat,,Month,,int,,agebm,,,,
soep-core,soep-core-2014-e1,3,,756,An welchem Ort fand die Entbindung statt?,,Where was your baby delivered?,,cat,243+,aent,,,,
soep-core,soep-core-2014-e1,3,aent1,756,War es eine Entbindung mit Kaiserschnitt?,,Was the baby delivered by caesarean section?,,cat,1+,aent1,3;aent=2|3,,,
soep-core,soep-core-2014-e1,4,,757,In der wievielten Schwangerschaftswoche wurde Ihr Kind geboren?,,In what week of pregnancy was your baby born?,,txt,,,,,,
soep-core,soep-core-2014-e1,4,awoch,757,In der ... Woche,,In the … week,,int,,awoch,,,,
soep-core,soep-core-2014-e1,5,,758,Wie groß und schwer war Ihr Kind zum Zeitpunkt der Geburt?,,What did your baby weigh/measure at birth?,,txt,,,,,,
soep-core,soep-core-2014-e1,5,agew,758,Geburtsgewicht in Gramm,,Birth weight in grams,,int,,agew,,,,
soep-core,soep-core-2014-e1,5,agro,758,Körpergröße in cm,,Height in centimeters,,int,,agro,,,,
soep-core,soep-core-2014-e1,5,akop,758,Kopfumfang in cm,,Head circumference in centimeters,,int,,akop,,,,
soep-core,soep-core-2014-e1,6,,759,"Haben Sie Ihr Kind gestillt, und wenn ja, wie lange?",,Did you breastfeed your baby?,,cat,244+,astil1,,,,
soep-core,soep-core-2014-e1,6,astil2,759,Habe länger gestillt und zwar ... Monate,,I breastfed for a longer period: … months,,int,,astil2,,,,
soep-core,soep-core-2014-e1,7,,760,"Gab es bei Ihrem Kind in den ersten drei Monaten nach der Geburt ernste gesundheitliche Probleme, die einen Krankenhausaufenthalt notwendig machten?",,"During the first three months after your baby’s birth, did your child experience health problems that necessitated a hospital stay?",,cat,1+,ages1,,,,
soep-core,soep-core-2014-e1,7,ages2,760,[Ja] und zwar...Tage,,[Yes]: … days,,int,,ages2,7;ages1=1,,,
soep-core,soep-core-2014-e1,8,,761,"Nach der Geburt erhält man ein „Kinder-Untersuchungsheft“ für ärztliche Vorsorgeuntersuchungen (U2, U3, usw.). Welche war die letzte durchgeführte Untersuchung bei Ihrem Kind? ",,"After giving birth, the mother receives a “child health record” for medical check-ups (referred to as “U2” for the second check-up, “U3” for the third, etc.). Which was your child’s last check-up?",,txt,,,,,,
soep-core,soep-core-2014-e1,8,aunt,761,„U“,,“U”,,int,,aunt,,,,
soep-core,soep-core-2014-e1,8,auntno,761,Es wurde keine dieser Untersuchungen durchgeführt,,None of these check-ups where conducted,,bin,,auntno,,,,
soep-core,soep-core-2014-e1,9,,762,"Wurden bei Ihrem Kind Anhaltspunkte für Verzögerungen, Störungen oder Behinderungen festgestellt? ",,"Has your child been diagnosed with any delays, disorders, or disabilities?",,cat,245+,astor,,3 @ 11,,
soep-core,soep-core-2014-e1,10,,763,"Welche der im Folgenden genannten Verzögerungen, Störungen oder Behinderungen wurden bei Ihrem Kind festgestellt?",Bitte alles Zutreffende ankreuzen.,"Has your child been diagnosed with any of the following developmental delays, disorders, or disabilities? ",Please mark all that apply.,txt,,,9;astor=1|2,,,
soep-core,soep-core-2014-e1,10,astor1,763,"Wahrnehmung (Sehen, Hören) ",,"sensory (sight, hearing)",,bin,,astor1,,,,
soep-core,soep-core-2014-e1,10,astor2,763,"Motorik (Greifen, Krabbeln, Laufen)",,"motor functions (grasping, crawling, walking)",,bin,,astor2,,,,
soep-core,soep-core-2014-e1,10,astor3,763,Neurologische Störung (Krämpfe u.ä),,neurological disorders (including cramps),,bin,,astor3,,,,
soep-core,soep-core-2014-e1,10,astor4,763,"Sprache (Lautbildung, Spracherwerbsstörung)",,"speech (pronunciation, speech acquisition disorders)",,bin,,astor4,,,,
soep-core,soep-core-2014-e1,10,astor5,763,"Regulation (untröstbares Schreien, dauerhafte Schlaf- oder Essstörung) ",,"regulatory system (inconsolable crying, ongoing sleeping or eating disorders)",,bin,,astor5,,,,
soep-core,soep-core-2014-e1,10,astor6,763,Chronische Krankheit,,chronic illness,,bin,,astor6,,,,
soep-core,soep-core-2014-e1,10,astor7,763,Körperliche Behinderung,,physical disability,,bin,,astor7,,,,
soep-core,soep-core-2014-e1,10,astor8,763,Geistige Behinderung,,mental disability,,bin,,astor8,,,,
soep-core,soep-core-2014-e1,10,astor9,763,Sonstiges,,other,,bin,,astor9,,,,
soep-core,soep-core-2014-e1,11,,764,Um Ihr wievieltes Kind handelt es sich bei dem Neugeborenen?,,"Is the newborn your first, second, third, etc. child? (Please state)",,txt,,,,,,
soep-core,soep-core-2014-e1,11,aanz,764,Es ist das ...te Kind.,,He/she is my … child,,int,,aanz,,,,
soep-core,soep-core-2014-e1,12,,765,Handelt es sich um Ihr leibliches Kind?,,Is the newborn your biological child?,,cat,1+,aleib,,2 @ 15,,
soep-core,soep-core-2014-e1,13,,766,War Ihre Schwangerschaft eher ungeplant oder geplant?,,Was your pregnancy more unplanned or more planned?,,cat,246+,aplan,12;aleib=1,,,
soep-core,soep-core-2014-e1,14,,767,Wie war Ihr körperliches und seelisches Befinden im letzten Drittel der Schwangerschaft und in den ersten drei Monaten nach der Geburt?,,How were you feeling physically and mentally during the last third of your pregnancy and during the first three months after giving birth?,,txt,,,,,,
soep-core,soep-core-2014-e1,14,abef1,767,[Körperliches Befinden] Im letzten Drittel der Schwangerschaft,,Physical State: In the last third of your pregnancy,,cat,247+,abef1,,,,
soep-core,soep-core-2014-e1,14,abef2,767,[Körperliches Befinden] In den ersten drei Monaten nach der Geburt,,Physical State:  In the first three months after childbirth,,cat,247+,abef2,,,,
soep-core,soep-core-2014-e1,14,abef3,767,[Seelisches Befinden] Im letzten Drittel der Schwangerschaft,,Mental State: In the last third of your pregnancy,,cat,247+,abef3,,,,
soep-core,soep-core-2014-e1,14,abef4,767,[Seelisches Befinden] In den ersten drei Monaten nach der Geburt,,Mental State: In the first three months after childbirth,,cat,247+,abef4,,,,
soep-core,soep-core-2014-e1,15,,768,"Bedingt durch die Geburt eines Kindes verändern sich ja die Lebensumstände. Man macht neue Erfahrungen und entwickelt neue Erwartungen an die Zukunft. 
Inwieweit stimmen Sie den folgenden Aussagen zu?",,Life changes after the birth of a child. You experience new things and start to have new expectations for the future. To what extent do you agree with the following statements?,,txt,,,,,,
soep-core,soep-core-2014-e1,15,aver1,768,Meine Lebensumstände haben sich sehr stark verändert,,My life has changed significantly,,cat,248+,aver1,,,,
