study,dataset,variable,label,concept,questionnaire,question,item
soep-core,bemuki,hhnr,Ursprungshaushaltsnummer,,,,
soep-core,bemuki,persnr,Unveraenderliche Personennummer des Kindes,,,,
soep-core,bemuki,welle,Erhebungsjahr,,,,
soep-core,bemuki,sample1,Stichprobenkennzeichen,,,,
soep-core,bemuki,hhnrakt,Aktuelle Haushaltsnummer (=BEHHNR),hnr,soep-core-2014-e1,0,hnr
soep-core,bemuki,behhnr,Aktuelle Haushaltsnummer (=HHNRAKT),,,0,hnr
soep-core,bemuki,bempnr,Aktuelle Personennummer der Mutter,mpnr,soep-core-2014-e1,0,mpnr
soep-core,bemuki,beapnr,Aktuelle Personennummer des Kindes,apnr,soep-core-2014-e1,1,apnr
soep-core,bemuki,beavati,Fragebogen ausgefuellt vom Vater,avati,soep-core-2014-e1,0,avati
soep-core,bemuki,bem0201,Geburtsjahr,agebj,soep-core-2014-e1,2,
soep-core,bemuki,bem0202,Geburtsmonat,agebm,soep-core-2014-e1,2,agebm
soep-core,bemuki,bem0301,Ort der Entbindung,aent,soep-core-2014-e1,3,
soep-core,bemuki,bem0302,Entbindung Kaiserschnitt,aent1,soep-core-2014-e1,3,aent1
soep-core,bemuki,bem04,Schwangerschaftswoche,awoch,soep-core-2014-e1,4,awoch
soep-core,bemuki,bem0501,Geburtsgewicht in Gramm,agew,soep-core-2014-e1,5,agew
soep-core,bemuki,bem0502,Koerpergroesse in cm,agro,soep-core-2014-e1,5,agro
soep-core,bemuki,bem0503,Kopfumfang in cm,akop,soep-core-2014-e1,5,akop
soep-core,bemuki,bem0601,Kind gestillt,astil1,soep-core-2014-e1,6,
soep-core,bemuki,bem0602,Monate Kind gestillt,astil2,soep-core-2014-e1,6,astil2
soep-core,bemuki,bem0701,Krankenhausaufenthalt in den ersten 3 Mon. nach  der Geburt,ages1,soep-core-2014-e1,7,
soep-core,bemuki,bem0702,Anzahl Tage im Krankenhaus,ages2,soep-core-2014-e1,7,ages2
soep-core,bemuki,bem0801,Art letzte aerztl. Vorsorgeuntersuchung lt. Untersuchungsheft,aunt,soep-core-2014-e1,8,aunt
soep-core,bemuki,bem0802,Keine aerztl. Vorsorgeuntersuchung lt. Kinder-Untersuchungsheft,auntno,soep-core-2014-e1,8,auntno
soep-core,bemuki,bem09,"Anhaltspunkte fuer Behinderung, Stoerung",astor,soep-core-2014-e1,9,
soep-core,bemuki,bem1001,Festgestellte Stoerungen: Wahrnehmung,astor1,soep-core-2014-e1,10,astor1
soep-core,bemuki,bem1002,Festgestellte Stoerungen: Motorik,astor2,soep-core-2014-e1,10,astor2
soep-core,bemuki,bem1003,Festgestellte Stoerungen: Neurolog. Stoerung,astor3,soep-core-2014-e1,10,astor3
soep-core,bemuki,bem1004,Festgestellte Stoerungen: Sprache,astor4,soep-core-2014-e1,10,astor4
soep-core,bemuki,bem1005,Festgestellte Stoerungen: Regulation,astor5,soep-core-2014-e1,10,astor5
soep-core,bemuki,bem1006,Festgestellte Stoerungen: Chronische Krankheit,astor6,soep-core-2014-e1,10,astor6
soep-core,bemuki,bem1007,Festgestellte Stoerungen: koerperliche Behinderung,astor7,soep-core-2014-e1,10,astor7
soep-core,bemuki,bem1008,Festgestellte Stoerungen: geistige Behinderung,astor8,soep-core-2014-e1,10,astor8
soep-core,bemuki,bem1009,Festgestellte Stoerung: Sonstiges,astor9,soep-core-2014-e1,10,astor9
soep-core,bemuki,bem11,Neugeborenes ist wievieltes Kind,aanz,soep-core-2014-e1,11,aanz
soep-core,bemuki,bem12,Neugeborenes ist leibliches Kind,aleib,soep-core-2014-e1,12,
soep-core,bemuki,bem13,Schwangerschaft geplant,aplan,soep-core-2014-e1,13,
soep-core,bemuki,bem1401,Koerperliches Befinden: im letzten Drittel der Schwangerschaft,abef1,soep-core-2014-e1,14,abef1
soep-core,bemuki,bem1402,Koerperliches Befinden: erste 3 Mon. nach  der Geburt,abef2,soep-core-2014-e1,14,abef2
soep-core,bemuki,bem1403,"Seel.,Psych. Befinden: im letzten Drittel der Schwangerschaft",abef3,soep-core-2014-e1,14,abef3
soep-core,bemuki,bem1404,"Seel.,Psych. Befinden: ertse 3 Mon. nach  der Geburt",abef4,soep-core-2014-e1,14,abef4
soep-core,bemuki,bem1501,Lebensumstaende stark veraendert seit Geburt d.Kindes,aver1,soep-core-2014-e1,15,aver1
soep-core,bemuki,bem1502,Aufziehen d.Kindes bereitet Glueck und Freude,aver2,soep-core-2014-e1,15,aver2
soep-core,bemuki,bem1503,Oft am Ende der Kraefte,aver3,soep-core-2014-e1,15,aver3
soep-core,bemuki,bem1504,Rolle als Mutter ist sehr befriedigend,aver4,soep-core-2014-e1,15,aver4
soep-core,bemuki,bem1505,Gefuehl der Ueberforderung,aver5,soep-core-2014-e1,15,aver5
soep-core,bemuki,bem1506,Durch Kind auch neue Menschen kennenlernen,aver6,soep-core-2014-e1,15,aver6
soep-core,bemuki,bem1507,Rolle als Mutter schraenkt ein,aver7,soep-core-2014-e1,15,aver7
soep-core,bemuki,bem1508,"Wichtig, Kind viel Zaertlichkeit zu geben",aver8,soep-core-2014-e1,15,aver8
soep-core,bemuki,bem1509,Sorgen um Gesundheit des Kindes,aver9,soep-core-2014-e1,15,aver9
soep-core,bemuki,bem16,Vater im Haushalt,avat,soep-core-2014-e1,16,
soep-core,bemuki,bem17,Unterstuetzung durch Partner,aunt2,soep-core-2014-e1,17,
soep-core,bemuki,bem18,Hauptbetreuungsperson,abet1,soep-core-2014-e1,18,
soep-core,bemuki,bem1901,Betreuung durch (Ehe-)Partner,asit1,soep-core-2014-e1,19,asit1
soep-core,bemuki,bem1902,Betreuung durch (Ehe-)Partner: Stunden pro Woche,astd1,soep-core-2014-e1,19,astd1
soep-core,bemuki,bem1903,Betreuung durch Grosseltern,asit2,soep-core-2014-e1,19,asit2
soep-core,bemuki,bem1904,Betreuung durch Grosseltern: Stunden pro Woche,astd2,soep-core-2014-e1,19,astd2
soep-core,bemuki,bem1905,Betreuung durch aeltere Geschwister,asit3,soep-core-2014-e1,19,asit3
soep-core,bemuki,bem1906,Betreuung durch aeltere Geschwister: Stunden pro Woche,astd3,soep-core-2014-e1,19,astd3
soep-core,bemuki,bem1907,Betreuung durch andere Verwandte,asit4,soep-core-2014-e1,19,asit4
soep-core,bemuki,bem1908,Betreuung durch andere Verwandte: Stunden pro Woche,astd4,soep-core-2014-e1,19,astd4
soep-core,bemuki,bem1909,Betreuung durch Tagesmutter,asit5,soep-core-2014-e1,19,asit5
soep-core,bemuki,bem1910,Betreuung durch Tagesmutter: Stunden pro Woche,astd5,soep-core-2014-e1,19,astd5
soep-core,bemuki,bem1911,Betreuung durch Krippe,asit6,soep-core-2014-e1,19,asit6
soep-core,bemuki,bem1912,Betreuung durch Krippe: Stunden pro Woche,astd6,soep-core-2014-e1,19,astd6
soep-core,bemuki,bem1913,Betreuung durch andere Personen,asit7,soep-core-2014-e1,19,asit7
soep-core,bemuki,bem1914,Betreuung durch andere Personen: Stunden pro Woche,astd7,soep-core-2014-e1,19,astd7
soep-core,bemuki,bem1915,Keine Betreuung ausser Mutter,asitno,soep-core-2014-e1,19,asitno
soep-core,bemuki,bem2001,"Kind ist froehlich, zufrieden",aakt1,soep-core-2014-e1,20,aakt1
soep-core,bemuki,bem2002,"Kind ist leicht erregbar, weint haeufig",aakt2,soep-core-2014-e1,20,aakt2
soep-core,bemuki,bem2003,Kind ist schwer zu troesten,aakt3,soep-core-2014-e1,20,aakt3
soep-core,bemuki,bem2004,"Kind ist neugiereig, aktiv",aakt4,soep-core-2014-e1,20,aakt4
soep-core,bemuki,bem2005,Kind ist eher zurueckhaltend,aakt5,soep-core-2014-e1,20,aakt5
soep-core,bemuki,bemdatt,Tag des Interviews,datt,soep-core-2014-e1,A,datt
soep-core,bemuki,bemdatm,Monat des Interviews,datm,soep-core-2014-e1,A,datm
soep-core,bemuki,bemdatst,Interview beendet Uhrzeit (Stunde),datst,soep-core-2014-e1,A,datst
soep-core,bemuki,bemdatmi,Interview beendet Uhrzeit (Minuten),datmi,soep-core-2014-e1,A,datmi
soep-core,bemuki,intid,Interviewer ID,,,,
soep-core,bemuki,beeltpersnr,Unveraenderliche Personennummer des Elternternteils,,,,
soep-core,bemuki,bemform,Befragungsform,,,,
