study,questionnaire,answer_list,value,label_de,label
soep-core,soep-core-2014-e1,1+,1,Ja,Yes
soep-core,soep-core-2014-e1,1+,2,Nein,No
soep-core,soep-core-2014-e1,242+,1,2013,2013
soep-core,soep-core-2014-e1,242+,2,2014,2014
soep-core,soep-core-2014-e1,243+,1,Zu Hause,At home
soep-core,soep-core-2014-e1,243+,2,Im Krankenhaus,At the hospital
soep-core,soep-core-2014-e1,243+,3,Sonstiges,Elsewhere
soep-core,soep-core-2014-e1,244+,1,Stille immer noch,Still breastfeeding
soep-core,soep-core-2014-e1,244+,2,Habe nur in den ersten vier Wochen gestillt,Breastfed only the first four weeks
soep-core,soep-core-2014-e1,244+,3,"Nein, habe nicht gestillt","No, did not breastfeed"
soep-core,soep-core-2014-e1,245+,1,"Ja, bei der „U“ Untersuchung","Yes, at the “U” check-up"
soep-core,soep-core-2014-e1,245+,2,"Ja, bei einer anderen Untersuchung","Yes, at another check-up"
soep-core,soep-core-2014-e1,245+,3,Nein,No
soep-core,soep-core-2014-e1,246+,1,Eher ungeplant,More unplanned
soep-core,soep-core-2014-e1,246+,2,Eher geplant,More planned
soep-core,soep-core-2014-e1,246+,3,"Erfolgte mit medizinische Unterstützung (Hormonbehandlung, IVF)","Medically assisted pregnancy (hormone treatment, IVF)"
soep-core,soep-core-2014-e1,247+,1,Sehr gut,Very good
soep-core,soep-core-2014-e1,247+,2,Gut,Good
soep-core,soep-core-2014-e1,247+,3,Eher schlecht,Bad
soep-core,soep-core-2014-e1,247+,4,Sehr schlecht,Very bad
soep-core,soep-core-2014-e1,248+,1,Stimme voll zu,Agree completely
soep-core,soep-core-2014-e1,248+,2,Stimme eher zu,Agree
soep-core,soep-core-2014-e1,248+,3,Stimme eher nicht zu,Disagree
soep-core,soep-core-2014-e1,248+,4,Stimme gar nicht zu,Disagree completely
soep-core,soep-core-2014-e1,249+,1,Sehr stark,Very much
soep-core,soep-core-2014-e1,249+,2,Stark,Quite a bit
soep-core,soep-core-2014-e1,249+,3,Eher wenig,Not much
soep-core,soep-core-2014-e1,249+,4,Gar nicht,Not at all
soep-core,soep-core-2014-e1,249+,5,"Trifft nicht zu, es gibt keinen Partner","Not applicable, no partner"
soep-core,soep-core-2014-e1,250+,1,Trifft voll zu,Agree completely
soep-core,soep-core-2014-e1,250+,2,Trifft eher zu,Agree
soep-core,soep-core-2014-e1,250+,3,Trifft eher nicht zu,Disagree
soep-core,soep-core-2014-e1,250+,4,Trifft gar nicht zu,Disagree completely
