study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-e5,0,,,"In der Regel sollte die (leibliche oder soziale) Mutter die folgenden Fragen für Kinder, die im Jahr 2004 geboren wurden, beantworten. In Ausnahmefällen kann auch der (leibliche oder soziale) Vater, beziehungsweise eine andere Hauptbetreuungsperson, die Fragen beantworten.
Ihre Mitarbeit ist freiwillig.
Wir bitten Sie herzlich, unserem Mitarbeiter das Interview zu gewähren oder den Fragebogen sorgfältig selbst auszufüllen.",,"Usually the (biological or apoptive) mother has to answer the following questions for children, who were born in 2004. In exceptional cases the (biological or apoptive) father or another carer can answer these questions. The participation is voluntarily. We cordially request you, to answer the questions for our Interviewer or to fill out the questionnaire by yourself accurately.",,txt,,,,,,
soep-core,soep-core-2014-e5,0,0,,Bitte vor Übergabe unbedingt eintragen. lt. Adressenprotokoll:,,"Before handing in the questionnaire, please enter in accordance with the address log:",,txt,,,,,,
soep-core,soep-core-2014-e5,0,hnr,,Nr. des Haushalts:,,Household ID,,int,,,,hnr,,
soep-core,soep-core-2014-e5,0,name,,Vorname der Befragungsperson:,Bitte in Druckbuchstaben,First name Interviewee:,Please print in capital letters.,chr,,,,name,,
soep-core,soep-core-2014-e5,0,pnr,,Personen Nr.:,,Person ID,,int,,,,pnr,,
soep-core,soep-core-2014-e5,1,,,Wie heißt das Kind?,,What’s your child’s name?,,txt,,,,,,
soep-core,soep-core-2014-e5,1,ename,,Vorname des Kindes:,Bitte in Druckbuchstaben,First Name,Please complete using block capitals.,chr,,,,ename,,
soep-core,soep-core-2014-e5,1,epnr,,Personen Nr,,Person ID,,int,,,,epnr,,
soep-core,soep-core-2014-e5,2,,,In welchem Jahr und Monat wurde das Kind geboren?,,In what year and month was your child born?,,txt,,,,,,
soep-core,soep-core-2014-e5,2,egebj,,2004,,2004,,bin,,,,egebj,,
soep-core,soep-core-2014-e5,2,egebm,,Monat,,Month,,int,,,,egebm,,
soep-core,soep-core-2014-e5,3,,,Sind Sie die Mutter oder der Vater des Kindes?,,Are you the child’s mother or father?,,txt,,,,,,
soep-core,soep-core-2014-e5,3,eleib,,"Ja, und zwar:",,"Yes, I am …",,cat,q3,,,eleib,,
soep-core,soep-core-2014-e5,4,,,Sprechen Sie oder andere Haushaltsmitglieder mit Ihrem Kind nur Deutsch oder auch in einer anderen Sprache?,,Do you or other household members speak German with your child or another language as well?,,cat,q4,,,edtsch1,,
soep-core,soep-core-2014-e5,4,edtsch2,,[andere Sprache] und zwar:,,[other language]:,,chr,,4;edtsch1=2|3,,edtsch2,,
soep-core,soep-core-2014-e5,5,,,Inwieweit entsprechen die folgenden Schulabschlüsse Ihrer persönlichen Idealvorstellung für die schulische Ausbildung des Kindes?,"Antworten Sie bitte anhand einer Skala von 1 bis 7. Der Wert 1 bedeutet, dass der Abschluss überhaupt nicht, der Wert 7 voll und ganz Ihren persönlichen Vorstellungen entspricht. Mit den Werten zwischen 1 und 7 können Sie Ihre Meinung abstufen. ",To what extent do the following secondary school-leaving certificates correspond to the ideal education you would like for your child?,"Please answer on a scale from 1 to 7, where 1 means “not  at all” and 7 means “completely”",txt,,,,,,
soep-core,soep-core-2014-e5,5,esch1,,Hauptschulabschluss,,Lower secondary school-leaving certificate (Hauptschulabschluss),,cat,q5,,,esch1,,
soep-core,soep-core-2014-e5,5,esch2,,Realschulabschluss / mittlerer Schulabschluss,,"Intermediate secondary school-leaving certificate (Mittlere Reife, Realschulabschluss)",,cat,q5,,,esch2,,
soep-core,soep-core-2014-e5,5,esch3,,Abitur,,Upper secondary school-leaving certificate (Abitur),,cat,q5,,,esch3,,
soep-core,soep-core-2014-e5,6,,,"Und für wie wahrscheinlich halten Sie es, dass das Kind die Schule mit einem der folgenden Abschlüsse verlassen wird? ",Der Wert 1 bedeutet dieses Mal ausgeschlossen und der Wert 7 bedeutet ganz sicher,How likely do you think it is that your child will obtain one of the following school-leaving qualifications?,"Please answer on a scale from 1 to 7, where 1 means “not  at all” and 7 meaning “completely”",txt,,,,,,
soep-core,soep-core-2014-e5,6,esch4,,Hauptschulabschluss,,Lower secondary school-leaving certificate (Hauptschulabschluss),,cat,q6,,,esch4,,
soep-core,soep-core-2014-e5,6,esch5,,Realschulabschluss / mittlerer Schulabschluss,,"Intermediate secondary school-leaving certificate (Mittlere Reife, Realschulabschluss)",,cat,q6,,,esch5,,
soep-core,soep-core-2014-e5,6,esch6,,Abitur,,Upper secondary school-leaving certificate (Abitur),,cat,q6,,,esch6,,
soep-core,soep-core-2014-e5,7,,,Welche Schule besucht bzw. besuchte das Kind im Schuljahr 2013/2014?,,What school does/did your child attend in 2011/2012?,,txt,,,,,,
soep-core,soep-core-2014-e5,7,esch7,,Grundschule,,Elementary school (Grundschule),,bin,,,,esch7,,
soep-core,soep-core-2014-e5,7,esch12,,Hauptschule,,Lower secondary school (Hauptschule),,bin,,,,esch12,,
soep-core,soep-core-2014-e5,7,esch13,,Realschule,,Intermediate secondary school (Realschule),,bin,,,,esch13,,
soep-core,soep-core-2014-e5,7,esch14,,Gymnasium,,Upper secondary school (Gymnasium),,bin,,,,esch14,,
soep-core,soep-core-2014-e5,7,esch15,,Gesamtschule,,Comprehensive school (Gesamtschule),,bin,,,,esch15,,
soep-core,soep-core-2014-e5,7,esch8,,"Schule mit einem speziellen pädagogischen Konzept, z. B. Montessori, Waldorf ",,"School with special pedagogic concept (Montessori, Waldorf)",,bin,,,,esch8,,
soep-core,soep-core-2014-e5,7,esch9,,"Förderschule, Sonderschule, Sprachheilschule ",,"School for children with learn difficulties (Förderschule, Sonderschule, Sprachheilschule)",,bin,,,,esch9,,
soep-core,soep-core-2014-e5,7,esch10,,Sonstige Schule,,Other school,,bin,,,,esch10,,
soep-core,soep-core-2014-e5,7,esch11,,[Sonstige Schule ] und zwar:,,[Other school]:,,chr,,,,esch11,,
soep-core,soep-core-2014-e5,7,1,,Wann wurde das Kind eingeschult?,,When did the child start school?,,txt,,7:esch7=1 | 7:esch12=1 | 7:esch13=1 | 7:esch14=1 |  7:esch15=1 | 7:esch8=1 | 7:esch9=1 | 7:esch10=1,,,,
soep-core,soep-core-2014-e5,7,eschmo,,Monat,,Month,,int,,,,eschmo,,
soep-core,soep-core-2014-e5,7,eschj,,Jahr,,Year,,int,,,,eschj,,
soep-core,soep-core-2014-e5,8,,,Welche Note hatte das Kind in seinem letzten Zeugnis in den folgenden zwei Fächern?,,What was the child's grade in the following two subjects on his/her last report card?,,txt,,,,,,
soep-core,soep-core-2014-e5,8,enot1,,Schulnote von 1 bis 6 [Deutsch],,German [grade from 1 to 6],,int,,,,enot1,,
soep-core,soep-core-2014-e5,8,enot2,,Schulnote von 1 bis 6 [Mathematik],,Mathematics [grade from 1 to 6],,int,,,,enot2,,
soep-core,soep-core-2014-e5,8,enot3,,"Trifft nicht zu, keine Schulnoten im Zeugnis enthalten ",,"Does not apply, no grades on report card.",,bin,,,,enot3,,
soep-core,soep-core-2014-e5,9,,,In welcher Weise suchen Sie den Kontakt mit der Schule?,Bitte alles Zutreffende ankreuzen!,How do you make contact with the school?,Please mark all that apply!,txt,,,,,,
soep-core,soep-core-2014-e5,9,eelt11,,Regelmäßige Teilnahme am Elternabend,,Attend parent evenings at the school on a regular basis,,bin,,,,eelt11,,
soep-core,soep-core-2014-e5,9,eelt12,,Regelmäßige Besuche von Elternsprechtagen,,Attend parent-teacher conference days on a regular basis,,bin,,,,eelt12,,
soep-core,soep-core-2014-e5,9,eelt13,,Aufsuchen des Lehrers / der Lehrerin auch außerhalb von Sprechtagen,,Meet with teacher outside of parent-teacher conference days,,bin,,,,eelt13,,
soep-core,soep-core-2014-e5,9,eelt14,,Engagement als Elternvertreter,,Serve as a parent representative in the parent-teacher association,,bin,,,,eelt14,,
soep-core,soep-core-2014-e5,9,eelt16,,"Sonstige Unterstützung der Lehrer / Schule (wie Unterstützung bei Schulfesten, Ausflügen, Pausenraumgestaltung etc.) ",,Provide support to teacher / school in other ways (school parties or school trips),,bin,,,,eelt16,,
soep-core,soep-core-2014-e5,9,eelt17,,Mitglied im Förderverein,,Member of booster club,,bin,,,,eelt17,,
soep-core,soep-core-2014-e5,9,eelt15,,Nichts davon,,None of the above,,bin,,,,eelt15,,
soep-core,soep-core-2014-e5,10,,,Inwieweit treffen die folgenden Aussagen auf das Kind zu?,,To what extent do the following statements apply to your child?,,txt,,,,,,
soep-core,soep-core-2014-e5,10,2,,Das Kind ...,,My child …,,txt,,,,,,
soep-core,soep-core-2014-e5,10,esch22,,geht gerne in die Schule,,gets along with his/her classmates.,,cat,q10,,,esch22,,
soep-core,soep-core-2014-e5,10,esch26,,versteht sich nicht gut mit seinen Klassenkameraden,,thinks school is a waste of time.,,cat,q10,,,esch26,,
soep-core,soep-core-2014-e5,10,esch27,,empfindet Schule als reine Zeitverschwendung,,thinks school is a waste of time.,,cat,q10,,,esch27,,
soep-core,soep-core-2014-e5,10,esch28,,nimmt Arbeit in der Schule nie ernst,,does not take school seriously.,,cat,q10,,,esch28,,
soep-core,soep-core-2014-e5,10,esch23,,kommt im Unterricht gut mit,,keeps up in his/her classes.,,cat,q10,,,esch23,,
soep-core,soep-core-2014-e5,10,esch29,,kommt mit dem jetzigen Lehrer oder der Lehrerin nicht gut aus,,does not get along well with the teacher.,,cat,q10,,,esch29,,
soep-core,soep-core-2014-e5,10,esch25,,lernt gerne,,enjoys learning.,,cat,q10,,,esch25,,
soep-core,soep-core-2014-e5,11,,,"Wo macht Ihr Kind meistens seine Hausaufgaben? Zu Hause, bei Verwandten / Freunden, in der Nachmittagsbetreuung / im Hort oder woanders? ",,"Where does your child do his/her homework most of the time? At home, at relative's/friend's home, in after-school care, or elsewhere?",,cat,q11,,,ehaus1,,
soep-core,soep-core-2014-e5,12,,,"Wie häufig wird Ihr Kind von Ihnen oder Ihrem Partner selbst bei den Hausaufgaben unterstützt (d.h. Sie erklären, kontrollieren, oder sitzen dabei)? ",,How often do you or your partner help your child with his/her homework?,,cat,q12,,,ehaus2,,
soep-core,soep-core-2014-e5,13,,,Wie häufig übt das Kind die folgenden Freizeitbeschäftigungen aus?,,How often does your child take part in the following leisure activities,,txt,,,,,,
