"concept","topic","topic_prefix","label_de","label"
"zupan","T1105000000000000","int","Zugangswelle zum Panel","Wave Entered Panel"
"zuhau","T1105000000000000","int","Zugangswelle zum HH","Wave Entered Household"
"znetto","T0301010100000000","moi","HH-Nettoeinkommensgruppen, nur CAPI","HH Net Income Group, CAPI Only"
"yzupan","T1102000000000000","sdr","Zugangswelle Panel","Wave Entered Panel"
"yzuhau","T1102000000000000","sdr","Zugangswelle Haushalt","Wave Entered Household"
"ywstatus","T1105000000000000","int","Weiterverfolgungsstatus","Follow-Up Status"
"ystistat","T1105000000000000","int","Stichprobenstatus","Sample Status"
"ystell","T1102000000000000","sdr","Stellung zum Haushaltsvorstand","Relationship To Head Of Household"
"ysex","T0501010000000000","hco","Geschlecht","Sex"
"ypzweitv","T0607020000000000","seh","Zweitwohnung, Vorjahr,Abgangsjahr","Second Residence Previous Year"
"ypzugv","T1102000000000000","sdr","Zugehoerigkeit zum HH im Vorjahr","Member Of Household In Previous Year"
"ypzugm","T1102000000000000","sdr","Zugehoerigkeit der Person seit Monat","Month Entered,Left Panel"
"ypzugj","T1102000000000000","sdr","Zugehoerigkeit der Person seit Jahr","Year Entered,Left Panel"
"ypzug","T1102000000000000","sdr","Zugehoerigkeit der Person zum HH","Member Of Household"
"ypup","T1105000000000000","int","Letztes Updating Person","Last Update Of Person"
"ypnrneu","T1101000000000000","ide","Neue Haushalts- und Personennummer","New Household And Person Number"
"ypnralt","T1101000000000000","ide","Alte Haushalts- und Personennummer","Old Household And Person Number"
"ypnrakt","T1101000000000000","ide","Laufende Nr. der Person im HH","Serial Person Number"
"ypnat","T1001010200000000","ona","Fragebogenversion, Nationalitaet","Nationality"
"ypformv","T1106000000000000","wim","Bearbeitungsform Person im Vorjahr","Work Form Previous Year"
"ypform","T1106000000000000","wim","Bearbeitungsform Person","Interview Work Form"
"ypergzv","T1105000000000000","int","Bearbeitungsergebnis im Vorjahr","Work Result In Previous Year"
"ypergz","T1105000000000000","int","Bearbeitungsergebnis Person zweistellig","Interview Work Result, Two Digits"
"ypergv","T1105000000000000","int","Bearbeitungsergebnis Person im Vorjahr","Work Result Previous Year"
"yperg","T1105000000000000","int","Bearbeitungsergebnis Person","Interview Work Result, One Digit"
"ypbio","T1105000000000000","int","Bearbeitungsergebnis Biographie","Work Result Biography"
"ypart","T1105000000000000","int","Art des Personendatensatzes","Type Of Person Record"
"ypadq","T1105000000000000","int","Informationsquelle","Source Of Address Information"
"ypaderq","T1105000000000000","int","Adressenermittlung Person zweistellig","Person Supplying Address Information"
"ypader","T1105000000000000","int","Ergebnis der Adressenermittlung Person","Success Obtaining Address"
"yluecke","T1105000000000000","int","Luecke in Vorjahr","Missing In Previous Year"
"ylint","T1105000000000000","int","Welle des letzten Interviews","Wave Last Interviewed"
"ygeburt","T0501010000000000","hco","Geburtsjahr","Year Of Birth"
"yeinzugm","T0604020000000000","mdt","Monat des Einzugs","Month Moved Into Dwelling"
"yeinzugj","T1102000000000000","sdr","Jahr des Einzugs","Year Moved Into Dwelling"
"ybefstat","T1105000000000000","int","Befragungsstatus","Survey Status"
"yauszugm","T1102000000000000","sdr","Monat des Auszugs","Month Moved Out Of Dwelling"
"yauszugj","T1102000000000000","sdr","Jahr des Auszugs","Year Moved Out Of Dwelling"
"yabwesm","T1102000000000000","sdr","Monat der temp. Abwesenheit","Month When Temporarily Absent"
"yabwesj","T1102000000000000","sdr","Jahr der temp. Abwesenheit","Year When Temporarily Absent"
"yabhau","T1102000000000000","sdr","Abgangswelle Haushalt","Wave Left Household"
"wum4","T0605010000000000","reg","Wohnumfeld 4 - Siedlungsform","Residential Area 4 - Type Of Estate"
"wum3","T0605010000000000","reg","Wohnumfeld 3 - Quartier","Residential Area 3: Rental Housing"
"wum2","T0607010000000000","prh","Wohnumfeld 2 - Privat-,Anstaltshaushalt","Residential Area 2: Private,Institution"
"wum1","T0607010000000000","prh","Wohnumfeld 1 - Haustyp","Residential Area 1: Type Of House"
"wstatus","T1105000000000000","int","Weiterverfolgungsstatus","Follow-Up Status"
"welle","T1101000000000000","ide","Befragungswelle","Survey Year"
"wein","T1102000000000000","sdr","Welle Einzug an diese Adresse","Wave When Moved To This Address"
"waus","T1102000000000000","sdr","Welle Auszug","Wave When Moved Away"
"vorab","T1105000000000000","int","Vorab - Vollstaendigkeit","Completeness Of Preliminary Version"
"vodere","T1105000000000000","int","Wahl der Incentivierung","Choice of Incentive"
"vmb","T1105000000000000","int","Ergebnis der Vermoegensbilanz","Result Of Assets Interview"
"umzug","T0609000000000000","rer","Umzug Von Osten Nach Westen","Move From East To West"
"todjahr","T0501010000000000","hco","Todesjahr -4Steller-","Year Died, 4 Digits"
"todinfo","T0501010000000000","hco","Todesjahr - Infoquelle","Year Died, Information Source"
"telk2","T1105000000000000","int","Telefonkontakte 2, Nacherhebung","Re-Survey Telephone Contact"
"telk1","T1105000000000000","int","Telefonkontakte 1, Bearbeitung","Survey Telephone Contact"
"stistat","T1105000000000000","int","Stichprobenstatus","Sample Status"
"stichu","T1101000000000000","ide","Stichprobenkennzeichen","SUBSAMPLE"
"stell","T1102000000000000","sdr","Stellung zum HV, Bezugsperson","Relationship To Head Of Household"
"split","T1105000000000000","int","Startbearbeitungsform","Starting Work Form"
"spielhh","T1103000000000000","fii","Haushalt im Brutto fuer Experiment","HH In Brutto For Experiment"
"sonder","T1105000000000000","int","vorab - Besonderheiten bei vorablieferung","Specifics Of Preliminary Version"
"sex","T0102000000000000","sex","Geschlecht","Sex"
"schk","T1105000000000000","int","Schriftliche Kontakte","Contact By Mail"
"sampreg","T0605010000000000","reg","Aktuelle Stichprobenregion 2012","Current Sample Region 2012"
"sample1","T1101000000000000","ide","Stichprobenkennzeichen","SUBSAMPLE"
"rnetto","T1103000000000000","fii","Errechnetes monatl.HH-Nettoeink.,Infratest","Calculated Mon. HH Net Income, Infratest"
"regtyp","T0605010000000000","reg","Siedlungsstruktureller Regionsgrundtyp des BBSR","Spatial category by BBSR"
"q9p","T0607040000000000","","Pflegep.,Hier: gemeld. Zweitwohnsitz","Care Person registered secondary residence"
"q8p","T0607040000000000","","Pflegep.,Hauptwohnsitz","Care Person main place of residence"
"q7p9","T0607040000000000","","Pflegep.,Sonst. Wohnort Sonstiges","Care Person other type of residence: other"
"q7p8","T0607040000000000","","Pflegep.,Sonst. Wohnort Pflegeheim","Care Person other type of residence nursing home"
"q7p7","T0607040000000000","","Pflegep.,Sonst. Wohnort Kinderheim","Care Person other type of residence children's home"
"q7p6","T0607040000000000","","Pflegep.,Sonst. Wohnort Internat","Care Person other type of residence boarding school"
"q7p5","T0607040000000000","","Pflegep.,Sonst. Wohnort Schueler-/Studentenwohnheim","Care Person other type of residence youth resid. dorm./student dormitory"
"q7p4","T0607040000000000","","Pflegep.,Sonst. Wohnort Bei anderem Elternteil","Care Person other type of residence other parental unit"
"q7p3","T0607040000000000","","Pflegep.,Sonst. Wohnort Unterkunft bei Arbeitsort","Care Person other type of risidence at job location"
"q7p2","T0607040000000000","","Pflegep.,Sonst. Wohnort FreundIn/PartnerIn","Care Person other type of residence with partner"
"q7p1","T0607040000000000","","Pflegep.,Sonst. Wohnort Eig. Wohnung/Zimmer in WG","Care Person other type of residence own domicil/room"
"q6p","T0607040000000000","","Pflegep.,Haeufigkeit leben hier im Haushalt","Care Persons live in HH frequency"
"q5p","T0607040000000000","","Pflegeperson lebt hier im Haushalt","Care Person lives in HH"
