study,dataset,variable,label,concept,questionnaire,question,item
soep-core,H14_A-KH,jahr,Erhebungsjahr,,soep-core-2014-hh,,
soep-core,H14_A-KH,stichu,Stichprobenkennzeichen,,soep-core-2014-hh,,
soep-core,H14_A-KH,hnr,Haushaltsnummer,hnr,soep-core-2014-hh,0,hnr
soep-core,H14_A-KH,pnr,Lfd. Personennummer,pnr,soep-core-2014-hh,0,pnr
soep-core,H14_A-KH,name,Vorname,name,soep-core-2014-hh,0,name
soep-core,H14_A-KH,hvj,Bei letzter Befragung in Whg.,hvj,soep-core-2014-hh,1,
soep-core,H14_A-KH,hwm,Seit Monat in Whg.,hwm,soep-core-2014-hh,2,hwm
soep-core,H14_A-KH,hwj,Seit Jahr in Whg.,hwj,soep-core-2014-hh,2,hwj
soep-core,H14_A-KH,hhtyp,Haustyp,hhtyp,soep-core-2014-hh,3,
soep-core,H14_A-KH,hheim,Wohnheim,hheim,soep-core-2014-hh,4,
soep-core,H14_A-KH,hheimso,Sonstiges Wohnheim,,soep-core-2014-hh,4,
soep-core,H14_A-KH,hwohn08,Wohngegend,hwohn08,soep-core-2014-hh,5,
soep-core,H14_A-KH,humb,Größe der Whg. verändert,humb,soep-core-2014-hh,6,
soep-core,H14_A-KH,hqm,Qm Wohnfläche,hqm,soep-core-2014-hh,7,hqm
soep-core,H14_A-KH,hraum,Anzahl Wohnräume,hraum,soep-core-2014-hh,8,hraum
soep-core,H14_A-KH,hgr,Wohnungsgröße,hgr,soep-core-2014-hh,9,
soep-core,H14_A-KH,hzus,Zustand d. Hauses,hzus,soep-core-2014-hh,10,
soep-core,H14_A-KH,hwohn24,Barrierefreies Wohnen,hwohn24,soep-core-2014-hh,11,hwohn24
soep-core,H14_A-KH,hwohn14,Zentral-/Etagenheizung,hwohn14,soep-core-2014-hh,11,hwohn14
soep-core,H14_A-KH,hwohn21,Fußbodenheizung,hwohn21,soep-core-2014-hh,11,hwohn21
soep-core,H14_A-KH,hwohn15,Balkon/Terrasse,hwohn15,soep-core-2014-hh,11,hwohn15
soep-core,H14_A-KH,hwohn16,Keller/Abstellräume,hwohn16,soep-core-2014-hh,11,hwohn16
soep-core,H14_A-KH,hwohn17,Garten/-benutzung,hwohn17,soep-core-2014-hh,11,hwohn17
soep-core,H14_A-KH,hwohn18,Alarmanlage,hwohn18,soep-core-2014-hh,11,hwohn18
soep-core,H14_A-KH,hwohn19,Klimaanlage,hwohn19,soep-core-2014-hh,11,hwohn19
soep-core,H14_A-KH,hwohn20,"Sonnenkollektor, Solaranlage",hwohn20,soep-core-2014-hh,11,hwohn20
soep-core,H14_A-KH,hwohn22,Sonst. alternative Energiequelle,hwohn22,soep-core-2014-hh,11,hwohn22
soep-core,H14_A-KH,hwohn23,Aufzug/Fahrstuhl,hwohn23,soep-core-2014-hh,11,hwohn23
soep-core,H14_A-KH,htel1,Anzahl Festnetznummern,htel1,soep-core-2014-hh,12,htel1
soep-core,H14_A-KH,htel2,Kein Festnetzanschluss,htel2,soep-core-2014-hh,12,htel2
soep-core,H14_A-KH,hmob1,Anzahl Handys,hmob1,soep-core-2014-hh,13,hmob1
soep-core,H14_A-KH,hmob2,Kein Handy,hmob2,soep-core-2014-hh,13,hmob2
soep-core,H14_A-KH,hnet1,Anzahl Nutzer Internetanschluss,hnet1,soep-core-2014-hh,14,hnet1
soep-core,H14_A-KH,hnet2,Kein Internetanschluss,hnet2,soep-core-2014-hh,14,hnet2
soep-core,H14_A-KH,hbau1,Küche eingebaut,hbau1,soep-core-2014-hh,15,hbau1
soep-core,H14_A-KH,hbau2,Bad/Dusche/WC eingebaut,hbau2,soep-core-2014-hh,15,hbau2
soep-core,H14_A-KH,hbau3,Zentral-/Etagenheizung eingebaut,hbau3,soep-core-2014-hh,15,hbau3
soep-core,H14_A-KH,hbau4,Neue Fenster eingebaut,hbau4,soep-core-2014-hh,15,hbau4
soep-core,H14_A-KH,hbau9,Wärmedämmung,hbau9,soep-core-2014-hh,15,hbau9
soep-core,H14_A-KH,hbau10,Altersgerecht angepasst,hbau10,soep-core-2014-hh,15,hbau10
soep-core,H14_A-KH,hbau5,Sonstige größere Maßnahmen,hbau5,soep-core-2014-hh,15,hbau5
soep-core,H14_A-KH,hbau6,Keine Modernisierung,hbau6,soep-core-2014-hh,15,hbau6
soep-core,H14_A-KH,hbau7,Kosten Modernisierung,hbau7,soep-core-2014-hh,16,
soep-core,H14_A-KH,hbau8,Modernisierung Eigenarb./Handwerker,hbau8,soep-core-2014-hh,17,
soep-core,H14_A-KH,hbau11,€ Kosten Modernisierung,hbau11,soep-core-2014-hh,18,hbau11
soep-core,H14_A-KH,hew1,Eigentümerwechsel,hew1,soep-core-2014-hh,19,
soep-core,H14_A-KH,hew2,Art Eigentumswechsel,hew2,soep-core-2014-hh,20,
soep-core,H14_A-KH,hew3,Art Eigentumswechsel 1,hew3,soep-core-2014-hh,20,hew3
soep-core,H14_A-KH,hew4,Art Eigentumswechsel 2,hew4,soep-core-2014-hh,20,hew4
soep-core,H14_A-KH,hm01,Mieter/Eigentümer,hm01,soep-core-2014-hh,21,
soep-core,H14_A-KH,hm02,Verbilligte Wohnung,hm02,soep-core-2014-hh,22,
soep-core,H14_A-KH,hm03,Sozialwohnung,hm03,soep-core-2014-hh,23,
soep-core,H14_A-KH,hm04,€ Miete/Monat,hm04,soep-core-2014-hh,24,hm04
soep-core,H14_A-KH,hm05,Zahle keine Miete,hm05,soep-core-2014-hh,24,hm05
soep-core,H14_A-KH,hm07,€ Heizkosten/Monat,hm07,soep-core-2014-hh,25,hm07
soep-core,H14_A-KH,hm08,Heizkosten/Monat,hm08,soep-core-2014-hh,25,hm08
soep-core,H14_A-KH,hm14,€ Stromkosten/Monat,hm14,soep-core-2014-hh,26,hm14
soep-core,H14_A-KH,hm15,Stromkosten/Monat,hm15,soep-core-2014-hh,26,hm15
soep-core,H14_A-KH,hm16,€ Gaskosten/Monat,hm16,soep-core-2014-hh,27,hm16
soep-core,H14_A-KH,hm17,Gaskosten/Monat,hm17,soep-core-2014-hh,27,hm17
soep-core,H14_A-KH,hm10,€ Wasser/Müllabfuhr/Monat,hm10,soep-core-2014-hh,28,hm10
soep-core,H14_A-KH,hm11,Wasser/Müllabfuhr,hm11,soep-core-2014-hh,28,hm11
