study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-hh,0,,,"In diesem Fragebogen geht es um Fragen, die sich nicht auf die einzelnen Personen Ihres Haushalts, sondern auf den Haushalt als ganzen beziehen. Der Fragebogen soll nach Möglichkeit von der Person beantwortet werden, die diese Haushaltsfragen auch beim letzten Mal beantwortet hat.
Ihre Mitarbeit ist freiwillig. Die wissenschaftliche Aussagekraft dieser Untersuchung hängt aber entscheidend
davon ab, dass alle Haushalte mitmachen.
Darum bitten wir Sie herzlich,
– unserem Mitarbeiter dieses Interview zu gewähren
– oder den Fragebogen sorgfältig selbst auszufüllen.",,"The questions contained in this questionnaire deal with the household as a whole and not with
the individuals in the household. The questionnaire should be completed by the same person
in the household who did it last year if possible.
Your participation is voluntary, but the scientific relevance of this study depends crucially on
the participation of every household.
We therefore cordially request that you either:
– allow our staff member to interview you
or
– carefully fill out this questionnaire yourself.",,txt,,,,,,
soep-core,soep-core-2014-hh,0,1,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,"Before handing in the questionnaire, please
enter in accordance with the address log:",,txt,,,,,,
soep-core,soep-core-2014-hh,0,hnr,,Nr. des Haushalts:,,Household number,,int,,,,hnr,,
soep-core,soep-core-2014-hh,0,3,,Der Haushaltsfragebogen wurde beantwortet von:,,The questionnaire has been completed by:,,txt,,,,,,
soep-core,soep-core-2014-hh,0,name,,Vorname,,First name,,chr,,,,name,,
soep-core,soep-core-2014-hh,0,pnr,,Person Nr.,,Person number,,int,,,,pnr,,
soep-core,soep-core-2014-hh,1_0,,,Wohnen und was es kostet,,,,txt,,,,,,
soep-core,soep-core-2014-hh,1,,,"Haben Sie persönlich bei unserer letzten Befragung, also vor ungefähr einem Jahr,
schon in dieser Wohnung gelebt?",,"Did you personally live in this dwelling at the point in time of our last survey,
that is, about a year ago?",,cat,hvj,,1 @ 5,hvj,"Routing:
*IF [Q1000,1] *GOTO 9000
",1
soep-core,soep-core-2014-hh,2,,,Seit wann leben Sie persönlich in dieser Wohnung?,,Since what month/year have you personally been living in this dwelling?,,txt,,1;hvj=2,,,,4
soep-core,soep-core-2014-hh,2,hwm,,Monat,,Since what month/year have you personally been living in this dwelling? [Month],,int,,,,hwm,,4
soep-core,soep-core-2014-hh,2,hwj,,Jahr,,Since what month/year have you personally been living in this dwelling? [Year],,int,,,,hwj,,4
soep-core,soep-core-2014-hh,3,,,"Was ist das für ein Haustyp, in dem Sie hier wohnen?",,What kind of building do you live in?,,cat,hhtyp,,,hhtyp,,6
soep-core,soep-core-2014-hh,4,,,"Handelt es sich um ein Wohnheim, eine Pension oder eine ähnliche Unterkunft?",,Is it a boarding house or similar accommodation?,,cat,hheim,,,hheim,"Researcher Notes:
Quelle:
**Core2011 Items reduziert
",7
soep-core,soep-core-2014-hh,4,hheimso,,[Sonstiges Heim/ Unterkunft] und zwar:,,[Other home/residence] Please state:,,chr,,7;hheim=7,,hheimso,,7
soep-core,soep-core-2014-hh,5,,,Wie würden Sie die Wohngegend hier beschreiben?,,How would you describe your neighborhood?,,cat,hwohn08,,,hwohn08,,5
soep-core,soep-core-2014-hh,6,,,"Hat sich innerhalb des letzten Jahres an der Größe Ihrer Wohnung etwas verändert,
z.B. durch Umbauten oder veränderte Nutzung?",,"Has the size of your dwelling changed within the last year,
e.g., due to remodeling or changes in usage?",,cat,humb,,,humb,,9
