study,dataset,variable,label,concept,questionnaire,question,item
soep-core,bdpluecke,hhnr,Ursprungshaushaltsnummer,,,,
soep-core,bdpluecke,persnr,Unveraenderliche Personennummer,,,,
soep-core,bdpluecke,hhnrakt,Aktuelle Haushaltsnummer (=BEHHNR),hnr,soep-core-2014-luecke,0,hnr
soep-core,bdpluecke,behhnr,Aktuelle Haushaltsnummer (=HHNRAKT),,,,
soep-core,bdpluecke,bdpnr,Lfd. Personennummer  2012,pnr,soep-core-2014-luecke,0,pnr
soep-core,bdpluecke,bdp0101,Voll erwerbstaetig,pkal01,soep-core-2014-luecke,1,pkal01
soep-core,bdpluecke,bdp0102,"Kurzarbeit, Jan-Dez 12",pkal13,soep-core-2014-luecke,1,pkal13
soep-core,bdpluecke,bdp0103,"Teilzeit, Jan-Dez 12",pkal02,soep-core-2014-luecke,1,pkal02
soep-core,bdpluecke,bdp0104,"Mini-Job, Jan-Dez 12",pkal12,soep-core-2014-luecke,1,pkal12
soep-core,bdpluecke,bdp0105,"Ausbildung, Jan-Dez 12",pkal03,soep-core-2014-luecke,1,pkal03
soep-core,bdpluecke,bdp0106,"Fortbilung,Jan-Dez 12",pkal04,soep-core-2014-luecke,1,pkal04
soep-core,bdpluecke,bdp0107,"Arbeitslos gemeldet,Jan-Dez 12",pkal05,soep-core-2014-luecke,1,pkal05
soep-core,bdpluecke,bdp0108,"In Rente etc.,Jan-Dez 12",pkal06,soep-core-2014-luecke,1,pkal06
soep-core,bdpluecke,bdp0109,"Mutterschutz etc.,Jan-Dez 12",pkal07,soep-core-2014-luecke,1,pkal07
soep-core,bdpluecke,bdp0110,"Schule etc.,Jan-Dez 12",pkal08,soep-core-2014-luecke,1,pkal08
soep-core,bdpluecke,bdp0111,"Wehr-, Zivildienst, soziales Jahr",pkal09a,soep-core-2014-luecke,1,pkal09a
soep-core,bdpluecke,bdp0112,"Wehr-,Zivildienst, Jan-Dez 12",pkal09,soep-core-2014-luecke,1,pkal09
soep-core,bdpluecke,bdp0113,"Hausfrau,-mann,Jan-Dez 12",pkal10,soep-core-2014-luecke,1,pkal10
soep-core,bdpluecke,bdp0114,"Sonstiges, Jan-Dez 12",pkal11,soep-core-2014-luecke,1,pkal11
soep-core,bdpluecke,bdp02,Seit Anfang 2012 aus Beruf ausgeschieden,pend1,soep-core-2014-luecke,2,
soep-core,bdpluecke,bdp03,Ende letzte Stelle Monat 2012,pend2,soep-core-2014-luecke,3,pend2
soep-core,bdpluecke,bdp04,Art Beendigung des Beschaeftigungs Verhaeltnis,pend6,soep-core-2014-luecke,4,
soep-core,bdpluecke,bdp0501,"Dauer letzte Stelle, Jahre",pend4,soep-core-2014-luecke,5,pend4
soep-core,bdpluecke,bdp0502,"Dauer letzte Stelle, Monate",pend5,soep-core-2014-luecke,5,pend5
soep-core,bdpluecke,bdp0601,Arbeitslosengeld bezogen 12,pvek06,soep-core-2014-luecke,6,pvek06
soep-core,bdpluecke,bdp0602,Arbeitslosengeld Monate 12,pvek061,soep-core-2014-luecke,6,pvek061
soep-core,bdpluecke,bdp0603,ALG_II Sozialgeld bezogen 12,pvek07,soep-core-2014-luecke,6,pvek07
soep-core,bdpluecke,bdp0604,ALG_II Sozialgeld Monate 12,pvek071,soep-core-2014-luecke,6,pvek071
soep-core,bdpluecke,bdp0605,Unterhaltsgeld bezogen 12,pvek08,soep-core-2014-luecke,6,pvek08
soep-core,bdpluecke,bdp0606,Unterhaltsgeld Monate 12,pvek081,soep-core-2014-luecke,6,pvek081
soep-core,bdpluecke,bdp0607,"BAfoeG, Stipendium bezogen 12",pvek10,soep-core-2014-luecke,6,pvek10
soep-core,bdpluecke,bdp0608,"BAfoeG, Stipendium Monate 12",pvek101,soep-core-2014-luecke,6,pvek101
soep-core,bdpluecke,bdp0701,Seit 2012 Ausbildung abgeschlossen,pab1,soep-core-2014-luecke,7,
soep-core,bdpluecke,bdp0702,Seit 2012 Ausbildung abgeschlossen Monat,pab2,soep-core-2014-luecke,7,pab2
soep-core,bdpluecke,bdp0703,Seit 2012 Ausbildung abgeschlossen K.A.,,,,
soep-core,bdpluecke,bdp08,Ausbildung mit Abschluss beendet,pab4,soep-core-2014-luecke,8,
soep-core,bdpluecke,bdp09,Land Abschluss Ausbildung,pab4a,soep-core-2014-luecke,9,
soep-core,bdpluecke,bdp1001,Allgemeinbildender Schulabschluss,pab5,soep-core-2014-luecke,10,pab5
soep-core,bdpluecke,bdp1002,Hochschulabschluss,pab6,soep-core-2014-luecke,10,pab6
soep-core,bdpluecke,bdp1006,Ausbildungsart,pab7,soep-core-2014-luecke,10,pab7
soep-core,bdpluecke,bdp1007,Bildungsabschluss - Gesamt k.A.,,,,
soep-core,bdpluecke,bdp1101,Geschlecht,psex,soep-core-2014-luecke,11,
soep-core,bdpluecke,bdp1102,Geburtsjahr,ppgeb,soep-core-2014-luecke,11,ppgeb
soep-core,bdpluecke,bdp121401,Neuen Partner kennengelernt,pfs141,soep-core-2014-luecke,12,pfs141
soep-core,bdpluecke,bdp121402,Neuen Partner kennengelernt Monat 2012,pfs142,soep-core-2014-luecke,12,pfs142
soep-core,bdpluecke,bdp120101,Zusammenzug mit Partner,pfs021,soep-core-2014-luecke,12,pfs021
soep-core,bdpluecke,bdp120102,Zusammenzug mit Partner Monat 2012,pfs022,soep-core-2014-luecke,12,pfs022
soep-core,bdpluecke,bdp120201,Heirat,pfs011,soep-core-2014-luecke,12,pfs011
soep-core,bdpluecke,bdp120202,Heirat Monat 2012,pfs012,soep-core-2014-luecke,12,pfs012
soep-core,bdpluecke,bdp120301,Kind geboren,pfs031,soep-core-2014-luecke,12,pfs031
soep-core,bdpluecke,bdp120302,Kind geboren Monat 2012,pfs032,soep-core-2014-luecke,12,pfs032
soep-core,bdpluecke,bdp120401,Kind kam in HH,pfs111,soep-core-2014-luecke,12,pfs111
soep-core,bdpluecke,bdp120402,Kind kam in HH Monat 2012,pfs112,soep-core-2014-luecke,12,pfs112
soep-core,bdpluecke,bdp120501,Kind hat HH verlassen,pfs041,soep-core-2014-luecke,12,pfs041
soep-core,bdpluecke,bdp120502,Kind hat HH verlassen Monat 2012,pfs042,soep-core-2014-luecke,12,pfs042
soep-core,bdpluecke,bdp120601,Trennung von Partner,pfs051,soep-core-2014-luecke,12,pfs051
soep-core,bdpluecke,bdp120602,Trennung von Partner Monat 2012,pfs052,soep-core-2014-luecke,12,pfs052
soep-core,bdpluecke,bdp120701,Scheidung,pfs061,soep-core-2014-luecke,12,pfs061
soep-core,bdpluecke,bdp120702,Scheidung Monat 2012,pfs062,soep-core-2014-luecke,12,pfs062
soep-core,bdpluecke,bdp120801,Tod des Partners,pfs071,soep-core-2014-luecke,12,pfs071
soep-core,bdpluecke,bdp120802,Tod des Partners Monat 2012,pfs072,soep-core-2014-luecke,12,pfs072
soep-core,bdpluecke,bdp120901,Tod des Vaters,pfs081,soep-core-2014-luecke,12,pfs081
soep-core,bdpluecke,bdp120902,Tod des Vaters Monat 2012,pfs082,soep-core-2014-luecke,12,pfs082
soep-core,bdpluecke,bdp121001,Tod der Mutter,pfs091,soep-core-2014-luecke,12,pfs091
soep-core,bdpluecke,bdp121002,Tod der Mutter Monat 2012,pfs092,soep-core-2014-luecke,12,pfs092
soep-core,bdpluecke,bdp121101,Kind verstorben,pfs121,soep-core-2014-luecke,12,pfs121
soep-core,bdpluecke,bdp121102,Kind verstorben Monat 2012,pfs122,soep-core-2014-luecke,12,pfs122
soep-core,bdpluecke,bdp121201,Andere Person im Haushalt verstorben,pfs131,soep-core-2014-luecke,12,pfs131
soep-core,bdpluecke,bdp121202,Andere Person im HH verstorben Monat 2012,pfs132,soep-core-2014-luecke,12,pfs132
soep-core,bdpluecke,bdp121301,Sonstige familiaere Veraenderung,pfs101,soep-core-2014-luecke,12,pfs101
soep-core,bdpluecke,bdp121302,Sonstige familiaere Veraenderung Monat 2012,pfs102,soep-core-2014-luecke,12,pfs102
soep-core,bdpluecke,bdp1215,"Nein, nichts davon (fam. Veraenderung)",pfsno,soep-core-2014-luecke,12,pfsno
soep-core,bdpluecke,bdpdatt,Tag d. Interviews,pdatt,soep-core-2014-luecke,A,pdatt
soep-core,bdpluecke,bdpdatm,Monat d. Interviews,pdatm,soep-core-2014-luecke,A,pdatm
soep-core,bdpluecke,bdpdatst,Interview beendet Uhrzeit (Stunde),pdatst,soep-core-2014-luecke,A,pdatst
soep-core,bdpluecke,bdpdatmi,Interview beendet Uhrzeit (Minuten),pdatmi,soep-core-2014-luecke,A,pdatmi
soep-core,bdpluecke,bdpa,Art der Befragung,pform,soep-core-2014-luecke,B,
soep-core,bdpluecke,bdpb01,Interviewdauer muendlich in Minuten,pdauer1,soep-core-2014-luecke,C,pdauer1
soep-core,bdpluecke,bdpb02,Selbstausfuellen schriftlich in Minuten,pdauer2,soep-core-2014-luecke,C,pdauer2
soep-core,bdpluecke,intid,Interviewer ID,,,,
soep-core,bdpluecke,pnrakt,Aktuelle Personennr,,,,
soep-core,bdpluecke,pnrv,Personennr aus 2013,,,,
