study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-luecke,0,,,Leben in Deutschland,,Living in Germany,,txt,,,,,,
soep-core,soep-core-2014-luecke,0,1,,Personenfragebogen 2013 – Nachbefragung,,Individual questionnaire 2013 – post-enquiry,,txt,,,,,,
soep-core,soep-core-2014-luecke,0,2,,Kurzfassung,,Short version,,txt,,,,,,
soep-core,soep-core-2014-luecke,0,3,,"Unsere wissenschaftliche Untersuchung beschäftigt sich in erster Linie mit der Darstellung von Entwicklungen im beruflichen und familiären Bereich. Dafür müssen bestimmte Informationen über die Jahre hinweg lückenlos vorliegen. Dieser kurze Zusatzfragebogen richtet sich nur an Personen, die an der Befragung 2011 nicht teilgenommen haben. Bitte helfen Sie, die dadurch aufgetretenen Verlaufslücken zu schließen. Herzlichen Dank!",,Our scientific investigation is most of all about developments in the family situation and in professional occupational areas. Therefore it is important that some information are available for every year. This short additional questionnaire is for persons who did not participate in the survey last year. Please help us to fill the gaps. Thank you very much!,,txt,,,,,,
soep-core,soep-core-2014-luecke,0,4,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll,,Please fill out prior hand over (according to adress protocol),,txt,,,,,,
soep-core,soep-core-2014-luecke,0,hnr,,Nr. des Haushalts:,,Householdnumber,,int,,,,hnr,,
soep-core,soep-core-2014-luecke,0,pnr,,Person Nr.:,,Person ID,,int,,,,pnr,,
soep-core,soep-core-2014-luecke,0,name,,Vorname:,Bitte in Druckbuchstaben,First Name,Please complete in block capitals!,chr,,,,name,,
soep-core,soep-core-2014-luecke,1,,,Und nun erinnern Sie sich bitte noch einmal an das Jahr 2012,,Now please remember the past year.,,txt,,,,,,1
soep-core,soep-core-2014-luecke,1,1,,"Wir haben hier eine Art Kalender abgebildet. Links steht, was Sie im Jahr 2012 gewesen sein könnten.",,Here you can see a kind of a calendar. On the left site are some statements what could have been in 2010.,,txt,,,,,,1
soep-core,soep-core-2014-luecke,1,2,,"Bitte gehen Sie die Liste durch und kreuzen Sie alle Monate an, in denen Sie zum Beispiel erwerbstätig waren, arbeitslos waren usw. ","Bitte achten Sie darauf, dass für jeden Monat ein Kästchen angekreuzt sein muss! Bei Arbeitslosigkeit: auch wenn kürzer als ein Monat, bitte im entsprechenden Monat ankreuzen. ","Please go thru that list and state all months when you have been for example employed, unemployed etc.","Please mind that there has to be a statement for every month! For unemployment, even if it was shorter than a month, please mark the relevant month.",txt,,,,,,1
soep-core,soep-core-2014-luecke,1,3,,Ich war . . .,,I have been...,,txt,,,,,,1
soep-core,soep-core-2014-luecke,1,pkal01,,voll erwerbstätig (auch ABM oder SAM),,Employed full-time (also ABM or SAM),,chr,,,,pkal01,,1
soep-core,soep-core-2014-luecke,1,pkal13,,in Kurzarbeit,,Employed in short-time work,,chr,,,,pkal13,,1
soep-core,soep-core-2014-luecke,1,pkal02,,teilzeitbeschäftigt,,Employed part-time,,chr,,,,pkal02,,1
soep-core,soep-core-2014-luecke,1,pkal12,,in einem Mini-Job (bis 400 €),,Employed in a mini-job (up to 400 EUR),,chr,,,,pkal12,,1
soep-core,soep-core-2014-luecke,1,pkal03,,in betrieblicher Erstausbildung / Lehre,,In initial occupational training,,chr,,,,pkal03,,1
soep-core,soep-core-2014-luecke,1,pkal04,,"in Fortbildung, Umschulung oder beruflicher Weiterbildung",,In further education,,chr,,,,pkal04,,1
soep-core,soep-core-2014-luecke,1,pkal05,,arbeitslos gemeldet,,Registered unemployed,,chr,,,,pkal05,,1
soep-core,soep-core-2014-luecke,1,pkal06,,in Rente / Pension oder Vorruhestand,,in retirement / early retirement,,chr,,,,pkal06,,1
soep-core,soep-core-2014-luecke,1,pkal07,,im Mutterschutz / Erziehungsurlaub / Elternzeit,,in maternity leave / parental leave,,chr,,,,pkal07,,1
soep-core,soep-core-2014-luecke,1,pkal08,,auf der Schule / Hochschule / Fachschule,,in school / high school / university,,chr,,,,pkal08,,1
soep-core,soep-core-2014-luecke,1,pkal09,,Freiwilliger Wehrdienst/ Wehrübung; Freiwilliges soziales/ökologisches Jahr; Bundesfreiwilligendienst,,"military service, community service, voluntary social year, voluntary ecological year, federal volunteer service",,chr,,1:pkal09a=1:4,,pkal09,,1
soep-core,soep-core-2014-luecke,1,pkal09a,,,,,,cat,pkal09a,,,pkal09a,,1
soep-core,soep-core-2014-luecke,1,pkal10,,Hausfrau / Hausmann,,"Housewife, househusband ",,chr,,,,pkal10,,1
soep-core,soep-core-2014-luecke,1,pkal11,,Sonstiges,,Other,,chr,,,,pkal11,,1
soep-core,soep-core-2014-luecke,1,pkalso,,[Sonstiges:] und zwar:,,[Other]: …,,chr,,,,pkalso,,1
soep-core,soep-core-2014-luecke,2,,,Sind Sie irgendwann im Laufe des Jahres 2012 aus Ihrem damaligen Arbeitsverhältnis ausgeschieden?,Hier ist auch Beurlaubung / Mutterschutz / Elternzeit gemeint!,Have you somehow left your job since the beginning of 2012?,This includes leave of absence (Beurlaubung) / maternity leave / parental leave!,cat,pend1,,2@6,pend1,,2
soep-core,soep-core-2014-luecke,3,,,In welchem Monat war das?,,In which month did you left your job?,,txt,,2;pend1=1,,,,3
soep-core,soep-core-2014-luecke,3,pend2,,Monat,,Month,,int,,,,pend2,,3
soep-core,soep-core-2014-luecke,4,,,Auf welche Weise wurde diese Beschäftigung beendet?,Bitte nur einen Punkt ankreuzen!,Why was the job terminated?,Please only state one entry.,cat,pend6,,,pend6,,4
soep-core,soep-core-2014-luecke,5,,,Wie lange waren Sie insgesamt in Ihrer letzten Stelle beschäftigt?,,How long have you been employed in that job?,,txt,,,,,,5
soep-core,soep-core-2014-luecke,5,pend4,,Jahre,,Years,,int,,,,pend4,,5
soep-core,soep-core-2014-luecke,5,pend5,,Monate,,Months,,int,,,,pend5,,5
soep-core,soep-core-2014-luecke,6,,,"Haben Sie irgendwann im Laufe des Jahres 2012 eine der folgenden Sozialleistungen oder finanziellen Unterstützungen bekommen? Wenn ja, wie viele Monate?  ",,"Did you receive one of the following social benefits / supports during 2010? If yes, how many months? ",,txt,,,,,,6
soep-core,soep-core-2014-luecke,6,pvek06,,Arbeitslosengeld,,Unemployment Benefit,,cat,pvek06,,,pvek06,,6
soep-core,soep-core-2014-luecke,6,pvek07,,Arbeitslosengeld II / Sozialgeld,,"Unemployment Subsidy II, Social Subsidy ",,cat,pvek06,,,pvek07,,6
soep-core,soep-core-2014-luecke,6,pvek08,,Unterhaltsgeld bei Fortbildung / Umschulung; Übergangsgeld,,"Education Support, Transition Benefit",,cat,pvek06,,,pvek08,,6
soep-core,soep-core-2014-luecke,6,pvek10,,"BAföG, Stipendium, Berufsausbildungsbeihilfe",,Student Grant/Scolarship,,cat,pvek06,,,pvek10,,6
soep-core,soep-core-2014-luecke,6,pvek061,,[Arbeitslosengeld: Ja] Monate in 2012,,[Unemployment Benefit:Yes] months in 2010,,int,,6:pvek06=1,,pvek061,,6
soep-core,soep-core-2014-luecke,6,pvek071,,[Arbeitslosengeld II / Sozialgeld: Ja] Monate in 2012,,"[Unemployment Subsidy II, Social Subsidy: yes] months in 2010",,int,,6:pvek07=1,,pvek071,,6
soep-core,soep-core-2014-luecke,6,pvek081,,[Unterhaltsgeld bei Fortbildung / Umschulung Übergangsgeld: Ja] Monate in 2012,,"[Education Support, Transition Benefit: yes] months in 2010",,int,,6:pvek08=1,,pvek081,,6
soep-core,soep-core-2014-luecke,6,pvek101,,"[BAföG, Stipendium, Berufsausbildungsbeihilfe: Ja] Monate in 2012",,[Student Grant/Scolarship: yes] months in 2010,,int,,6:pvek10=1,,pvek101,,6
soep-core,soep-core-2014-luecke,7,,,"Haben Sie im Jahr 2012 eine Schule, eine Berufsausbildung oder ein Hochschulstudium beendet? ",,"Have you completed vocatioanl training, education or university in 2010?",,cat,pab1,,2 @ 11,pab1,,7
soep-core,soep-core-2014-luecke,7,pab2,,In welchem Monat?,,Month,,int,,7;pab1=1,,pab2,,7
soep-core,soep-core-2014-luecke,8,,,Haben Sie diese Ausbildung mit einem Abschluss beendet?,,Have you completed that education successfully?,,cat,pab4,,2 @ 11,pab4,,8
soep-core,soep-core-2014-luecke,9,,,Haben Sie diesen Abschluss in Deutschland oder in einem anderen Land gemacht?,,Have you completed that education in Germany or in another country?,,cat,pab4a,8;pab4=1,,pab4a,,9
soep-core,soep-core-2014-luecke,10,,,Um was für einen Bildungsabschluss handelt es sich?,,What kind of educational achievement is it?,,txt,,,,,,10
soep-core,soep-core-2014-luecke,10,pab5,,Allgemeinbildender Schulabschluss,,General-education school degree,,cat,pab5,,,pab5,,10
soep-core,soep-core-2014-luecke,10,pab5so,,[Anderer Schulabschluss:] und zwar:,,[other school degree]:,,chr,,,,pab5so,,10
soep-core,soep-core-2014-luecke,10,pab6,,Hochschulabschluss,,Completed college/university education,,cat,pab6,,,pab6,,10
soep-core,soep-core-2014-luecke,10,pab6x1,,[Hochschulabschluss:] Bitte Abschluss angeben:,,[college/university] type:,,chr,,,,pab6x1,,10
soep-core,soep-core-2014-luecke,10,pab6x2,,[Hochschulabschluss:] Bitte zusätzlich Fachrichtung angeben:,,[college/university] filed of study:,,chr,,,,pab6x2,,10
soep-core,soep-core-2014-luecke,10,6,,Beruflicher Ausbildungsabschluss,,Vocational training,,txt,,,,,,10
soep-core,soep-core-2014-luecke,10,pab7x,,Bezeichnung des Ausbildungsberufs:,,Type of vocational training,,chr,,,,pab7x,,10
soep-core,soep-core-2014-luecke,10,pab7,,Art der Ausbildung:,,"Type of education,training",,cat,pab7,,,pab7,,10
