study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-pe,0,,," Dieser Fragebogen richtet sich an alle Personen im Haushalt, die 1996 und früher geboren sind.

Ihre Mitarbeit ist freiwillig. Die wissenschaftliche Aussagekraft dieser Untersuchung hängt aber entscheidend von der Mitarbeit aller Personen in allen Haushalten ab.


 Darum bitten wir Sie herzlich,
 – unserem Mitarbeiter dieses Interview zu gewähren
 – oder den Fragebogen sorgfältig selbst auszufüllen.",," This questionnaire is addressed to all persons in the household who were born in 1996 and earlier.

  Your participation is voluntary. But the scientific significance of this study depends
  crucially on the cooperation of all individuals in all households.

  We ask you cordially,

  - To give our employees the interview

  - Or carefully fill out the questionnaire themselves",,txt,,,,,,0
soep-core,soep-core-2014-pe,0,0,,Bitte vor Übergabe unbedingt eintragen lt. Adressprotokoll,,Please enter according to address protocol.,,txt,,,,,,0
soep-core,soep-core-2014-pe,0,hnr,,Nr. des Haushalts:,,Nr. of household,,int,,,,hnr,,0
soep-core,soep-core-2014-pe,0,pnr,,Person Nr.:,,person nr.,,int,,,,pnr,,0
soep-core,soep-core-2014-pe,0,name,,Vorname:,Bitte in Druckbuchstaben,First name,Please print,chr,,,,name,,
soep-core,soep-core-2014-pe,1,,,"Wie zufrieden sind Sie gegenwärtig mit den folgenden Bereichen Ihres Lebens?

Wie zufrieden sind Sie ...","Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert „0“, wenn Sie ganz und gar zufrieden sind, den Wert „10“. Wenn Sie teils zufrieden/teils unzufrieden sind, einen Wert dazwischen.",How satisfied are you today with the following areas of your life?    How satisfied are you with ...,"Please answer on a scale from 0 to 10,
where 0 means completely dissatisfied
and 10 means completely satisfied.",txt,,,,,,1
soep-core,soep-core-2014-pe,1,pzuf01,,mit Ihrer Gesundheit?,,With your health?,,cat,pzuf xx,,,pzuf01,,1
soep-core,soep-core-2014-pe,1,pzuf20,,mit Ihrem Schlaf?,,With your sleep?,,cat,pzuf xx,,,pzuf20,,1
soep-core,soep-core-2014-pe,1,pzuf02,,(falls Sie erwerbstätig sind) mit Ihrer Arbeit?,,(if employed) With your job?,,cat,pzuf xx,,,pzuf02,,1
soep-core,soep-core-2014-pe,1,pzuf03,,(falls Sie im Haushalt tätig sind) mit Ihrer Tätigkeit im Haushalt?,,(if you are a homemaker) With your work in the home?,,cat,pzuf xx,,,pzuf03,,1
soep-core,soep-core-2014-pe,1,pzuf04,,mit dem Einkommen Ihres Haushalts?,,With your household income?,,cat,pzuf xx,,,pzuf04,,1
soep-core,soep-core-2014-pe,1,pzuf05,,mit Ihrem persönlichen Einkommen?,,With your personal income?,,cat,pzuf xx,,,pzuf05,,1
soep-core,soep-core-2014-pe,1,pzuf07,,mit Ihrer Wohnung?,,With your dwelling?,,cat,pzuf xx,,,pzuf07,,1
soep-core,soep-core-2014-pe,1,pzuf08,,mit Ihrer Freizeit?,,With your leisure time?,,cat,pzuf xx,,,pzuf08,,1
soep-core,soep-core-2014-pe,1,pzuf09,,(falls Sie Kinder im Vorschulalter haben) mit den vorhandenen Möglichkeiten der Kinderbetreuung?,,(if you have small children) With the childcare available?,,cat,pzuf xx,,,pzuf09,,1
soep-core,soep-core-2014-pe,1,pzuf13,,mit Ihrem Familienleben?,,With your family life?,,cat,pzuf xx,,,pzuf13,,1
soep-core,soep-core-2014-pe,1,pzuf06,,mit ihrer Schul- und Berufsausbildung?,,"
with your education and vocational training?",,cat,pzuf xx,,,pzuf06,,1
