study,questionnaire,question,item,concept,text_de,instruction_de,text,instruction,answer_list,scale,filter,goto,description
soep-core,soep-core-2012-e1,0,,,"Herzlichen Glückwunsch – noch nachträglich – zur Geburt Ihres Kindes! Für das „Leben in Deutschland“ist die nachwachsende Generation besonders wichtig. In diesem kurzen Fragebogen geht es um Kinder, die im Jahr 2011 oder 2012 geboren wurden. Unsere Fragen beziehen sich auf Ihre persönlichen Erfahrungen und die Entwicklung des Kindes. Da es auch um die Schwangerschaft geht, richtet sich der Fragebogen nur an die Mütter.
Ihre Mitarbeit ist freiwillig. 
Wir bitten Sie aber herzlich,
– unserem Mitarbeiter die Fragen zu beantworten 
– oder den Fragebogen sorgfältig selbst auszufüllen.",,,,,txt,,,
soep-core,soep-core-2012-e1,0,1,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,,,,txt,,,
soep-core,soep-core-2012-e1,0,hnr,hnr,Nr. des Haushalts:,,,,,int,,,
soep-core,soep-core-2012-e1,0,mname,mname,Vorname der Mutter:,Bitte in Druckbuchstaben,,,,chr,,,
soep-core,soep-core-2012-e1,0,mpnr,mpnr,Person Nr.:,,,,,int,,,
soep-core,soep-core-2012-e1,1,,,Wie heißt Ihr neugeborenes Kind?,Bitte in Druckbuchstaben.,What’s your newborn child’s name?,Please print in capital letters.,,txt,,,Name
soep-core,soep-core-2012-e1,1,aname,aname,Vorname des Kindes,,Child’s first name,,,chr,,,
soep-core,soep-core-2012-e1,1,apnr,apnr,Personen Nr.,,Person ID,,,int,,,
soep-core,soep-core-2012-e1,2,,agebj,In welchem Jahr und Monat wurde Ihr Kind geboren,,In what year and month was your child born?,,agebj,cat,,,Geburtstag
soep-core,soep-core-2012-e1,2,agebm,agebm,Monat,,Month,,,int,,,
soep-core,soep-core-2012-e1,3,,aent,An welchem Ort fand die Entbindung statt?,,Where was your baby delivered?,,aent,cat,,,Entbindungsort
soep-core,soep-core-2012-e1,3,aent1,aent1,War es eine Entbindung mit Kaiserschnitt?,,Was the baby delivered by caesarean section?,,aent1,cat,3;aent=2 | 3 ,,Kaiserschnitt
soep-core,soep-core-2012-e1,4,,,In der wievielten Schwangerschaftswoche wurde Ihre Kind geboren?,,In what week of pregnancy was your baby born?,,,txt,,,Schwangerschaftswoche
soep-core,soep-core-2012-e1,4,awoch,awoch,In der … Woche,,In the … week,,,int,,,
soep-core,soep-core-2012-e1,5,,,Wie groß und schwer war Ihr Kind zum Zeitpunkt der Geburt?,,What did your baby weigh/measure at birth?,,,txt,,,
soep-core,soep-core-2012-e1,5,agew,agew,Geburtsgewicht in Gramm,,Birth weight in grams,,,int,,,Geburtsgewicht
soep-core,soep-core-2012-e1,5,agro,agro,Körpergröße in cm,,Height in centimeters,,,int,,,Geburtsgröße
soep-core,soep-core-2012-e1,5,akop,akop,Kopfumfang in cm,,Head circumference in centimeters,,,int,,,Kopfumfang
soep-core,soep-core-2012-e1,6,,astil1,"Haben Sie Ihr Kind gestillt, und wenn ja, wie lange?",,Did you breastfeed your baby?,,astil x,cat,,,Gestillt?
soep-core,soep-core-2012-e1,6,astil2,astil2,Habe länger gestillt und zwar: … Monate,,I breastfed for a longer period: … months,,,int,,,gesundheitliche Probleme
soep-core,soep-core-2012-e1,7,,ages1,"Gab es bei Ihrem Kind in den ersten drei Monaten nach der Geburtz ernste gesundheitliche Probleme, die einen Krankenhausaufenthalt notwendig machten?",,"During the first three months after your baby’s birth, did your child experience health problems that necessitated a hospital stay?",,ages1,cat,,,
soep-core,soep-core-2012-e1,7,ages2,ages2,[Ja] und zwar … Tage,,[Yes]: … days,,,int,7;ages1=1,,U-Untersuchungen
soep-core,soep-core-2012-e1,8,,,"Nach der Geburt erhält man ein „Kinder-Untersuchungsheft“ für ärztliche Vorsorgeuntersuchungen (U2, U3, usw.). Welche  war die letzte durchgeführte Untersuchung bei Ihrem Kind?",,"After giving birth, the mother receives a “child health record” for medical check-ups (referred to as “U2” for the second check-up, “U3” for the third, etc.). Which was your child’s last check-up?",,,txt,,,
soep-core,soep-core-2012-e1,8,aunt,aunt,U,,U,,,int,,,
soep-core,soep-core-2012-e1,8,auntno,auntno,Es wurde keine dieser Untersuchungen durchgeführt,,None of these check-ups where conducted,,,bin,,,Verzögerungen
soep-core,soep-core-2012-e1,9,,astor,"Wurden bei Ihrem Kind Anhaltspunkte für Verzögerungen, Störungen oder Behinderungen festgestellt?",,"Has your child been diagnosed with any delays, disorders, or disabilities?",,astor,cat,,3 @ 11,"Welche Verzögerungen, Behinderungen, Störungen"
