concept,topic,label_de,label
_100_p_tim,tim,"Beruf,Lehre,Nebenerw. Std., So","Hours Sunday Job, Training"
_1000_p_ila,ila,Entwicklung des Lebensunterhaltskosten,Developments In Cost Of Living
_1001_p_ila,ila,Entwicklung d. reg. Umweltsituation,Developments In Local Environment
_1002_p_ila,ila,Entwicklung der polit. Einflussnahme,Developments In Political Activity
_1004_p_dtw,dtw,Arbeitsplatz in alten bzw. neuen BL.,Place Of Work In East Or West Germany
_1005_p_trf,trf,1993 ueberhaupt keine Einkuenfte,No Income At All Prev Yr
_1007_p_isd,isd,Erwerbsunfaehigkeitsrente abgelehnt,Disability Benefits Declined
_1008_p_isd,isd,Jahr Ablehnung d. Erwerbsunfaehigk.rente,Year Declined Disability Benefits
_1009_p_dov,dov,Anzahl d. Besuche bei prakt. Arzt,Number Of Visits To General Practitioner
_101_p_tim,tim,"Nebenerwerbsttgkt,Sonntg.o.Ber.Tgkt,Std",Hours Sunday On Handicraft Work
_1010_p_dov,dov,Anzahl d. Besuche beim Internisten,Number Of Visits To Internist
_1011_p_dov,dov,Anzahl d. Besuche beim Zahnarzt,Number Of Visits To Dentist
_1012_p_dov,dov,Anzahl d. Besuche beim Frauenarzt,Number Of Visits To Gynecologist
_1013_p_dov,dov,Anzahl d. Besuche beim H-N-O Arzt,Number Of Visits To Ent Specialist
_1014_p_dov,dov,Anzahl d. Besuche beim Orthopaeden,Number Of Visits To Orthopaedist
_1015_p_dov,dov,Anzahl d. Besuche beim Hautarzt,Number Of Visits To Dermatologist
_1016_p_dov,dov,Anzahl d. Besuche beim Urologen,Number Of Visits To Urologist
_1017_p_dov,dov,Anzahl d. Besuche beim Augenarzt,Number Of Visits To Optometrist
_1018_p_dov,dov,Anzahl d. Besuche beim Roentgenarzt,Number Of Visits To Radiologist
_1019_p_dov,dov,Anzahl d. Besuche bei sonstigen Aerzten,Number Of Visits To Other Doctor
_1031_p_vda,vda,Hoher Lebensstandard,Higher Standard Of Living
_1032_p_vda,vda,"Phantasie,Kreativit. entwickeln",Develop Creativity
_1033_p_vda,vda,"Gesetz,Ordnung respektieren",Respect Law And Order
_1034_p_vda,vda,Fuer benacht. Gruppen einsetzen,Support Disadvantaged Groups
_1035_p_vda,vda,Nach Sicherheit streben,Strive For Safety
_1036_p_vda,vda,Sich politisch engagieren,Be Politically Active
_1037_p_vda,vda,Gute Dinge d. Lebens geniessen,Enjoy The Good Things In Life
_1038_p_vda,vda,"Fleissig, ehrgeizig sein","Be Industrious,Ambitious"
_1039_p_vda,vda,"Gefuehle offen zeigen, ausleben",Live Life To The Fullest
_1040_p_vda,vda,"And. Menschen helfen, nicht a.s.denken",Help Others
_1041_p_vda,vda,Seine Beduerf. geg. andere durchsetzen,Assert Oneself
_1042_p_mbr,mbr,Kein Mitglied v. Gewerks. Berufsverb,"Not A Trade Union,Association Member"
_1043_p_oct,oct,Erwerbstaetig gewesen bis zum Jahr ..,Year Last Job Ended
_1044_p_lme,lme,Nie erwerbstaetig,Never Gainfully Employed
_1045_p_jcl,jcl,Letzter Erwerbsstatus,Employment Status In Last Job
_1046_p_jcl,jcl,"Letzter Betrieb,Oeffentlicher Dienst",Last Worked In Civil Service
_1047_p_jcl,jcl,"Letzte Stellung,Arbeiter",Last Worked As Blue-Collar Worker
_1048_p_jcl,jcl,"Letzte Stellung,Selbstaendige",Last Worked As Self-Employed
_1049_p_jcl,jcl,"Letzte Stellung,Auszubildende, Praktikt.","Last Was In Training,Education"
_1050_p_jcl,jcl,"Letzte Stellung,Angestellte",Last Worked As White-Collar Worker
_1051_p_jcl,jcl,"Letzte Stellung,=Beamte",Last Worked As Public Servant
_1065_p_oct,oct,Ende letzte Stellung im Jahr ..,Year Last Job Ended
_107_p_tim,tim,"Besorgungen Std., So",Hours Sunday Running Errands
_1127_p_saf,saf,Wichtigster Kurs Nr.,Number Of Most Important Course
_1128_p_saf,saf,Ein Kurs bzw. alle gleich wichtig,All Courses Are Equally Important
_113_p_tim,tim,"Hausarbt,Besorg.,Samstag.m.Ber.Tgkt,Std","Hours Saturday On Housework,Errands"
_114_p_tim,tim,"Hausarbt,Besorg.,Samstag.o.Ber.Tgkt,Std","Hours Saturday On Housework,Errands"
_1141_p_fvi,fvi,Kursteilnahme,Initiative For Taking Course
_1148_p_fvf,fvf,Finan.Hilfe und zwar,Provider Of Financial Support
_1153_p_fvf,fvf,Motivation zu BW ohne finaz.Hilfe,Further Education Exc Financial Support
_116_p_tim,tim,"Hausarbt,Besorg.,Sonntag.m.Ber.Tgkt,Std","Hours Sunday On Housework,Errands"
_1162_p_saf,saf,Hat sich Weiterbildung ausgezahlt,further education worthwhile
_1163_p_saf,saf,WB anwendbar i. anderem Betrieb,newly acquired skills useful in new job
_1164_p_saf,saf,Medien zu Gesundh.fragen,Media About Health Topics
_1165_p_saf,saf,"Medien zu Kindererz.,Schule",Media Lectures About Raising Children
_1166_p_saf,saf,Medien zu Partnersch.fragen,"Media About Personal, Family Problems"
_1167_p_saf,saf,Medien zu Sprachkenntnissen,Media About Language Skills
_1168_p_saf,saf,"Medien zu prakt.,handw. Faehigkt.",Media About Practical Crafts Or Trades
_1169_p_saf,saf,"Lehrgang zu PC,Internet","Lectures About PC, Internet"
_117_p_tim,tim,"Hausarbt,Besorg.,Sonntag.o.Ber.Tgkt,Std","Hours Sunday On Housework,Errands"
_1170_p_saf,saf,"Medien zu PC,Internet","Media About PC, Internet"
_1171_p_saf,saf,"Medien zu kuenstl.,musikal. Faehigkt.","Media About Musical, Artistic Skills"
_1172_p_saf,saf,"Medien zu Versich.,Rente,Steuern","Media About Insurance, Taxes"
_1173_p_saf,saf,"Medien zu polit.,staatsbuergerl. Fragen","Media About Politics, Citizens Rights"
_1174_p_saf,saf,"Medien zu Naturwiss.,Technik","Media About Natural Sciences, Technology"
_1175_p_saf,saf,Medien zu Umweltschutz,"Media About Environmental Protection,"
_1176_p_saf,saf,Medien zu Sport,Media About Sport
_1177_p_saf,saf,"Medien zu Wissen ueber Kunst,Literatur e","Media About Art, Literature, History"
_1178_p_saf,saf,Medien zu sonstigen Themen,Media About Other Topics
_1179_p_old,old,Betrag Knappschaft A,Amt. Miner Pension-Self
_1196_p_tax,tax,Lohn- Einkommensteuer 1992 gezahlt,Paid Income Tax Two Years Ago
_1198_p_tax,tax,Zweite Lohnsteuerkarte Klasse 6,Tax Deduction On Second Income
_1199_p_tax,tax,T.n.z. hatte keine Steuerkarte,No Tax Deduction On Second Income
_1200_p_tax,tax,Anz. der Kinder auf der Lohnst.karte,Number Of Children Under Tax Deduction
_1201_p_tax,tax,Kein Kind auf der Lohnst.karte,No Children Under Tax Deduction
_1202_p_tax,tax,Freibetrag auf der Lohnst.karte,Income Tax Deduction Previous Yr
_1203_p_tax,tax,Betrag des Freibetrages der L.karte,Amount Of Income Tax Deduction Prev Yr
_1204_p_mpl,mpl,Anlass f. Umzug in Ausland,Reason For Moving To Another Country
_121_p_tim,tim,"Kinderbetreuung, Samstag.m.Ber.Tgkt,Std",Hours Saturday On Child Care
_1215_p_vod,vod,Kein Ausbildungsabschluss,No Degree
_1217_p_vod,vod,"Berufsausbildung,Facharbeiterabschluss","Vocational,Specialist Training Completed"
_1218_p_vod,vod,Meisterabschluss,Master Craftsman Degree
_1219_p_vod,vod,"Ingenieur-,Fachschulabschluss",Engineer And Vocational School Degree
_122_p_tim,tim,"Kinderbetreuung, Samstag.o.Ber.Tgkt,Std",Hours Saturday On Child Care
_1220_p_vod,vod,"Hochschul-,Universitaetsabschluss","College,University Degree"
_1221_p_vod,vod,Sonstiger Ausbildungsabschluss,Other Type Of Education Completed
_1222_p_vod,vod,Keinen Ausbildungsabschluss,No Degree
_1224_p_seh,seh,"Zweitwohnung, liegt wo?",Location of Second Residence
_1225_p_seh,seh,gemeldeter 2. Wohnsitz,Registered 2. Residence
_1226_p_seh,seh,"bei Zweitwohnung, welche wird genutzt?",Dwelling Used Predominantly
_1227_p_seh,seh,"Von welcher Wohng zur Arbeit,Schule",From Which Dwelling To Work
_1228_p_ona,ona,Staatsangeheorigkeit,Nationality
_1229_p_bmi,bmi,"Seit wann in Ost-,Westteil Dtschlands","Since when in East,West Germany ... Filter"
_1230_p_bmi,bmi,"Seit welchem Jahr in Ost-,Westdeutl.","Since when in East,West Germany ... Year"
_1231_p_bmi,bmi,Wo vorher gelebt,Area Of Origin
_1232_p_rer,rer,Umzug zw. Ost- und West-Deutschland,Moved Between East And West Germany
_1233_p_fvc,fvc,"Thema, Inhalt des Kurses codiert","Subject, Course Content Coded"
_1234_p_ola,ola,Handarbeiten,Craft Work
_1235_p_ola,ola,"Renovieren, Tapezieren etc.",Renovation
_1236_p_ola,ola,"Reparaturen in und am Haus, der Wohnung",Home Repair
_1237_p_ola,ola,"Reparaturen am Auto, Motorrad usw.",Auto Repair
_1238_p_ola,ola,Obst- und Gemueseanbau im Garten,Garden Work
_1239_p_ola,ola,Sonstige Eigenarbeit,Other Do-It-Yourself Work
_124_p_tim,tim,"Kinderbetreuung, Sonntag.m.Ber.Tgkt,Std",Hours Sunday On Child Care
_1240_p_ola,ola,Keine Eigenarbeit,No Do-It-Yourself Work
_1241_p_olm,olm,Mir machen diese Arbeiten Spass,Enjoy Do-It-Yourself Work
_1242_p_olm,olm,Eigenarbeit ist besser oder schneller,Do-It-Yourself Work Is Better Or Faster
_1243_p_olm,olm,Ich spare dadurch Geld,Save Money By Doing It Myself
_1245_p_sde,sde,Derzeitige Beschaeftigung,Duration Of Work Contract
_1246_p_dtw,dtw,"T.n.z., Wechselnder Arbeitsort",Does Not Apply
_1247_p_whd,whd,Woechentlich wechselnde Zahl der Tage,No Fixed Number Of Days Per Week
