study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-s,0,,,Fragebogen für Schülerinnen und Schüler,,Questionnaire for students,,txt,,,,,,
soep-core,soep-core-2014-s,0,0,,"Dieser Fragebogen richtet sich an junge Personen im Haushalt, die 2002 geboren sind und erstmals persönlich an der Befragung teilnehmen.
Deine Mitarbeit ist freiwillig. Die wissenschaftliche Aussagekraft dieser Untersuchung hängt aber entscheidend von der Mitarbeit aller Personen in allen Haushalten ab.
Darum bitten wir alle Schülerinnen und Schüler dieser Altersgruppe herzlich,
- unserem Mitarbeiter dieses Interview zu gewähren
- oder den Fragebogen sorgfältig selbst auszufüllen.

At first we kindly ask you, as parents or legal guardians to give your permission to the survey of your child, who is stated below.",,"This questionnaire is adressed to young persons in the household, who were born in 2002 and who participate in the survey for the first time.
Your cooperation is voluntary. The scientific validity of this survey depends crucially on the participation of every member of every household. 
Therefore we kindly ask you: To allow our representative to carry out this interview or to fill out the questionnaire carefully yourself.",,txt,,,,,,
soep-core,soep-core-2014-s,0,1,,"Zunächst bitten wir Sie als Eltern/Erziehungsberechtigte, Ihr Einverständnis zur Befragung Ihres unten genannten Kindes zu erteilen.","Der Interviewer / die Interviewerin wird am Ende des Fragebogens bestätigen, dass er / sie erst mit der Befragung begonnen hat, nachdem Sie Ihr Einverständnis dazu erteilt haben! 
Sollte die Befragung ohne Interviewer durchgeführt werden, erteilen Sie Ihr Einverständnis durch die Ãœbergabe des Fragebogens an Ihr Kind! 
Der Schülerin / dem Schüler sollte aber die Gelegenheit gegeben werden, die Fragen ohne Einflußnahme der Eltern zu beantworten! ",,"In the end of the questionnaire the interviewer will confirm that the interview wasn’t started until you gave your approval!
Should the survey be exercised in the absence of an interviewer, you give your approval by handing out the questionnaire to your child!
The student should be given the possibility to answer the questions without any influence of his/her parents!",txt,,,,,,
soep-core,soep-core-2014-s,0,hnr,,"
Nr. des Haushalts: ",,Household number,,int,,,,hnr,,
soep-core,soep-core-2014-s,0,pnr,,"
Person Nr.: ",,Person number:,,int,,,,pnr,,
soep-core,soep-core-2014-s,0,name,,Vorname der Schülerin/des Schülers,Bitte in Druckbuchstaben,Student's first name,Please use capital letters.,chr,,,,name,,
soep-core,soep-core-2014-s,0,2,,"
Geburtsjahr und Geburtsmonat der Schülerin / des Schülers ",,Student's year and month of birth,,txt,,,,,,
soep-core,soep-core-2014-s,0,sgebj,,2002,,2002,,bin,,,,sgebj,,
soep-core,soep-core-2014-s,0,sgebm,,Monat,,Month,,int,,,,sgebm,,
soep-core,soep-core-2014-s,1,,,"Als Erstes kommen ein paar Aussagen die zum Beispiel mit: ""Ich bin ..."", ""Ich habe ..."" oder ""Ich versuche ..."" anfangen und bei denen Du denken kannst, dass es bei Dir genau so ist - also, dass es ""voll zutrifft"" oder dass es bei Dir gar nicht so ist - also, ""gar nicht zutrifft"" oder dass es nur ""zum Teil zutrifft"". Beantworte bitte alle Fragen so gut Du kannst, selbst wenn Du Dir nicht ganz sicher bist oder Dir eine Frage merkwürdig vorkommt. ",,"We'll start with some statements beginning with phrases like „I am“ or „I have“ or „I try“. You might think a statement is completely true of you („completely true of me“) or that it isn't true of you at all („not true of me at all“). It might also be partially true of you. Please answer all the questions as well as you can, even if you're not sure or if the question seems strange to you.",,txt,,,,,,
soep-core,soep-core-2014-s,1,sbhv01,,"Ich versuche, nett zu anderen Menschen zu sein, ihre Gefühle sind mir wichtig ",,I try to be nice to others. Their feelings are important to me.,,cat,sbhvxx,,,sbhv01,,
soep-core,soep-core-2014-s,1,sbhv02,,"Ich bin oft unruhig, ich kann nicht lange stillsitzen ",,I'm often restless and can’t sit still for long.,,cat,sbhvxx,,,sbhv02,,
soep-core,soep-core-2014-s,1,sbhv03,,Ich habe häufig Kopfschmerzen oder Bauchschmerzen oder mir wird oft schlecht,,I often have headaches or stomach aches or feel nauseous.,,cat,sbhvxx,,,sbhv03,,
soep-core,soep-core-2014-s,1,sbhv04,,Ich teile gerne mit anderen,,I like to share with others,,cat,sbhvxx,,,sbhv04,,
soep-core,soep-core-2014-s,1,sbhv05,,Ich werde leicht wütend; ich verliere oft meine Beherrschung,,I'm easily irritated and often lose my temper.,,cat,sbhvxx,,,sbhv05,,
soep-core,soep-core-2014-s,1,sbhv06,,Ich bin meistens für mich allein; ich beschäftige mich lieber mit mir selbst,,I spend most of my time alone,I prefer to do my own thing.,cat,sbhvxx,,,sbhv06,,
