study,questionnaire,answer_list,value,label_de,label
soep-core,soep-core-2014-s,sbhvxx,1,Trifft gar nicht zu,Not true of me at all
soep-core,soep-core-2014-s,sbhvxx,2,Trifft teilweise zu,Partly true of me
soep-core,soep-core-2014-s,sbhvxx,3,Trifft voll zu,Completely true of me
soep-core,soep-core-2014-s,sklaus2,1,Keiner,Nobody
soep-core,soep-core-2014-s,sklaus2,2,Weiß nicht,I don`t know
soep-core,soep-core-2014-s,xx,1,Ja,Yes
soep-core,soep-core-2014-s,xx,2,Nein,No
soep-core,soep-core-2014-s,sschabe,1,Hauptschulabschluss,Lower secondary school-leaving certificate (Hauptschulabschluss)
soep-core,soep-core-2014-s,sschabe,2,Realschulabschluss/mittlerer Schulabschluss,"Intermediate secondary school-leaving certificate (Mittlere Reife, Realschulabschluss)"
soep-core,soep-core-2014-s,sschabe,3,Abitur,Upper secondary school-leaving certificate (Abitur)
soep-core,soep-core-2014-s,selt1,1,Sehr stark,Very interested
soep-core,soep-core-2014-s,selt1,2,Ziemlich stark,Fairly interested
soep-core,soep-core-2014-s,selt1,3,Eher wenig,Not very interested
soep-core,soep-core-2014-s,selt1,4,Überhaupt nicht,Not interested at all
soep-core,soep-core-2014-s,sstpanz,1,Jede Woche,Every week
soep-core,soep-core-2014-s,sstpanz,2,Jede Zweite Woche,Every other week
soep-core,soep-core-2014-s,sstpanz,3,Seltener,Less often
soep-core,soep-core-2014-s,sstpanz,4,Keine Schule,No school
soep-core,soep-core-2014-s,shaus1,1,Zu Hause ,At home  
soep-core,soep-core-2014-s,shaus1,2,"In der Schule, im Schulhort ","At school, in an after-school program"
soep-core,soep-core-2014-s,shaus1,3,"Im Jugendzentrum, Gemeindetreff ",At a youth or community center 
soep-core,soep-core-2014-s,shaus1,4,Bei Verwandten z.B. Großeltern ,"With relatives (grandparents, etc.)"
soep-core,soep-core-2014-s,shaus1,5,"Bei Freunden, Nachbarn ",With friends or neighbors
soep-core,soep-core-2014-s,shaus1,6,Woanders ,Elsewhere
soep-core,soep-core-2014-s,shaus1,7,Ich habe keine Hausaufgaben ,I'm not assigned any homework
soep-core,soep-core-2014-s,shaus2,1,Weniger als eine halbe Stunde am Tag,Less than half an hour per day
soep-core,soep-core-2014-s,shaus2,2,Eine halbe bis unter 1 Stunde am Tag,A half hour to one hour per day
soep-core,soep-core-2014-s,shaus2,3,1 bis unter 2 Stunden am Tag,One to two hours per day
soep-core,soep-core-2014-s,shaus2,4,2 bis unter 3 Stunden am Tag,Two to three hours per day
soep-core,soep-core-2014-s,shaus2,5,3 bis unter 4 Stunden am Tag ,Three to four hours per day
soep-core,soep-core-2014-s,shaus2,6,4 und mehr Stunden am Tag ,Four or more hours per day
soep-core,soep-core-2014-s,shausxx,1,Nie,Never
soep-core,soep-core-2014-s,shausxx,2,Selten,Seldom
soep-core,soep-core-2014-s,shausxx,3,Manchmal,Sometimes
soep-core,soep-core-2014-s,shausxx,4,Oft,Often
soep-core,soep-core-2014-s,shausxx,5,Immer,Always
soep-core,soep-core-2014-s,shausxx,6,Trifft nicht zu,Does not apply   
soep-core,soep-core-2014-s,sfzxx,1,Täglich,Daily
soep-core,soep-core-2014-s,sfzxx,2,Jede Woche,Every week 
soep-core,soep-core-2014-s,sfzxx,3,Jeden Monat,Every month 
soep-core,soep-core-2014-s,sfzxx,4,Seltener,Less often 
soep-core,soep-core-2014-s,sfzxx,5,Nie,Never
soep-core,soep-core-2014-s,sfrsxx,1,Hauptschulabschluss,Lower secondary school-leaving certificate (Hauptschulabschluss)
soep-core,soep-core-2014-s,sfrsxx,2,Realschulabschluss / mittlerer Schulabschluss ,"Intermediate secondary school-leaving certificate (Mittlere Reife, Realschulabschluss)"
soep-core,soep-core-2014-s,sfrsxx,3,Abitur ,Upper secondary school-leaving certificate (Abitur)
soep-core,soep-core-2014-s,sfrsxx,4,Weiß nicht ,Don't know
soep-core,soep-core-2014-s,sfrkxx,1,Kindergarten ,Kindergarten
