study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-ll,0,,,"Dieser Fragebogen ergänzt die Angaben im grünen Personenfragebogen. Er enthält Informationen zur Person, die nur einmal erfragt werden.
Achtung: Jugendliche, die 1997 geboren sind, erhalten stattdessen den roten Jugendfragebogen.
Ihre Mitarbeit ist freiwillig. Die wissenschaftliche Aussagekraft dieser Untersuchung hängt aber entscheidend von der Mitarbeit aller Personen ab.
Darum bitten wir Sie herzlich, unserem Mitarbeiter dieses Interview zu gewähren oder den Fragebogen sorgfältig selbst auszufüllen.",,"This questionnaire complements information of the green personal questionnaire. Attention: Youth, born 1997 need to complete the red youth questionnaire. Your participation is voluntary but the scientific relevance of this study depends crucially on the participation of every member of every household. Therefore we ask that: You allow our representative to carry out this interview, or you carefully fill out the questionnaire yourself.",,txt,,,,,,
soep-core,soep-core-2014-ll,0,1,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,"Before handing in the questionnaire, please enter in accordance with the address log:",,txt,,,,,,
soep-core,soep-core-2014-ll,0,hnr,,Nr. des Haushalts:,,No. of household:,,int,,,,hnr,,
soep-core,soep-core-2014-ll,0,pnr,,Person Nr.:,,Person No.:,,int,,,,pnr,,
soep-core,soep-core-2014-ll,0,name,,Vorname:,Bitte in Druckbuchstaben,Prename:,Please use block capitals,chr,,,,name,,
soep-core,soep-core-2014-ll,1,,,In welchem Jahr und in welchem Monat sind Sie geboren?,,What are your birth month and birth year?,,txt,,,,,"Researcher Notes:
Maximum: 1900
",1
soep-core,soep-core-2014-ll,1,lgeb,,Jahr,,Year,,int,,,,lgeb,,1
soep-core,soep-core-2014-ll,1,lgebmo,,Monat,,Month,,int,,,,lgebmo,,1
soep-core,soep-core-2014-ll,2,,,"In welchem Ort sind Sie geboren?
Bitte nennen Sie bei Orten, die es mehrmals gibt bzw. bei kleinen Orten den Namen der nahegelegenen Stadt mit. ","Tragen Sie bitte den Ortsnamen in das linke Feld und ggf. die Zusatzangabe in das rechte Feld.
Bitte verfahren Sie auch entsprechend bei Geburtsorten, die nicht in Deutschland liegen. Z. B. „Düsseldorf“, „Frankfurt an der Oder“, „Frankfurt am Main“ in das linke Feld und im Fall von „Roßdorf
bei Schmalkalden“, tragen Sie „Roßdorf“ in das linke und „bei Schmalkalden“ in das rechte Feld ein.
Bitte verfahren Sie auch entsprechend bei Geburtsorten, die nicht in Deutschland liegen. ",Where were you born?,"Please write the name of the town in the left blank and any additional information in the right blank. For example, write ""Düsseldorf,"" ""Frankfurt an der Oder,"" ""Frankfurt am Main,"" in the left blank and in the case of ""Roßdorf bei Schmalkalden,, write ""Roßdorf"" in the left and ""bei Schmalkalden"" in the right blank. Please do the same for birthplaces outside Germany.",txt,,,,,,2
soep-core,soep-core-2014-ll,2,lgebort1,,Ort,"Bitte heutige, ggf. deutsche Bezeichnung eintragen! ",Place:,"Please state the present, if applicable German name:",chr,,,,lgebort1,,2
soep-core,soep-core-2014-ll,2,lgebort2,,Zusatzangabe,,additional entry:,,chr,,,,lgebort2,,2
soep-core,soep-core-2014-ll,3,,,Wo liegt Ihr Geburtsort heute?,,Where is your birthplace located today?,,cat,lgebd,,1 @ 14,lgebd,,3
soep-core,soep-core-2014-ll,3,lgebal,,[Außerhalb Deutschlands] und zwar:,Bitte heutige Bezeichnung ggf. deutsche Bezeichnung  eintragen!,Outside of germany:,"Please give the current (if relevant, German) name!",chr,,,,lgebal,,3
soep-core,soep-core-2014-ll,4,,,Sind Sie aufgrund von Flucht oder Vertreibung nach dem zweiten Weltkrieg bis 1950 auf das heutige Gebiet Deutschlands gekommen?,,Did you come due to flight or expulsion after the second world war until 1950 on the today's territory of Germany?,,cat,lflucht,,1 @ 20,lflucht,,4
soep-core,soep-core-2014-ll,5,,,Wann sind Sie nach Deutschland zugezogen?,"Falls Sie mehrmals nach Deutschland zugezogen sind, beziehen Sie sich bitte auf den letzten Zuzug!
Dies gilt auch für die folgenden Fragen 6-13! ",When did you move to Germany?,"If you repeatedly moved to Germany, please refer to the last influx! The same applies to the following questions 6-13!",txt,,4;lflucht = 2,,,,5
soep-core,soep-core-2014-ll,5,lzug01,,Jahr,,Year,,int,,,,lzug01,,5
