study,questionnaire,answer_list,value,label_de,label
soep-core,soep-core-2014-ll,lgebd,1,In Deutschland,In Germany 
soep-core,soep-core-2014-ll,lgebd,2,Außerhalb Deutschland,Another country
soep-core,soep-core-2014-ll,lflucht,1,Ja,Yes
soep-core,soep-core-2014-ll,lflucht,2,Nein,No
soep-core,soep-core-2014-ll,l1amt,1,Einfacher Dienst,Lower level
soep-core,soep-core-2014-ll,l1amt,2,Mittlerer Dienst,Middle level
soep-core,soep-core-2014-ll,l1amt,3,Gehobener Dienst,Upper level
soep-core,soep-core-2014-ll,l1amt,4,Höherer Dienst,Executive level
soep-core,soep-core-2014-ll,l1ang,1,Angestellte mit einfacher Tätigkeit ohne Ausbildungsabschluss,Salaried employee engaged in unskilled activities without completed training/education
soep-core,soep-core-2014-ll,l1ang,2,Angestellte mit einfacher Tätigkeit mit Ausbildungsabschluss,Salaried employee engaged in unskilled activities with completed training/education
soep-core,soep-core-2014-ll,l1ang,3,"Angestellte mit qualifizierter Tätigkeit (z.B. Sachbearbeiter, Buchhalter, technischer Zeichner)","Salaried employee engaged in skilled activities (e.g., executive officer, bookkeeper, technical draftsman)"
soep-core,soep-core-2014-ll,l1ang,4,"Angestellte mit hochqualifizierter Tätigkeit oder Leitungsfunktion (z.B. wissenschaftlicher Mitarbeiter, Ingenieur, Abteilungsleiter)","Salaried employee engaged in highly skilled activities or managerial function (e.g., scientist, engineer, department head)"
soep-core,soep-core-2014-ll,l1erw x,1,"Arbeiter, auch in der Landwirtschaft, ohne Führungsaufgaben ",Blue-collar worker (Arbeiter) (also in agriculture with an executive position)
soep-core,soep-core-2014-ll,l1erw x,2,"Arbeiter, auch in der Landwirtschaft mit Führungsaufgaben",Blue-collar worker (Arbeiter) (also in agriculture without an executive position)
soep-core,soep-core-2014-ll,l1erw x,3,Angestellte ohne Führungsaufgaben,White collar worker with an executive potition
soep-core,soep-core-2014-ll,l1erw x,4,Angestellte mit Führungsaufgaben,White collar worker without an executive potition
soep-core,soep-core-2014-ll,l1erw x,5,"Selbständige, einschl. mithelfende Familienangehörige",Self-employed (including family members working for the self-employed)
soep-core,soep-core-2014-ll,l1erw x,6,"Beamte / Staatsverwaltung, einschl. Richter und Berufssoldaten ohne Führungsaufgaben",Civil servant or public administration employee (including judges and professional soldiers with executive position))
soep-core,soep-core-2014-ll,l1erw x,7,"Beamte / Staatsverwaltung, einschl. Richter und Berufssoldaten mit Führungsaufgaben",Civil servant or public administration employee (including judges and professional soldiers without executive position))
soep-core,soep-core-2014-ll,l1erw x,8,Da war ich nicht / nicht mehr Erwerbstätig,I was not there / not employed anymore
soep-core,soep-core-2014-ll,l1erwt,1,Ja,Yes
soep-core,soep-core-2014-ll,l1erwt,2,Nein,No
soep-core,soep-core-2014-ll,l1erwst,1,Ja,Yes
soep-core,soep-core-2014-ll,l1erwst,2,Nein,No
soep-core,soep-core-2014-ll,l1erwag,1,Ja,Yes
soep-core,soep-core-2014-ll,l1erwag,2,Nein,No
soep-core,soep-core-2014-ll,l1arb,1,Ungelernte Arbeiter,Unskilled worker
soep-core,soep-core-2014-ll,l1arb,2,Angelernte Arbeiter,Semi-skilled worker
soep-core,soep-core-2014-ll,l1arb,3,Gelernte und Facharbeiter,Trained worker or skilled worker
soep-core,soep-core-2014-ll,l1aus,1,Keine bestimmte Ausbildung erforderlich,No completed vocational training is required
soep-core,soep-core-2014-ll,l1aus,2,Eine abgeschlossene Berufsausbildung für diese Tätigkeit,Completed vocational training
soep-core,soep-core-2014-ll,l1aus,3,Ein abgeschlossenes Fachhochschulstudium,Degree from a specialized college of higher education
soep-core,soep-core-2014-ll,l1aus,4,Ein abgeschlossenes Universitäts- oder Hochschulstudium,Degree from a university or other institution of higher education
soep-core,soep-core-2014-ll,l1oed,1,Ja,Yes
soep-core,soep-core-2014-ll,l1oed,2,Nein,No
soep-core,soep-core-2014-ll,l1sst x,1,keine Mitarbeiter,None
soep-core,soep-core-2014-ll,l1sst x,2,1-9 Mitarbeiter,1-9 employees
soep-core,soep-core-2014-ll,l1sst x,3,10 und mehr Mitarbeiter,10 or more employees
soep-core,soep-core-2014-ll,l2wohn3,1,[Ja] Diese hier,In this home
soep-core,soep-core-2014-ll,l2wohn3,2,[Ja] Die andere / eine der anderen,In the other home
soep-core,soep-core-2014-ll,l2wohn3,3,"[Ja] Diese hier und eine andere, etwa gleich",In both approximately the same
soep-core,soep-core-2014-ll,lab01,1,Ja,Yes
soep-core,soep-core-2014-ll,lab01,2,Nein,No
soep-core,soep-core-2014-ll,lab10,1,Ja,Yes
soep-core,soep-core-2014-ll,lab10,2,Nein,No
soep-core,soep-core-2014-ll,lab17,1,Ja,Yes
soep-core,soep-core-2014-ll,lab17,2,Nein,No
soep-core,soep-core-2014-ll,lab19,1,Ja vielleicht,"Yes, maybe"
soep-core,soep-core-2014-ll,lab19,2,"Ja, sicher","Yes, definitely"
soep-core,soep-core-2014-ll,lab19,3,Nein,No
soep-core,soep-core-2014-ll,lamt,1,Einfacher Dienst,Lower level
soep-core,soep-core-2014-ll,lamt,2,Mittlerer Dienst,Middle level
soep-core,soep-core-2014-ll,lamt,3,Gehobener Dienst,Upper level
soep-core,soep-core-2014-ll,lamt,4,Höherer Dienst,Executive level
soep-core,soep-core-2014-ll,laner,1,Ja,Yes
soep-core,soep-core-2014-ll,laner,2,Nein,No
soep-core,soep-core-2014-ll,lanerab,1,Das Antragsverfahren ist noch nicht abgeschlossen,Application Process Not Yet Finished
soep-core,soep-core-2014-ll,lanerab,2,"Ja, teilweise",Partly
soep-core,soep-core-2014-ll,lanerab,3,"Ja, gleichwertig",About Same
soep-core,soep-core-2014-ll,lanerab,4,"Nein, wurde nicht anerkannt","No, was not recognized"
soep-core,soep-core-2014-ll,lanerno,1,Die Anerkennung ist für mich nicht wichtig,The recognition is not important to me
soep-core,soep-core-2014-ll,lanerno,2,"Ich weiß nicht, wo und wie der Antrag gestellt werden soll",I don't know where and how the application is to be made
soep-core,soep-core-2014-ll,lanerno,3,Die Kosten für die Anerkennung sind zu hoch,The cost for the recognition are too high
soep-core,soep-core-2014-ll,lanerno,4,Mir fehlen wichtige Dokumente für die Anerkennung,I miss important documents for the recognition
soep-core,soep-core-2014-ll,lanerno,5,Das Anerkennungsverfahren ist zu bürokratisch /nimmt zu viel Zeit in Anspruch,The accaptance procedure is too bureaucratic / it takes too much time
soep-core,soep-core-2014-ll,lanerno,6,Ich habe keine Aussicht auf Anerkennung meines Abschlusses.,I have no prospect of recognition of my statements.
soep-core,soep-core-2014-ll,lanerno,7,Andere Gründe,Other reasons
soep-core,soep-core-2014-ll,lang,1,Industrie- und Werkmeister im Angestelltenverhältnis,Industry or factory foreman / forewoman in a salaried position
soep-core,soep-core-2014-ll,lang,2,Angestellte mit einfacher Tätigkeit - ohne Ausbildungsabschluss,Salaried employee engaged in unskilled activities without completed training/education
soep-core,soep-core-2014-ll,lang,3,Angestellte mit einfacher Tätigkeit - mit Ausbildungsabschluss,Salaried employee engaged in unskilled activities with completed training/education
soep-core,soep-core-2014-ll,lang,4,"Angestellte mit qualifizierter Tätigkeit ( z.B. Sachbearbeiter, Buchhalter, technischer Zeichner)","Salaried employee engaged in skilled activities  (e.g., executive officer, bookkeeper, technical draftsman)"
soep-core,soep-core-2014-ll,lang,5,"Angestellte mit hochqualifizierter Tätigkeit oder Leitungsfunktion (z.B. wissenschaftlicher Mitarbeiter, Ingenieur, Abteilungsleiter)","Salaried employee engaged in highly skilled activities or managerial function (e.g., scientist, engineer, department head)"
soep-core,soep-core-2014-ll,lang,6,"Angestellte mit umfassenden Führungsaufgaben (z.B. Direktor, Geschäftsführer, Vorstand größerer Betriebe und Verbände)","Salaried employee with extensive managerial duties (e.g., managing director, business manager, head of a large firm or concern)."
soep-core,soep-core-2014-ll,larb,1,Ungelernte Arbeiter,Unskilled worker
soep-core,soep-core-2014-ll,larb,2,Angelernte Arbeiter,Semi-skilled worker
soep-core,soep-core-2014-ll,larb,3,Gelernte und Facharbeiter,Trained worker or skilled worker
soep-core,soep-core-2014-ll,larb,4,"Vorarbeiter, Kolonnenführer",Foreman / forewoman
soep-core,soep-core-2014-ll,larb,5,"Meister, Polier",Master craftsperson
soep-core,soep-core-2014-ll,lazubi,1,Auszubildende,Apprentice / trainee
soep-core,soep-core-2014-ll,lazubi,2,"Volontäre, Praktikanten u.ä.","Volunteer, intern, etc."
soep-core,soep-core-2014-ll,lerw,1,Ja,Yes
soep-core,soep-core-2014-ll,lerw,2,Nein,No
soep-core,soep-core-2014-ll,lform,1,Mündliches Interview,Oral Interview
soep-core,soep-core-2014-ll,lform,2,[Befragter hat den Fragebogen selbst ausgefüllt] und zwar: in Anwesenheit des Interviewers,[Respondent completed the questionnaire him/herself]: in the presence of the interviewer
soep-core,soep-core-2014-ll,lform,3,[Befragter hat den Fragebogen selbst ausgefüllt] und zwar: in Abwesenheit des Interviewers,[Respondent completed the questionnaire him/herself]: in the absence of the interviewer
soep-core,soep-core-2014-ll,lform,4,"Teils mündlich, teils selbst ausgefüllt","Partly as an oral interview, partly him/herself"
soep-core,soep-core-2014-ll,lkh01,1,eine Großstadt,in a large city
soep-core,soep-core-2014-ll,lkh01,2,eine mittlere Stadt,in a medium-sized city
soep-core,soep-core-2014-ll,lkh01,3,eine Kleinstadt,in a small town
soep-core,soep-core-2014-ll,lkh01,4,auf dem Lande,in a rural area
soep-core,soep-core-2014-ll,lkh02,1,"Ja, immer noch","Yes, I still do"
soep-core,soep-core-2014-ll,lkh02,2,"Ja, wieder","Yes, I have moved back"
soep-core,soep-core-2014-ll,lkh02,3,Nein,No
soep-core,soep-core-2014-ll,lksex x,1,Sohn,Son
soep-core,soep-core-2014-ll,lksex x,2,Tochter,Daughter
soep-core,soep-core-2014-ll,lkwo x,1,Hier im Haushalt,Here in this household
soep-core,soep-core-2014-ll,lkwo x,2,Hier am Ort,Lives in this city / town
soep-core,soep-core-2014-ll,lkwo x,3,Woanders in Westdeutschland,Lives elsewhere in the former West Germany
soep-core,soep-core-2014-ll,lkwo x,4,Woanders in Ostdeutschland,Lives elsewhere in the former Eas Germany
soep-core,soep-core-2014-ll,lkwo x,5,Im Ausland,"Lives elsewhere in another country, not in Germany"
soep-core,soep-core-2014-ll,lkwo x,6,Ist verstorben,Is deceased
soep-core,soep-core-2014-ll,lleist,1,Sehr stark,Very involved
soep-core,soep-core-2014-ll,lleist,2,Ziemlich stark,Fairly involved
soep-core,soep-core-2014-ll,lleist,3,Eher weniger,Not very involved
soep-core,soep-core-2014-ll,lleist,4,Überhaupt nicht,Not at all involved
soep-core,soep-core-2014-ll,lm01,1,Lebt hier am Ort,Lives in this city / town
soep-core,soep-core-2014-ll,lm01,2,"Lebt woanders, und zwar: In den alten Bundesländern",Lives elsewhere in the former West Germany
soep-core,soep-core-2014-ll,lm01,3,"[Lebt woanders, und zwar:] In den neuen Bundesländern",Lives elsewhere in the former Eas Germany
