study,dataset,variable,label,concept,questionnaire,question,item
soep-core,belela,hhnr,Ursprungshaushaltsnummer,urhh,soep-core-2014-ll,,
soep-core,belela,persnr,Unveraenderliche Personennummer (PID),pnrfest,soep-core-2014-ll,,
soep-core,belela,welle,Erhebungsjahr,jahr,soep-core-2014-ll,,
soep-core,belela,sample1,Stichprobenkennzeichen (Sample),stichu,soep-core-2014-ll,,
soep-core,belela,hhnrakt,Aktuelle Haushaltsnummer (=BEHHNR),hnr,soep-core-2014-ll,0,
soep-core,belela,behhnr,Aktuelle Haushaltsnummer (=HHNRAKT),,soep-core-2014-ll,,
soep-core,belela,bepnr,Laufende Nummer der Auskunftsperson,pnr,soep-core-2014-ll,0,
soep-core,belela,beb0101,Geburtsjahr,lgeb,soep-core-2014-ll,1,lgeb
soep-core,belela,beb0102,Geburtsmonat,lgebmo,soep-core-2014-ll,1,lgebmo
soep-core,belela,beb0301,Geburtsort in/ausserh. D.,lgebd,soep-core-2014-ll,3,
soep-core,belela,beb0302,Code Geburtsland,lgebal,soep-core-2014-ll,3,lgebal
soep-core,belela,beb04,Flucht/Vertreibung bis 1950,lflucht,soep-core-2014-ll,4,
soep-core,belela,beb05,Zuzug in BRD (Jahr),lzug01,soep-core-2014-ll,5,lzug01
soep-core,belela,beb0601,Status bei Einwanderung in Dtschl.,lzug02,soep-core-2014-ll,6,
soep-core,belela,beb0602,Jobzusage vor Zuzug nach D.,lzugarb,soep-core-2014-ll,6a,
soep-core,belela,beb07,Aufenthaltsstatus,lstat,soep-core-2014-ll,7,
soep-core,belela,beb08,Wohnsituation nach Zuzug,lzugw,soep-core-2014-ll,8,
soep-core,belela,beb09,Hauptgrund Umzug nach D.,lzuggr,soep-core-2014-ll,9,
soep-core,belela,beb1001,Unterstuetzung bei Zuzug durch Verwandte,lzugunt1,soep-core-2014-ll,10,lzugunt1
soep-core,belela,beb1002,Unterstuetzung bei Zuzug durch Bekannte,lzugunt2,soep-core-2014-ll,10,lzugunt2
soep-core,belela,beb1003,Keine Unterstuetzung bei Zuzug,lzugunt3,soep-core-2014-ll,10,lzugunt3
soep-core,belela,beb1101,Vor Zuzug deutsch sprechen,lspzug1,soep-core-2014-ll,11,lspzug1
soep-core,belela,beb1102,Vor Zuzug deutsch schreiben,lspzug2,soep-core-2014-ll,11,lspzug2
soep-core,belela,beb1103,Vor Zuzug deutsch lesen,lspzug3,soep-core-2014-ll,11,lspzug3
soep-core,belela,beb1104,Heute deutsch sprechen,lmusp2,soep-core-2014-ll,11,lmusp2
soep-core,belela,beb1105,Heute deutsch schreiben,lmusp3,soep-core-2014-ll,11,lmusp3
soep-core,belela,beb1106,Heute deutsch lesen,lmusp6,soep-core-2014-ll,11,lmusp6
soep-core,belela,beb1201,Teilnahme Deutsch-Sprachkurs Herkunftsland,lspkurs1,soep-core-2014-ll,12,lspkurs1
soep-core,belela,beb1202,Teilnahme Deutsch-Sprachkurs D.,lspkurs2,soep-core-2014-ll,12,lspkurs2
soep-core,belela,beb1203,Keine Teilnahme Deutsch-Sprachkurs,lspkurs3,soep-core-2014-ll,12,lspkurs3
soep-core,belela,beb1301,Letzte befr. Stell. vor Umzug nach D.,l1erw1,soep-core-2014-ll,13,l1erw1
soep-core,belela,beb1302,Erste Stelle in D.,l1erw2,soep-core-2014-ll,13,l1erw2
soep-core,belela,beb14,Deutsche Staatsangehoerigkeit,lsta3,soep-core-2014-ll,14,
soep-core,belela,beb1501,Zweite Staatsangehoerigkeit,lsta4,soep-core-2014-ll,15,
soep-core,belela,beb1502,Code weitere Staatsangeh.,lsta4nr,soep-core-2014-ll,15,
soep-core,belela,beb16,Erwerb deutsche Staatsangeh.,lsta5,soep-core-2014-ll,16,
soep-core,belela,beb17,Code vorige Staatsangeh.,lsta5x,soep-core-2014-ll,17,
soep-core,belela,beb18,Jahr Erwerb deutsche Staatsangeh.,lsta6,soep-core-2014-ll,18,
soep-core,belela,beb19,Code Staatsangeh.,lnat,soep-core-2014-ll,19,
soep-core,belela,beb20,Wo vor der Wiedervereinigung gelebt,lwied,soep-core-2014-ll,20,
soep-core,belela,beb21,Jahr Einzug Wohnung,lwohnj,soep-core-2014-ll,21,lwohnj
soep-core,belela,beb2201,Zweitwohnung in D.,l2wohna,soep-core-2014-ll,22,l2wohna
soep-core,belela,beb2202,Zweitwohnung im Ausland,l2wohnb,soep-core-2014-ll,22,l2wohnb
soep-core,belela,beb2203,Keine Zweitwohnung,l2wohnc,soep-core-2014-ll,22,l2wohnc
soep-core,belela,beb2204,Wohnungsnutzung,l2wohn3,soep-core-2014-ll,22,l2wohn3
soep-core,belela,beb23,Ort der Kindheit,lkh01,soep-core-2014-ll,23,
soep-core,belela,beb24,Leben am Ort der Kindheit,lkh02,soep-core-2014-ll,24,
soep-core,belela,beb2501,Anz. Jahre leben b. leibl. Eltern,lkh03,soep-core-2014-ll,25,lkh03
soep-core,belela,beb2502,Anz. Jahre leben b. alleinst. Mutter,lkh04,soep-core-2014-ll,25,lkh04
soep-core,belela,beb2503,Anz. Jahre leben b. Mutter mit Partner,lkh05,soep-core-2014-ll,25,lkh05
soep-core,belela,beb2504,Anz. Jahre leben b. alleinst. Vater,lkh06,soep-core-2014-ll,25,lkh06
soep-core,belela,beb2505,Anz. Jahre leben b. Vater mit Partnerin,lkh07,soep-core-2014-ll,25,lkh07
soep-core,belela,beb2506,Anz. Jahre leben b. andern Verwandten,lkh08,soep-core-2014-ll,25,lkh08
soep-core,belela,beb2507,Anz. Jahre leben b. Pflegeeltern,lkh09,soep-core-2014-ll,25,lkh09
soep-core,belela,beb2508,Anz. Jahre leben im Heim,lkh10,soep-core-2014-ll,25,lkh10
soep-core,belela,beb2509,Anzahl Jahre: Gesamt k.A.,lkhka,soep-core-2014-ll,25,
soep-core,belela,beb26,Vater und Mutter leben im Haushalt,lvm,soep-core-2014-ll,26,
soep-core,belela,beb2701,wo lebt der Vater,lv01,soep-core-2014-ll,27,lv01
soep-core,belela,beb2702,wo lebt die Mutter,lm01,soep-core-2014-ll,27,lm01
soep-core,belela,beb2703,Todesjahr Vater,lv02,soep-core-2014-ll,27,lv02
soep-core,belela,beb2704,Todesjahr Mutter,lm02,soep-core-2014-ll,27,lm02
soep-core,belela,beb2801,Geburtsjahr Vater,lv03,soep-core-2014-ll,28,lv03
soep-core,belela,beb2802,Geburtsjahr Mutter,lm03,soep-core-2014-ll,28,lm03
soep-core,belela,beb2903,Vater in Deutschland geboren,lv03a,soep-core-2014-ll,29,lv03a
soep-core,belela,beb2904,Mutter in Deutschland geboren,lm03a,soep-core-2014-ll,29,lm03a
soep-core,belela,beb2905,Geburtsland Vater,lv03b,soep-core-2014-ll,29,lv03b
soep-core,belela,beb2906,Geburtsland Mutter,lm03b,soep-core-2014-ll,29,lm03b
soep-core,belela,beb3001,Vater deutscher Staatsbuerger,lv04,soep-core-2014-ll,30,lv04
soep-core,belela,beb3002,Mutter deutsche Staatsbuergerin,lm04,soep-core-2014-ll,30,lm04
soep-core,belela,beb3101,Schulabschluss Vater,lv05,soep-core-2014-ll,31,lv05
soep-core,belela,beb3102,Schulabschluss Mutter,lm05,soep-core-2014-ll,31,lm05
soep-core,belela,beb3201,"Vater berufl. Ausb., Studium abgeschl.",lv06,soep-core-2014-ll,32,lv06
