study,questionnaire,answer_list,value,label_de,label
soep-core,soep-core-2014-ju,1+,1,Ja,Yes
soep-core,soep-core-2014-ju,1+,2,Nein,No
soep-core,soep-core-2014-ju,108+,1,Sehr gut,Very good
soep-core,soep-core-2014-ju,108+,2,Gut,Good
soep-core,soep-core-2014-ju,108+,3,Zufriedenstellend,Satisfactory
soep-core,soep-core-2014-ju,108+,4,Weniger gut,Poor
soep-core,soep-core-2014-ju,108+,5,Schlecht,Bad
soep-core,soep-core-2014-ju,134+,1,Sehr wichtig,Very important
soep-core,soep-core-2014-ju,134+,2,Wichtig,Important
soep-core,soep-core-2014-ju,134+,3,Weniger wichtig,Less important
soep-core,soep-core-2014-ju,134+,4,Ganz unwichtig,Quite unimportant
soep-core,soep-core-2014-ju,135+,1,Sehr stark,Very interested
soep-core,soep-core-2014-ju,135+,2,Stark,Moderately interested
soep-core,soep-core-2014-ju,135+,3,Nicht so stark,Not so interested
soep-core,soep-core-2014-ju,135+,4,Überhaupt nicht,Completely disinterested
soep-core,soep-core-2014-ju,137+,1,Seit Geburt,Since birth
soep-core,soep-core-2014-ju,137+,2,Erst später erworben,At a later date
soep-core,soep-core-2014-ju,256+,1,Stimme voll zu,Applies completely
soep-core,soep-core-2014-ju,256+,2,Stimme eher zu,Applies to a certain degree
soep-core,soep-core-2014-ju,256+,3,Stimme eher nicht zu,Does not really apply
soep-core,soep-core-2014-ju,256+,4,Stimme überhaupt nicht zu,Does not apply at all
soep-core,soep-core-2014-ju,27+,1,Sehr selten,Very rarely
soep-core,soep-core-2014-ju,27+,2,Selten,Rarely
soep-core,soep-core-2014-ju,27+,3,Manchmal,Occasionally
soep-core,soep-core-2014-ju,27+,4,Oft,Often
soep-core,soep-core-2014-ju,27+,5,Sehr oft,Very often
soep-core,soep-core-2014-ju,286+,1,"Ja, eigenes Zimmer","Yes, own room"
soep-core,soep-core-2014-ju,286+,2,"Nein, teile Zimmer mit jemand","No, I share the room"
soep-core,soep-core-2014-ju,288+,1,Aus Interesse an der Tätigkeit,The work interested me
soep-core,soep-core-2014-ju,288+,2,Nur um ein paar Euro hinzuzuverdienen,Wanted to earn money
soep-core,soep-core-2014-ju,288+,3,Aus sonstigen Gründen (Nachbarschaftshilfe etc.),Other reasons
soep-core,soep-core-2014-ju,290+,1,Sehr wichtig,Very important
soep-core,soep-core-2014-ju,290+,2,Wichtig,Important
soep-core,soep-core-2014-ju,290+,3,Weniger wichtig,Less important
soep-core,soep-core-2014-ju,290+,4,Ganz unwichtig,Unimportant
soep-core,soep-core-2014-ju,290+,5,Person ist nicht vorhanden,Person does not exist
soep-core,soep-core-2014-ju,291+,1,Sehr häufig,Very often
soep-core,soep-core-2014-ju,291+,2,Häufig,Often
soep-core,soep-core-2014-ju,291+,3,Manchmal,Sometimes
soep-core,soep-core-2014-ju,291+,4,Selten,Seldom
soep-core,soep-core-2014-ju,291+,5,Nie,Never
soep-core,soep-core-2014-ju,291+,6,Person ist nicht vorhanden,Person does not exist
soep-core,soep-core-2014-ju,292+,1,Sehr häufig,Very often
soep-core,soep-core-2014-ju,292+,2,Häufig,Often
soep-core,soep-core-2014-ju,292+,3,Manchmal,Sometimes
soep-core,soep-core-2014-ju,292+,4,Selten,Seldom
soep-core,soep-core-2014-ju,292+,5,Nie,Never
soep-core,soep-core-2014-ju,293+,1,Täglich,Daily
soep-core,soep-core-2014-ju,293+,2,Jede Woche,Every week
soep-core,soep-core-2014-ju,293+,3,Jeden Monat,Every month
soep-core,soep-core-2014-ju,293+,4,Seltener,Less often
soep-core,soep-core-2014-ju,293+,5,Nie,Never
soep-core,soep-core-2014-ju,296+,1,Im Verein,In an organized sport club
soep-core,soep-core-2014-ju,296+,2,Bei kommerziellen Sportanbietern (z.B. Fitnessstudios),Commercial sport facility
