study,dataset,variable,label,concept,questionnaire,question,item
soep-core,bemuki2,hhnr,Ursprungshaushaltsnummer,,,,
soep-core,bemuki2,persnr,unveraenderliche Personnennummer des Kindes,,,,
soep-core,bemuki2,welle,Erhebungsjahr,,,,
soep-core,bemuki2,sample1,Stichprobenkennzeichen,,,,
soep-core,bemuki2,hhnrakt,Aktuelle Haushaltsnummer (=BEHHNR),,,0,hnr
soep-core,bemuki2,behhnr,Aktuelle Haushaltsnummer (=HHNRAKT),,,0,hnr
soep-core,bemuki2,bempnr,Laufende Personennummer des Elternteils,mpnr,soep-core-2014-e2,0,mpnr
soep-core,bemuki2,bebpnr,Laufende Personennummer des Kindes,bpnr,soep-core-2014-e2,1,bpnr
soep-core,bemuki2,bem20201,Geburtsjahr des Kindes,bgebj,soep-core-2014-e2,2,bgebj
soep-core,bemuki2,bem20202,Geburtsmonat des Kindes,bgebm,soep-core-2014-e2,2,bgebm
soep-core,bemuki2,bem20301,Kind gestillt,bstil1,soep-core-2014-e2,3,
soep-core,bemuki2,bem20302,Monate Kind gestillt,bstil2,soep-core-2014-e2,3,bstil2
soep-core,bemuki2,bem20401,Kind meist froehlich /zufrieden,bakt1,soep-core-2014-e2,4,bakt1
soep-core,bemuki2,bem20402,Kind leicht erregbar/weint haeufig,bakt2,soep-core-2014-e2,4,bakt2
soep-core,bemuki2,bem20403,Kind schwer zu troesten,bakt3,soep-core-2014-e2,4,bakt3
soep-core,bemuki2,bem20404,Kind neugierig/aktiv,bakt4,soep-core-2014-e2,4,bakt4
soep-core,bemuki2,bem20405,"Kind gespraechig, redet gern",bakt5,soep-core-2014-e2,4,bakt5
soep-core,bemuki2,bem20406,"Kind zeigt Mitgefuehl, wenn andere traurig sind",bakt6,soep-core-2014-e2,4,bakt6
soep-core,bemuki2,bem20407,Gesundheit des Kindes macht Sorgen,bakt7,soep-core-2014-e2,4,bakt7
soep-core,bemuki2,bem20501,Krankenhausaufenthalt letzte 12 Monate,bges1,soep-core-2014-e2,5,
soep-core,bemuki2,bem20502,Anzahl Tage im KH letzte 12 Monate,bges2,soep-core-2014-e2,5,bges2
soep-core,bemuki2,bem20601,Stoerung/Erkrankung: Asthma,bstor01,soep-core-2014-e2,6,bstor01
soep-core,bemuki2,bem20602,Stoerung/Erkrankung: Chron. Bronchitis,bstor02,soep-core-2014-e2,6,bstor02
soep-core,bemuki2,bem20603,Stoerung/Erkrankung: Akute Bronchitis,bstor03,soep-core-2014-e2,6,bstor03
soep-core,bemuki2,bem20604,Stoerung/Erkrankung: Kruppsyndrom,bstor04,soep-core-2014-e2,6,bstor04
soep-core,bemuki2,bem20605,Stoerung/Erkrankung: Mittelohrentzuend.,bstor05,soep-core-2014-e2,6,bstor05
soep-core,bemuki2,bem20606,Stoerung/Erkrankung: Heuschnupfen,bstor06,soep-core-2014-e2,6,bstor06
soep-core,bemuki2,bem20607,Stoerung/Erkrankung: Neurodermitis,bstor07,soep-core-2014-e2,6,bstor07
soep-core,bemuki2,bem20608,Stoerung/Erkrankung: Fehlsichtigkeit,bstor08,soep-core-2014-e2,6,bstor08
soep-core,bemuki2,bem20609,Stoerung/Erkrankung: Schwerhoerigkeit,bstor09,soep-core-2014-e2,6,bstor09
soep-core,bemuki2,bem20610,Stoerung/Erkrankung: Ernaehrungsstoerung,bstor10,soep-core-2014-e2,6,bstor10
soep-core,bemuki2,bem20611,Stoerung/Erkrankung: Stoerung d. Motorik,bstor11,soep-core-2014-e2,6,bstor11
soep-core,bemuki2,bem20612,Stoerung/Erkrankung: Sonst. Stoerungen,bstor12,soep-core-2014-e2,6,bstor12
soep-core,bemuki2,bem20614,"Nein, keine Stoerung,Erkrankung",bstor14,soep-core-2014-e2,6,bstor14
soep-core,bemuki2,bem20701,Gewicht des Kindes in Kilo,bgew,soep-core-2014-e2,7,bgew
soep-core,bemuki2,bem20702,Groesse des Kindes in cm,bgro,soep-core-2014-e2,7,bgro
soep-core,bemuki2,bem20801,Betreuung durch (Ehe-)Partner,bsit1,soep-core-2014-e2,8,bsit1
soep-core,bemuki2,bem20802,Betreuung durch (Ehe-)Partner (h/woche),bstd1,soep-core-2014-e2,8,bstd1
soep-core,bemuki2,bem20803,Betreuung durch Vater des Kindes,bsit2,soep-core-2014-e2,8,bsit2
soep-core,bemuki2,bem20804,Betreuung durch Vater des Kindes (h/woche),bstd2,soep-core-2014-e2,8,bstd2
soep-core,bemuki2,bem20805,Betreuung durch Grosseltern des Kindes,bsit3,soep-core-2014-e2,8,bsit3
soep-core,bemuki2,bem20806,Betreuung Grosseltern des Kindes (h/woche),bstd3,soep-core-2014-e2,8,bstd3
soep-core,bemuki2,bem20807,Betreuung durch aeltere Geschwister des Kindes,bsit4,soep-core-2014-e2,8,bsit4
soep-core,bemuki2,bem20808,Betreug.d.aeltere Geschwister d.Kindes (h/woche),bstd4,soep-core-2014-e2,8,bstd4
soep-core,bemuki2,bem20809,Betreuung durch andere Verwandte,bsit5,soep-core-2014-e2,8,bsit5
soep-core,bemuki2,bem20810,Betreuung durch andere Verwandte (h/woche),bstd5,soep-core-2014-e2,8,bstd5
soep-core,bemuki2,bem20811,Betreuung durch Tagesmutter (ausser Haus),bsit6,soep-core-2014-e2,8,bsit6
soep-core,bemuki2,bem20812,Betreuung Tagesmutter (ausser Haus) (h/woche),bstd6,soep-core-2014-e2,8,bstd6
soep-core,bemuki2,bem20813,Betreuung durch Kinderfrau (im HH),bsit7,soep-core-2014-e2,8,bsit7
soep-core,bemuki2,bem20814,Betreuung durch Kinderfrau (im HH) (h/woche),bstd7,soep-core-2014-e2,8,bstd7
soep-core,bemuki2,bem20815,"Betreuung durch Krippe,Kindergarten,Kita",bsit8,soep-core-2014-e2,8,bsit8
soep-core,bemuki2,bem20816,"Betreuung Krippe,Kindergarten,Kita (h/woche)",bstd8,soep-core-2014-e2,8,bstd8
soep-core,bemuki2,bem20817,Betreuung durch andere,bsit9,soep-core-2014-e2,8,bsit9
soep-core,bemuki2,bem20818,Betreuung durch andere(h/woche),bstd9,soep-core-2014-e2,8,bstd9
soep-core,bemuki2,bem20819,"Betreuung nur selbst, keine andere Person",bsitno,soep-core-2014-e2,8,bsitno
soep-core,bemuki2,bem20901,Haeufigkeit(Vor-)Singen Kinderlieder letzte 14 Tage,baktiv1,soep-core-2014-e2,9,baktiv1
soep-core,bemuki2,bem20902,Haeufigkeit Spaziergaenge an frischer Luft letzte 14 Tage,baktiv2,soep-core-2014-e2,9,baktiv2
soep-core,bemuki2,bem20903,Haeufigkeit Malen/Basteln letzte 14 Tage,baktiv3,soep-core-2014-e2,9,baktiv3
soep-core,bemuki2,bem20904,Haeufigkeit Geschichten vorlesen/erzaehlen letzte 14 Tage,baktiv4,soep-core-2014-e2,9,baktiv4
soep-core,bemuki2,bem20905,Haeufigkeit Bilderbuecher anschauen letzte 14 Tage,baktiv5,soep-core-2014-e2,9,baktiv5
soep-core,bemuki2,bem20906,Haeufigkeit zum Spielplatz gehen letzte 14 Tage,baktiv6,soep-core-2014-e2,9,baktiv6
soep-core,bemuki2,bem20907,Haeufigkeit Besuch bei anderen Familien letzte 14 Tage,baktiv7,soep-core-2014-e2,9,baktiv7
soep-core,bemuki2,bem20908,Haeufigkeit einkaufen gehen letzte 14 Tage,baktiv8,soep-core-2014-e2,9,baktiv8
soep-core,bemuki2,bem20909,Haeufigkeit zusammenTV/ Video/DVD anschauen letzte 14 Tage,baktiv9,soep-core-2014-e2,9,baktiv9
soep-core,bemuki2,bem21001,Darf das Kind allein TV/Video/DVD schauen,btv1,soep-core-2014-e2,10,
soep-core,bemuki2,bem21002,Kind schaut allein TV/Video/DVD (h/Woche),btv2,soep-core-2014-e2,10,btv2
soep-core,bemuki2,bem21101,Kind eher schuechtern/kontaktfreudig,bvergl1,soep-core-2014-e2,11,bvergl1
soep-core,bemuki2,bem21102,Kind eher konzentriert/leicht ablenkbar,bvergl2,soep-core-2014-e2,11,bvergl2
soep-core,bemuki2,bem21103,Kind eher trotzig/folgsam,bvergl3,soep-core-2014-e2,11,bvergl3
