study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-e4,0,,,"Dieser Fragebogen richtet sich an Mütter und Väter von Kindern, die im Jahr 2006 geboren sind und die hier im Haushalt leben. 
Bitte beantworten Sie die Fragen auch dann, wenn das Kind nicht Ihr leibliches, sondern ein Adoptiv- oder Pflegekind ist, oder das Kind Ihres Partners, der hier im Haushalt lebt. 
Unsere Fragen beziehen sich auf Ihre persönlichen Einstellungen und Einschätzungen zu Themen wie Erziehungsziele und -stile sowie Bildung und Betreuung. 
Wir bitten beide Elternteile jeweils einen Fragebogen zu beantworten. Ihre Mitarbeit ist freiwillig, wir möchten Sie aber herzlich darum bitten 
– unserem Mitarbeiter das Interview zu gewähren 
– oder den Fragebogen sorgfältig selbst auszufüllen.",,"This questionnaire is meant to be for the parents of children, who were born in 2006 and living in the house hold right now. Please answer these questions even if the child is not your biological child, but rather an adopted child, a foster child or the child of the partner who lives in your house hold. Our questions refer to your personal experiences and personal opinion about your parental goals or parenting style as well as education and the childcare. We cordially request both parents to answer the questions individually. The participation is voluntarily. We cordially request you, to answer the questions for our Interviewer or to fill out the questionnaire by yourself accurately.",,txt,,,,,,
soep-core,soep-core-2014-e4,0,1,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,"Before handing in the questionnaire, please enter in accordance with the address log:",,txt,,,,,,
soep-core,soep-core-2014-e4,0,hnr,,Nr. des Haushalts:,,Household ID,,int,,,,hnr,,
soep-core,soep-core-2014-e4,0,name,,Vorname der Befragungsperson:,Bitte in Druckbuchstaben,First name Interviewee:,Please print in capital letters.,chr,,,,name,,
soep-core,soep-core-2014-e4,0,pnr,,Personen Nr.:,,Person ID,,int,,,,pnr,,
soep-core,soep-core-2014-e4,1,,,Wie heißt das Kind?,,What's your child’s name?,,txt,,,,,,
soep-core,soep-core-2014-e4,1,kname,,Vorname des Kindes:,Bitte in Druckbuchstaben,First name:,Please print in capital letters.,chr,,,,kname,,
soep-core,soep-core-2014-e4,1,kpnr,,Personen Nr:,,Person ID:,,int,,,,kpnr,,
soep-core,soep-core-2014-e4,2,,,In welchem Jahr und welchem Monat wurde das Kind geboren?,,In what year and month was your child born?,,txt,,,,,,
soep-core,soep-core-2014-e4,2,kgebj,,2006,,2006,,bin,,,,kgebj,,
