study,questionnaire,answer_list,value,label_de,label,match_quality
soep-core,soep-core-2014-e4,q3,1,die leibliche Mutter ,Biological mother,
soep-core,soep-core-2014-e4,q3,2,der leibliche Vater ,Biological father,
soep-core,soep-core-2014-e4,q3,3,die Adoptiv-/Pflegemutter ,Adoptive/foster mother,
soep-core,soep-core-2014-e4,q3,4,der Adoptiv-/Pflegevater ,Adoptive/foster father,
soep-core,soep-core-2014-e4,q3,5,"Nein, es handelt sich um das Kind meines Partners/meiner Partnerin ","No, he/she is my partner’s child",
soep-core,soep-core-2014-e4,q5,1,überhaupt nicht – 1,Not at all 1,
soep-core,soep-core-2014-e4,q5,2,2,2,
soep-core,soep-core-2014-e4,q5,3,3,3,
soep-core,soep-core-2014-e4,q5,4,4,4,
soep-core,soep-core-2014-e4,q5,5,5,5,
soep-core,soep-core-2014-e4,q5,6,6,6,
soep-core,soep-core-2014-e4,q5,7,voll und ganz - 7,Completely 7,
soep-core,soep-core-2014-e4,q6,1,ausgeschlossen - 1,Not at all 1,
soep-core,soep-core-2014-e4,q6,2,2,2,
soep-core,soep-core-2014-e4,q6,3,3,3,
soep-core,soep-core-2014-e4,q6,4,4,4,
soep-core,soep-core-2014-e4,q6,5,5,5,
soep-core,soep-core-2014-e4,q6,6,6,6,
soep-core,soep-core-2014-e4,q6,7,ganz sicher - 7,Completely 7,
soep-core,soep-core-2014-e4,q7,1,überhaupt nicht wichtig,Very unimportant,
soep-core,soep-core-2014-e4,q7,2,eher unwichtig,Unimportant,
soep-core,soep-core-2014-e4,q7,3,weder noch,Neutral,
soep-core,soep-core-2014-e4,q7,4,eher wichtig,Important,
soep-core,soep-core-2014-e4,q7,5,sehr wichtig,Very important,
soep-core,soep-core-2014-e4,q8,1,nie,Never,
soep-core,soep-core-2014-e4,q8,2,selten,Seldom,
soep-core,soep-core-2014-e4,q8,3,manchmal,Sometimes,
soep-core,soep-core-2014-e4,q8,4,häufig,Frequently,
soep-core,soep-core-2014-e4,q8,5,sehr häufig,Very frequently,
soep-core,soep-core-2014-e4,q9,1,stimme überhaupt nicht zu,Strongly disagree,
soep-core,soep-core-2014-e4,q9,2,stimme eher nicht zu,Disagree ,
soep-core,soep-core-2014-e4,q9,3,weder noch,Neither agree nor disagree,
soep-core,soep-core-2014-e4,q9,4,stimme eher zu,Agree,
soep-core,soep-core-2014-e4,q9,5,stimme voll und ganz zu,Strongly agree,
soep-core,soep-core-2014-e4,q10,1,Ja,Yes,
soep-core,soep-core-2014-e4,q10,2,Nein,No,
soep-core,soep-core-2014-e4,qb,1,Mündliches Interview ,Oral Interview,
soep-core,soep-core-2014-e4,qb,2,"[Befragter hat den Fragebogen selbst ausgefüllt, und zwar] in Anwesenheit des Interviewers ",Respondent completed the questionnaire him/herself in the presence of the interviewer,
soep-core,soep-core-2014-e4,qb,3,"[Befragter hat den Fragebogen selbst ausgefüllt, und zwar] in Abwesenheit des Interviewers ",Respondent completed the questionnaire him/herself in the absence of the interviewer,
soep-core,soep-core-2014-e4,qb,4,"Teils mündlich, teils selbst ausgefüllt","Partly as an oral interview, partly him/herself",
