"study","name","title","author","year","abstract","cite","type","studies","url","doi"
"soep-core",16003,"What happens to renters? Increased financing costs and government support","Hannah Loeffler",2025,"How does the recent hike in interest rates translate into housing markets and shape preferences for government intervention? Homeownership constitutes the most typical form of private wealth accumulation. Yet, with the decade long period of low interest rates ending in 2022, higher financing costs decreased the affordability of ownership substantially. This paper analyzes implications for the political behavior and demands of renters. More specifically, I argue that the effects of the affordability shock hinge upon the importance of asset ownership achieving financial security in a given economy. Using both cross-national survey data and a survey experiment in Germany and the UK, I show that where homeownership is more central to financial security, demand for broad redistribution decreases, whereas support for government intervention in housing markets increase. It appears that in low-ownership societies, citizens see redistribution as the government’s responsibility, whereas in high-ownership societies, they expect government policies to help them build wealth - allowing them to privately provide for themselves. These findings highlight how institutional differences shape preferences for government intervention.","Hannah Loeffler. 2025: What happens to renters? Increased financing costs and government support. European Journal of Political Economy 102714","02 SSCI Journal","SOEP-Core",,"10.1016/j.ejpoleco.2025.102714"
"soep-core",16002,"Affiliation motive and social interactions in people’s daily life: A temporal processes approach using ecological momentary assessment and mobile sensing","Cornelia Wrzus, Yannick Roos, Michael D. Krämer, Ramona Schoedel, Mitja D. Back, David Richter",2025,"Individual differences in social traits such as the affiliation motive are closely linked to the formation and maintenance of social relationships. Most previous research focused on long-term characteristics or momentary assessments of social relationships (e.g., social network size, relationship quality), whereas theoretical accounts have emphasized the temporal dynamics, that is, how social interactions unfold over time. The present studies examined how social interactions unfold within days as well as between days, taking personality traits and situational affordances into account. In two multimethod studies (Study 1: N = 307, age 18–80 years, 51% female; Study 2: N = 385, age 19–84 years, 48% female), we assessed participants’ social interactions in daily life using ecological momentary assessments and mobile sensing over 2 and 14 days, respectively. Furthermore, participants answered questionnaires on affiliation, additional social traits, and situational affordances, for example, the voluntariness of social situations. Multilevel lead–lag analyses showed that affiliation predicted momentary social desires but not future social interactions, except when social interactions were assessed with unobtrusive mobile sensing. Situational affordances, such as the valence and voluntariness of social interactions, additionally predicted social desires and future contact. The results were largely specific to affiliation and not observed for extraversion. Future research on social interactions would benefit from (a) examining and specifying meaningful timescales of social relationship processes, (b) following the renewed interactionist call for considering person and situation factors, and (c) integrating the myriad of social trait concepts in theories and measurements.","Cornelia Wrzus, Yannick Roos, Michael D. Krämer, Ramona Schoedel, Mitja D. Back, David Richter. 2025: Affiliation motive and social interactions in people’s daily life: A temporal processes approach using ecological momentary assessment and mobile sensing. Journal of Personality and Social Psychology 129 (2), 341–362","02 SSCI Journal","SOEP-IS; SOEP-Core",,"10.1037/pspp0000555"
"soep-core",16001,"On Good Deeds and the Reproduction of Social Inequality: An Empirical Study on Social Class and Volunteering in Germany","Tuuli-Marja Kleiner",2025,"This study re-examines volunteering through Pierre Bourdieu’s theoretical framework, arguing that in Germany and other western countries, volunteering functions as a means of accumulating symbolic capital (i.e. social recognition and status). Individuals from higher social classes are increasingly investing in this field, thereby restricting access for those from lower classes. Using data from the German Socio-Economic Panel Study (1992–2017) and the German Survey on Volunteering (2014), I examine class-based differences in overall volunteering and specific activities linked to varying levels of symbolic capital. Panel analyses indicate that higher social classes have intensified their engagement in volunteering over the past decades, widening the gap with lower social classes. Furthermore, individuals from higher social classes prefer prestigious volunteering activities that facilitate symbolic capital accumulation. This trend has contributed to a long-term increase in class disparities in volunteering, reinforcing social inequalities and limiting opportunities for lower-class participation.","Tuuli-Marja Kleiner. 2025: On Good Deeds and the Reproduction of Social Inequality: An Empirical Study on Social Class and Volunteering in Germany. Sociology 59 (5), 943–961","02 SSCI Journal","SOEP-Core",,"10.1177/00380385251343282"
"soep-core",16000,"Improving Contact Tracing by Prioritizing Influential Spreaders Identified Through Socio-Demographic Characteristics","Marius Kaffai",2025,"To mitigate the spread of contagious diseases, there is an ongoing discussion surrounding interventions that strategically target individuals who, due to their social network position, are responsible for more infections than others. However, the practical identification of these individuals using conventional network metrics is considerably challenging due to the lack of required data. A potential remedy to this quandary is the development of easily observable proxy metrics for measuring influential spreading. This study aims to assess the viability of such an approach using the example of contact tracing. Utilizing an empirically calibrated agent-based model, the study investigates the extent to which the efficacy of contact tracing can be enhanced by prioritizing influential spreaders, identified using age and household size as proxy measures. The results reveal that the effectiveness of contact tracing is significantly influenced by whose contacts are traced. When the contacts of those causing the most infections are traced, it can substantially enhance the efficacy of contact tracing, even when they are identified solely based on proxy metrics such as age and household size. For the examined case of the German state of Baden-Württemberg, it appears that middle-aged individuals residing in larger households are responsible for most infections. Therefore, prioritizing contact tracing for this specific demographic group seems to be a robust strategy to improve contact tracing. Overall, the results support the potential of the proposed approach to reduce the overall societal costs of non-pharmaceutical interventions while increasing their impact. Further empirical testing of the approach appears worthwhile.","Marius Kaffai. 2025: Improving Contact Tracing by Prioritizing Influential Spreaders Identified Through Socio-Demographic Characteristics. Journal of Artificial Societies and Social Simulation 28 (4), 9","02 SSCI Journal","SOEP-Core",,"10.18564/jasss.5761"
"soep-core",15999,"The Green Transition and Political Polarization Along Occupational Lines","Vincent Heddesheimer, Hanno Hilbig, Erik Voeten",2025,"Green transition policies set long-term targets to reduce carbon emissions and other pollutants, posing a threat to workers in polluting occupations and communities reliant on them. Can far-right parties attract voters who anticipate losing from the green transition? We explore this in Germany, which has ambitious green policies and a large workforce in polluting occupations. The far-right AfD started campaigning as the only party opposing green transition policies in 2016. Using a difference-in-differences design, we show AfD support increased more in counties with larger shares of employment in polluting occupations once the AfD adopted an anti-green platform in 2016. A panel survey demonstrates that individuals in these occupations also shifted toward the AfD. Probing mechanisms, we find that far-right support may stem from shifting perceptions of social stigma and lower status. Our results highlight the need for a new research agenda on backlash against the normative dimension of the green transition.","Vincent Heddesheimer, Hanno Hilbig, Erik Voeten. 2025: The Green Transition and Political Polarization Along Occupational Lines. American Political Science Review 1–23","02 SSCI Journal","SOEP-Core",,"10.1017/S0003055425101226"
"soep-core",15998,"Response Bias in the Gender Gap in Non-Market Work","Mara Rebaudo",2025,"Despite increasing female labor force participation, gender differences in non-market work, such as housework and childcare, persist. By exploiting exogenous variation in the questionnaire of the German Socio-Economic Panel, I analyze how response behavior affects estimates of time use in a longitudinal setting. I find a causal impact of questionnaire design on the reported hours of non-market work within individuals over time. Both women and men report more hours of non-market work on weekdays when they are not additionally asked about their time use on weekends. This response bias is larger for men, both in absolute and relative terms, with men overreporting by 10 percent of their average weekday non-market work compared to 2 percent for women. As a result, gender gap estimates are biased downward. The findings imply the broader conclusion that the common practice of irregularity in questionnaire designs has important impacts even on questions asked regularly.","Mara Rebaudo. 2025: Response Bias in the Gender Gap in Non-Market Work. German Economic Review (online first) ","02 SSCI Journal","SOEP-Core",,"10.1515/ger-2025-0023"
"soep-core",15997,"Asylum seekers feel more welcome in counties with more foreign-born residents","Eroll Kuhn, Rahsaan Maxwell",2025,"European countries are struggling with the largest inflows of asylum seekers since World War II, with ongoing debates about how best to promote asylum seeker integration. This article presents evidence from Germany which suggests asylum seekers feel more welcome when living in counties with more foreign-born residents. This relationship is stronger when asylum seekers and foreign-born residents have similar origins. Among Syrian asylum seekers, larger percentages of co-national residents are especially important. These findings have numerous implications that broaden our understanding of asylum seeker integration and engage debates about how to design asylum seeker reception policies. This article also contributes to broader debates about the relationship between geographic context and social and political attitudes.","Eroll Kuhn, Rahsaan Maxwell. 2025: Asylum seekers feel more welcome in counties with more foreign-born residents. West European Politics 48 (1), 84–110","02 SSCI Journal","IAB-BAMF-SOEP; SOEP-Core",,"10.1080/01402382.2023.2252698"
"soep-core",15996,"Rising Educational Divides in Attitudes: How Polarization across Cohorts Can Mask Age-Related Polarization","F. Kratz",2025,"The question of whether attitudes become more polarized over time has stimulated significant scientific and political debate. This study is the first to show that polarization processes can occur both across cohorts and with rising age and that cohort-based polarization may obscure age-related polarization. I introduce the age polarization and cohort polarization hypotheses, which propose that attitudes become increasingly polarized both as individuals age and across successive cohorts. I use multi-cohort panel data from the German Socio-Economic Panel and leverage one of its longest-running attitude measures: concerns about immigration. I show that education-specific differences in immigration concerns intensify both across cohorts and with rising age and that age-related polarization only becomes apparent when cohort-based polarization is taken into account. These findings contribute to debates on polarization processes in attitudes over time and advance the literature on heterogeneity in the liberalizing effect of education.","F. Kratz. 2025: Rising Educational Divides in Attitudes: How Polarization across Cohorts Can Mask Age-Related Polarization. Sociological Science 12 486–510","02 SSCI Journal","SOEP v37, SOEP-Core",,"10.15195/v12.a21"
"soep-core",15995,"Exchange-rate pass-through and the currency of denomination of workers’ remittances","Fernando Borraz, Nicolás González Pampillón, Susan Pozo",2025,"We introduce and adopt the concept of exchange-rate pass-through (ERPT) to the flow of remittances to discern whether remittance flows appear to be defined in home or host currencies. We use Poisson estimation on the German socio-economic longitudinal panel for migrants living in Germany concerning eight remittance corridors. We find that ERPT is complete for Germany-based migrants originating in Romania, Kazakhstan, and the former Yugoslavia. In these corridors, flows of remittances appear to be denominated in the host currency. Exchange-rate movements do not elicit changes in euro amounts remitted, implying that recipients may benefit from the entire exchange rate gain due to any euro appreciation. At the other extreme, we find that immigrants in Germany, originating in Greece or Russia, appear to be defining remittances in home currency. There is no pass-through of the exchange rate to remittances. A change in the exchange rate is fully compensated for by an equivalent change in euro remitted, keeping home currency receipts even. Between the two extremes of complete and no pass-through lies Türkiye with incomplete or partial ERPT. In the aggregate, remitters retain some of the exchange-rate gain when the euro appreciates (remitting fewer euros) while recipients still absorb some of the exchange rate change (receiving more local currency). In this case, remittances seem to be denominated partially in euros and partially in the home currency. Inconclusive results are found for remittances flowing to Italy and Poland. Understanding the sensitivity of remittance flows to exchange rate movements has potentially important implications for countries reliant on remittances.","Fernando Borraz, Nicolás González Pampillón, Susan Pozo. 2025: Exchange-rate pass-through and the currency of denomination of workers’ remittances. Review of World Economics ","02 SSCI Journal","SOEP-Core",,"10.1007/s10290-025-00609-0"
"soep-core",15994,"Determinants of Refugees’ Identification with Country of Origin and Host Country and Their Naturalization Intentions: Evidence from Germany","Yuliya Kosyakova, Frank van Tubergen, Agnieszka Kanas",2025,"Despite extensive research on immigrants? identification and its integration implications, a substantial gap remains in understanding the factors and mechanisms underlying refugees? identification processes. This study addresses this gap by adopting a comprehensive perspective, simultaneously examining their origin-country and host-country identification alongside naturalization intentions among recently arrived refugees in Germany. Drawing on a nationally representative, longitudinal survey of refugees, our findings reveal the importance of refugee-specific and immigrant-generic factors shaping identification processes and citizenship intentions. Factors such as health risks, traumatic experiences, barriers to return, and residency obligations are significantly related to origin-country and host-country identifications and citizenship intentions, highlighting the unique challenges faced by refugees. Refugee identification and citizenship intentions are also influenced by immigrant-generic factors, including welcoming societal context upon arrival, destination language proficiency, contacts with natives, and ties with family and friends in their country of origin. Theoretical insights from our study underscore the presence of distinct mechanisms driving origin-country identification versus host-country identification and citizenship intentions.","Yuliya Kosyakova, Frank van Tubergen, Agnieszka Kanas. 2025: Determinants of Refugees’ Identification with Country of Origin and Host Country and Their Naturalization Intentions: Evidence from Germany. Journal of Immigrant & Refugee Studies 1–19","02 SSCI Journal","IAB-BAMF-SOEP; SOEP-Core",,"10.1080/15562948.2025.2542775"
