study,instrument,answer_list,value,label,label_de
soep-core,soep-core-2024-ai2-pretest,12350M,1,Yes,Ja
soep-core,soep-core-2024-ai2-pretest,12350M,2,No,Nein
soep-core,soep-core-2024-ai2-pretest,12543M4652,1,Strongly disagree,Stimme überhaupt nicht zu
soep-core,soep-core-2024-ai2-pretest,12543M4652,2,Disagree,Stimme nicht zu
soep-core,soep-core-2024-ai2-pretest,12543M4652,3,Neither,Weder noch
soep-core,soep-core-2024-ai2-pretest,12543M4652,4,Agree,Stimme zu
soep-core,soep-core-2024-ai2-pretest,12543M4652,5,Strongly agree,Stimme voll zu
soep-core,soep-core-2024-ai2-pretest,12543M4652,-1,Can't / don't want to answer,Kann / möchte ich nicht beantworten
soep-core,soep-core-2024-ai2-pretest,12545M4652,0,0 Negative,0 Negativ
soep-core,soep-core-2024-ai2-pretest,12545M4652,1,1,1
soep-core,soep-core-2024-ai2-pretest,12545M4652,2,2,2
soep-core,soep-core-2024-ai2-pretest,12545M4652,3,3,3
soep-core,soep-core-2024-ai2-pretest,12545M4652,4,4,4
soep-core,soep-core-2024-ai2-pretest,12545M4652,5,5 Neutral,5 Neutral
soep-core,soep-core-2024-ai2-pretest,12545M4652,6,6,6
soep-core,soep-core-2024-ai2-pretest,12545M4652,7,7,7
soep-core,soep-core-2024-ai2-pretest,12545M4652,8,8,8
soep-core,soep-core-2024-ai2-pretest,12545M4652,9,9,9
soep-core,soep-core-2024-ai2-pretest,12545M4652,10,10 Positive,10 Positiv
soep-core,soep-core-2024-ai2-pretest,12545M4652,-1,Can't / don't want to answer,Kann / möchte ich nicht beantworten
soep-core,soep-core-2024-ai2-pretest,12549M4652,1,Not at all,Noch nie
soep-core,soep-core-2024-ai2-pretest,12549M4652,2,Rarely,Selten
soep-core,soep-core-2024-ai2-pretest,12549M4652,3,Sometimes,Manchmal
soep-core,soep-core-2024-ai2-pretest,12549M4652,4,Often,Oft
soep-core,soep-core-2024-ai2-pretest,12549M4652,5,Very often,Sehr oft
soep-core,soep-core-2024-ai2-pretest,12549M4652,-1,Can't / don't want to answer,Kann / möchte ich nicht beantworten
soep-core,soep-core-2024-ai2-pretest,12550M4652,1,None,Keine
soep-core,soep-core-2024-ai2-pretest,12550M4652,2,Little,Wenig
soep-core,soep-core-2024-ai2-pretest,12550M4652,3,Some,Etwas
soep-core,soep-core-2024-ai2-pretest,12550M4652,4,Much,Viel
soep-core,soep-core-2024-ai2-pretest,12550M4652,5,A lot,Sehr viel
soep-core,soep-core-2024-ai2-pretest,12550M4652,-1,Can't / don't want to answer,Kann / möchte ich nicht beantworten
soep-core,soep-core-2021-soeprki2-2,10079M4652,1,Definitely get vaccinated,Auf jeden Fall impfen
soep-core,soep-core-2021-soeprki2-2,10079M4652,2,Probably get vaccinated,Eher impfen
soep-core,soep-core-2021-soeprki2-2,10079M4652,3,Undecided,Unentschlossen
soep-core,soep-core-2021-soeprki2-2,10079M4652,4,Probably not get vaccinated,Eher nicht impfen
