study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,range,concept,filter,goto,description,scripternotes,number,old.template.id,dataset,var_fix
soep-core,soep-core-2017-e1,0,,13379,"Herzlichen Glückwunsch, noch nachträglich, zur Geburt Ihres Kindes! Für das „Leben in Deutschland“ ist die nachwachsende Generation besonders wichtig. In diesem kurzen Fragebogen geht es um Kinder, die im Jahr 2016 oder 2017 geboren wurden. Unsere Fragen beziehen sich auf Ihre persönlichen Erfahrungen und die Entwicklung des Kindes. Da es auch um die Schwangerschaft geht, richtet sich der Fragebogen nur an die Mütter.
Ihre Mitarbeit ist freiwillig.
Wir bitten Sie aber herzlich,
- unserem Mitarbeiter die Fragen zu beantworten 
- oder den Fragebogen sorgfältig selbst auszufüllen.",,"Congratulation on your newborn child! The next generation is particularly important for ""Living in Germany"". This short questionnaire is about children, they were born in 2016 or 2017. The questions refer to your personal experiences and the development of your newborn child. The questionnaires are only for mothers, because the questions are about pregnancy. 
Your participation is entirely voluntary. 
We therefore cordially request that 
- you allow our staff member to interview you 
- or you fill out the questionnaire independently.",,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,0,1,13379,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,"Before handing in the questionnaire, please
enter in accordance with the address log:",,txt,,,1,,,,,,,,
soep-core,soep-core-2017-e1,0,hnr,13379,Nr. des Haushalts:,,Household ID,,int,,,hnr,,,,,,,,
soep-core,soep-core-2017-e1,0,avati,13379,Vom Vater ausgefüllt,,Completed by father:,,bin,,,avati,,,,,,,,
soep-core,soep-core-2017-e1,0,mname,13379,Vorname der Mutter:,Bitte in Druckbuchstaben,Mother's first name,Please complete in block capitals,chr,,,mname,,,,,,,,
soep-core,soep-core-2017-e1,0,mpnr,13379,Person Nr.:,,No. person,,int,,,mpnr,,,,,,,,
soep-core,soep-core-2017-e1,1,,754,Wie heißt Ihr neugeborenes Kind?,,What’s your newborn child’s name?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,1,aname,754,Vorname des Kindes,Bitte in Druckbuchstaben,Child’s first name,Please print in capital letters.,chr,,,aname,,,,,,,,
soep-core,soep-core-2017-e1,1,apnr,754,Personen Nr.,,Person ID,,int,,,apnr,,,,,,,,
soep-core,soep-core-2017-e1,2,,13380,Geburtsdatum und Geschlecht Ihres Kindes,,Birth date and sex of your child,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,2,agebt,13380,Tag,,Day,,int,,,agebt,,,,,,,,
soep-core,soep-core-2017-e1,2,agebm,13380,Monat,,Month,,int,,,agebm,,,,,,,,
soep-core,soep-core-2017-e1,2,agebj,13380,…,,...,,cat,3044+,,agebj,,,,,,,,
soep-core,soep-core-2017-e1,2,asex,13380,…,,...,,cat,869+,,asex,,,,,,,,
soep-core,soep-core-2017-e1,3,aent,756,An welchem Ort fand die Entbindung statt?,,Where was your baby delivered?,,cat,243+,,aent,,,,,,,,
soep-core,soep-core-2017-e1,3,aent1,756,War es eine Entbindung mit Kaiserschnitt?,,Was the baby delivered by caesarean section?,,cat,1+,,aent1,,,,,,,,
soep-core,soep-core-2017-e1,4,,757,In der wievielten Schwangerschaftswoche wurde Ihr Kind geboren?,,In what week of pregnancy was your baby born?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,4,awoch,757,In der ... Woche,,In the … week,,int,,,awoch,,,,,,,,
soep-core,soep-core-2017-e1,5,,758,Wie groß und schwer war Ihr Kind zum Zeitpunkt der Geburt?,,What did your baby weigh/measure at birth?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,5,agew,758,Geburtsgewicht in Gramm,,Birth weight in grams,,int,,,agew,,,,,,,,
soep-core,soep-core-2017-e1,5,agro,758,Körpergröße in cm,,Height in centimeters,,int,,,agro,,,,,,,,
soep-core,soep-core-2017-e1,5,akop,758,Kopfumfang in cm,,Head circumference in centimeters,,int,,,akop,,,,,,,,
soep-core,soep-core-2017-e1,6,astil1,759,"Haben Sie Ihr Kind gestillt, und wenn ja, wie lange?",,Did you breastfeed your baby?,,cat,244+,,astil1,,,,,,,,
soep-core,soep-core-2017-e1,6,astil2,759,Habe länger gestillt und zwar ... Monate,,I breastfed for a longer period: … months,,int,,,astil2,,,,,,,,
soep-core,soep-core-2017-e1,7,ages1,760,"Gab es bei Ihrem Kind in den ersten drei Monaten nach der Geburt ernste gesundheitliche Probleme, die einen Krankenhausaufenthalt notwendig machten?",,"During the first three months after your baby’s birth, did your child experience health problems that necessitated a hospital stay?",,cat,1+,,ages1,,,,,,,,
soep-core,soep-core-2017-e1,7,ages2,760,[Ja] und zwar...Tage,,[Yes]: … days,,int,,,ages2,,,,,,,,
soep-core,soep-core-2017-e1,8,,761,"Nach der Geburt erhält man ein „Kinder-Untersuchungsheft“ für ärztliche Vorsorgeuntersuchungen (U2, U3, usw.). Welche war die letzte durchgeführte Untersuchung bei Ihrem Kind? ",,"After giving birth, the mother receives a “child health record” for medical check-ups (referred to as “U2” for the second check-up, “U3” for the third, etc.). Which was your child’s last check-up?",,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,8,aunt,761,„U“,,“U”,,int,,,aunt,,,,,,,,
soep-core,soep-core-2017-e1,8,auntno,761,Es wurde keine dieser Untersuchungen durchgeführt,,None of these check-ups where conducted,,bin,,,auntno,,,,,,,,
soep-core,soep-core-2017-e1,9,,762,"Wurden bei Ihrem Kind Anhaltspunkte für Verzögerungen, Störungen oder Behinderungen festgestellt? ",,"Has your child been diagnosed with any delays, disorders, or disabilities?",,cat,245+,,astor,,,,,,,,
soep-core,soep-core-2017-e1,10,,763,"Welche der im Folgenden genannten Verzögerungen, Störungen oder Behinderungen wurden bei Ihrem Kind festgestellt?",Bitte alles Zutreffende ankreuzen.,"Has your child been diagnosed with any of the following developmental delays, disorders, or disabilities? ",Please mark all that apply.,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,10,astor1,763,"Wahrnehmung (Sehen, Hören) ",,"sensory (sight, hearing)",,bin,,,astor1,,,,,,,,
soep-core,soep-core-2017-e1,10,astor2,763,"Motorik (Greifen, Krabbeln, Laufen)",,"motor functions (grasping, crawling, walking)",,bin,,,astor2,,,,,,,,
soep-core,soep-core-2017-e1,10,astor3,763,Neurologische Störung (Krämpfe u.ä),,neurological disorders (including cramps),,bin,,,astor3,,,,,,,,
soep-core,soep-core-2017-e1,10,astor4,763,"Sprache (Lautbildung, Spracherwerbsstörung)",,"speech (pronunciation, speech acquisition disorders)",,bin,,,astor4,,,,,,,,
soep-core,soep-core-2017-e1,10,astor5,763,"Regulation (untröstbares Schreien, dauerhafte Schlaf- oder Essstörung) ",,"regulatory system (inconsolable crying, ongoing sleeping or eating disorders)",,bin,,,astor5,,,,,,,,
soep-core,soep-core-2017-e1,10,astor6,763,Chronische Krankheit,,chronic illness,,bin,,,astor6,,,,,,,,
soep-core,soep-core-2017-e1,10,astor7,763,Körperliche Behinderung,,physical disability,,bin,,,astor7,,,,,,,,
soep-core,soep-core-2017-e1,10,astor8,763,Geistige Behinderung,,mental disability,,bin,,,astor8,,,,,,,,
soep-core,soep-core-2017-e1,10,astor9,763,Sonstiges,,other,,bin,,,astor9,,,,,,,,
