"concept","topic","topic_prefix","label_de","label","label_old","label_de_old"
"_100_p_tim","T0901000000000000","tim","Beruf,Lehre,Nebenerw. Std., So","Hours Sunday Job, Training","Hours Sunday On Second Job","Nebenerwerbsttgkt,Sonntg.m.Ber.Tgkt,Std"
"_1000_p_ila","T0802030000000000","ila","Entwicklung des Lebensunterhaltskosten","Developments In Cost Of Living","Developments In Cost Of Living","Entwicklung des Lebensunterhaltskosten"
"_1001_p_ila","T0802030000000000","ila","Entwicklung d. reg. Umweltsituation","Developments In Local Environment","Developments In Local Environment","Entwicklung d. reg. Umweltsituation"
"_1002_p_ila","T0802030000000000","ila","Entwicklung der polit. Einflussnahme","Developments In Political Activity","Developments In Political Activity","Entwicklung der polit. Einflussnahme"
"_1004_p_dtw","T0203050100000000","dtw","Arbeitsplatz in alten bzw. neuen BL.","Place Of Work In East Or West Germany","Place Of Work In East Or West Germany","Arbeitsplatz in alten bzw. neuen BL."
"_1005_p_trf","T0302000000000000","trf","1993 ueberhaupt keine Einkuenfte","No Income At All Prev Yr","No Income At All Prev Yr","1993 ueberhaupt keine Einkuenfte"
"_1007_p_isd","T0501040000000000","isd","Erwerbsunfaehigkeitsrente abgelehnt","Disability Benefits Declined","Disability Benefits Declined","Erwerbsunfaehigkeitsrente abgelehnt"
"_1008_p_isd","T0501040000000000","isd","Jahr Ablehnung d. Erwerbsunfaehigk.rente","Year Declined Disability Benefits","Year Declined Disability Benefits","Jahr Ablehnung d. Erwerbsunfaehigk.rente"
"_1009_p_dov","T0502020000000000","dov","Anzahl d. Besuche bei prakt. Arzt","Number Of Visits To General Practitioner","Number Of Visits To General Practitioner","Anzahl d. Besuche bei prakt. Arzt"
"_101_p_tim","T0901000000000000","tim","Nebenerwerbsttgkt,Sonntg.o.Ber.Tgkt,Std","Hours Sunday On Handicraft Work","Hours Sunday On Handicraft Work","Nebenerwerbsttgkt,Sonntg.o.Ber.Tgkt,Std"
"_1010_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Internisten","Number Of Visits To Internist","Number Of Visits To Internist","Anzahl d. Besuche beim Internisten"
"_1011_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Zahnarzt","Number Of Visits To Dentist","Number Of Visits To Dentist","Anzahl d. Besuche beim Zahnarzt"
"_1012_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Frauenarzt","Number Of Visits To Gynecologist","Number Of Visits To Gynecologist","Anzahl d. Besuche beim Frauenarzt"
"_1013_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim H-N-O Arzt","Number Of Visits To Ent Specialist","Number Of Visits To Ent Specialist","Anzahl d. Besuche beim H-N-O Arzt"
"_1014_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Orthopaeden","Number Of Visits To Orthopaedist","Number Of Visits To Orthopaedist","Anzahl d. Besuche beim Orthopaeden"
"_1015_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Hautarzt","Number Of Visits To Dermatologist","Number Of Visits To Dermatologist","Anzahl d. Besuche beim Hautarzt"
"_1016_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Urologen","Number Of Visits To Urologist","Number Of Visits To Urologist","Anzahl d. Besuche beim Urologen"
"_1017_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Augenarzt","Number Of Visits To Optometrist","Number Of Visits To Optometrist","Anzahl d. Besuche beim Augenarzt"
"_1018_p_dov","T0502020000000000","dov","Anzahl d. Besuche beim Roentgenarzt","Number Of Visits To Radiologist","Number Of Visits To Radiologist","Anzahl d. Besuche beim Roentgenarzt"
"_1019_p_dov","T0502020000000000","dov","Anzahl d. Besuche bei sonstigen Aerzten","Number Of Visits To Other Doctor","Number Of Visits To Other Doctor","Anzahl d. Besuche bei sonstigen Aerzten"
"_1031_p_vda","T0802020000000000","vda","Hoher Lebensstandard","Higher Standard Of Living","Higher Standard Of Living","Hoher Lebensstandard"
"_1032_p_vda","T0802020000000000","vda","Phantasie,Kreativit. entwickeln","Develop Creativity","Develop Creativity","Phantasie,Kreativit. entwickeln"
"_1033_p_vda","T0802020000000000","vda","Gesetz,Ordnung respektieren","Respect Law And Order","Respect Law And Order","Gesetz,Ordnung respektieren"
"_1034_p_vda","T0802020000000000","vda","Fuer benacht. Gruppen einsetzen","Support Disadvantaged Groups","Support Disadvantaged Groups","Fuer benacht. Gruppen einsetzen"
"_1035_p_vda","T0802020000000000","vda","Nach Sicherheit streben","Strive For Safety","Strive For Safety","Nach Sicherheit streben"
"_1036_p_vda","T0802020000000000","vda","Sich politisch engagieren","Be Politically Active","Be Politically Active","Sich politisch engagieren"
"_1037_p_vda","T0802020000000000","vda","Gute Dinge d. Lebens geniessen","Enjoy The Good Things In Life","Enjoy The Good Things In Life","Gute Dinge d. Lebens geniessen"
"_1038_p_vda","T0802020000000000","vda","Fleissig, ehrgeizig sein","Be Industrious,Ambitious","Be Industrious,Ambitious","Fleissig, ehrgeizig sein"
"_1039_p_vda","T0802020000000000","vda","Gefuehle offen zeigen, ausleben","Live Life To The Fullest","Live Life To The Fullest","Gefuehle offen zeigen, ausleben"
"_1040_p_vda","T0802020000000000","vda","And. Menschen helfen, nicht a.s.denken","Help Others","Help Others","And. Menschen helfen, nicht a.s.denken"
"_1041_p_vda","T0802020000000000","vda","Seine Beduerf. geg. andere durchsetzen","Assert Oneself","Assert Oneself","Seine Beduerf. geg. andere durchsetzen"
