study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-e3,0,,,"
Die Wissenschaft weiß vergleichsweise viel über Kinder im Schulalter, aber nur wenig über die sehr wichtige Zeit vor der Schule. In diesem kurzen Fragebogen geht es um Kinder, die im Jahr 2008 geboren wurden. Unsere Fragen beziehen sich auf Ihre persönlichen Erfahrungen und die Entwicklung Ihres Kindes. In der Regel sollte die (leibliche oder soziale) Mutter, die folgenden Fragen beantworten.
Ihre Mitarbeit ist freiwillig. 
Wir bitten Sie aber herzlich,
– unserem Mitarbeiter die Fragen zu beantworten 
– oder den Fragebogen sorgfältig selbst auszufüllen",,"Comparably the Scientific research has much knowledge about children in school age, but not so much knowledge about the period before the school attendance starts. This short questionnaire deals with children, who were born in 2008. Our questions refer to your personal experiences and the child's growth. Generally the (biological or adoptive)mother should answer the following questions.

The participation is voluntarily.
We cordially request you, to answer the questions for our Interviewer or to fill out the questionnaire by yourself accurately.",,txt,,,,,,
soep-core,soep-core-2014-e3,0,1,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,"Before handing in the questionnaire, please enter in accordance with the address log:",,txt,,,,,,
soep-core,soep-core-2014-e3,0,hnr,,Nr. des Haushalts:,,Household ID,,int,,,,hnr,,
soep-core,soep-core-2014-e3,0,mname,,Vorname der Mutter:,Bitte in Druckbuchstaben,Mother’s first name,Please complete using block capitals.,chr,,,,mname,,
soep-core,soep-core-2014-e3,0,mpnr,,Person Nr.:,,Person ID,,int,,,,mpnr,,
soep-core,soep-core-2014-e3,1,,,Wie heißt Ihr Kind?,Bitte in Druckbuchstaben,What’s your child's name?,Please complete using block capitals.,txt,,,,,,
soep-core,soep-core-2014-e3,1,cname,,Vorname des Kindes:,,Child’s first name,,chr,,,,cname,,
soep-core,soep-core-2014-e3,1,cpnr,,Personen Nr.:,,Person ID,,int,,,,cpnr,,
soep-core,soep-core-2014-e3,2,,,In welchem Jahr und Monat wurde Ihr Kind geboren?,,In what year and month was your child born?,,txt,,,,,,
soep-core,soep-core-2014-e3,2,cgebj,,2008,,2008,,bin,,,,cgebj,,
soep-core,soep-core-2014-e3,2,cgebm,,Monat,,Month,,int,,,,cgebm,,
