"study","dataset","variable","label","concept"
"soep-fid","f11pkal","f11p1c012","Education, Retraining Dec 2010","kal1c012"
"soep-fid","f11pkal","f11p1c02","Education, Retraining No. Months Prev. Yr.","kal1c02"
"soep-fid","f11pkal","f11p1d","Registered Unemployed Jan-Dec 2010","kal1d"
"soep-fid","f10eltern4","f10e419","Immer die gleiche Kinderbetreuungseinrichtung","e4eina"
"soep-fid","f10eltern4","f10e420","Anzahl der Wechsel der Kinderbetreuungseinrichtungen","e4einb"
"soep-fid","f11pkal","f11p1h02","Military, Comm. Service No. Months Prev. Yr.","kal1h02"
"soep-fid","f11pkal","f11p1i003","Full-Time Housework Mar 2010","kal1i003"
"soep-fid","f11pkal","f11p1i004","Full-Time Housework Apr 2010","kal1i004"
"soep-fid","f11pkal","f11p1i007","Full-Time Housework Jul 2010","kal1i007"
"soep-fid","f11pkal","f11p1i008","Full-Time Housework Aug 2010","kal1i008"
"soep-fid","f11pkal","f11p1i01","Full-Time Housework In Prev. Yr.","kal1i01"
"soep-fid","f11pkal","f11p1i010","Full-Time Housework Oct 2010","kal1i010"
"soep-fid","f11pkal","f11p1i011","Full-Time Housework Nov 2010","kal1i011"
"soep-fid","f11pkal","f11p1i012","Full-Time Housework Dec 2010","kal1i012"
"soep-fid","f10lela","f10l010","Alte Staatsangehoerigkeit","psta3nr"
"soep-fid","f11pkal","f11p1j006","Other Jun 2010","kal1j006"
"soep-fid","f11pkal","f11p1j007","Other Jul 2010","kal1j007"
"soep-fid","f11pkal","f11p1j008","Other Aug 2010","kal1j008"
"soep-fid","f10p","f10p080","Zeitdruck","pzdr"
"soep-fid","f10p","f10p038a","Angebot Betriebliche Kinderbetreuungsangebote","pfam21a"
"soep-fid","f10p","f10p038b","Angebot Finanzielle Unterstuetzung von Kinderbetreuung","pfam22a"
"soep-fid","f10p","f10p038e","Angebot Flexible Gestaltung des Arbeitsortes","pfam25a"
"soep-fid","f10p","f10p038f","Angebot Kontakt zum Betrieb waehrend Elternzeit","pfam26a"
"soep-fid","f10p","f10p038g","Angebot Vermittlung von HH-nahen Dienstleistungen","pfam27a"
"soep-fid","f10p","f10p038h","Angebot Chancengleichheitsbeauftragte","pfam28a"
"soep-fid","f10p","f10p038i","Angebot Unterstuetzung in Notfallsituationen","pfam29a"
"soep-fid","f10p","f10p038j","Angebot Beratungs- und Informationsangebote","pfam30a"
"soep-fid","f10p","f10p039a","Inanspruchnahme Betriebliche Kinderbetreuungsinanspruchnahmee","pfam21b"
"soep-fid","f10p","f10p039b","Inanspruchnahme Finanzielle Unterstuetzung von Kinderbetreuung","pfam22b"
"soep-fid","f10p","f10p039c","Inanspruchnahme Hilfe bei der Kinderbetreuung","pfam23b"
"soep-fid","f10p","f10p039d","Inanspruchnahme Kontakt zum Betrieb waehrend Elternzeit","pfam26b"
"soep-fid","f10p","f10p039e","Inanspruchnahme Vermittlung von HH-nahen Dienstleistungen","pfam27b"
"soep-fid","f10p","f10p039f","Inanspruchnahme Chancengleichheitsbeauftragte","pfam28b"
"soep-fid","f10p","f10p039g","Inanspruchnahme Unterstuetzung in Notfallsituationen","pfam29b"
"soep-fid","f10p","f10p039h","Inanspruchnahme Beratungs- und Informationsinanspruchnahmee","pfam30b"
"soep-fid","f10p","f10p051","Wuerde Arbeitszeit gerne beibehalten/verringern/erhoehen","paz14a"
"soep-fid","f10p","f10p077","Derzeit schwanger","pschw"
"soep-fid","f10p","f10p094","Riester-Rente Einzahlungen 2009","priesta"
"soep-fid","f10p","f10p095","Riester-Rente Kinderzulage","priestb"
"soep-fid","f10p","f10p102l","Sorgen wirtschaftliche Zukunft Ihrer Kinder","psor16"
"soep-fid","f10p","f10p102m","Sorgen Qualitaet der oeffentlichen Betreuungsangebote","psor17"
"soep-fid","f11pkal","f11p1m012","On-the-Job Training, Retraining Dec 2010","kal1m012"
"soep-fid","f10p","f10p001a","Zufriedenheit Gesundheit","pzuf01"
"soep-fid","f10p","f10p001b","Zufriedenheit Schlaf","pzuf20"
"soep-fid","f10p","f10p001c","Zufriedenheit Arbeit","pzuf02"
"soep-fid","f10p","f10p001d","Zufriedenheit HH-Taetigk.","pzuf03"
"soep-fid","f10p","f10p001e","Zufriedenheit HH-Einkommen","pzuf04"
"soep-fid","f10p","f10p001f","Zufriedenheit mit persoenlichem Einkommen","pzuf05"
"soep-fid","f10p","f10p001g","Zufriedenheit Wohnung","pzuf07"
"soep-fid","f10p","f10p001h","Zufriedenheit Freizeit","pzuf08"
"soep-fid","f10p","f10p001i","Zufriedenheit Familienleben","pzuf13"
"soep-fid","f10p","f10p001j","Zufriedenheit Kinderbetreuung","pzuf09"
"soep-fid","f10p","f10p001k","Zufriedenheit Demokratie","pzuf12"
"soep-fid","f10p","f10p003a","Beruf, Lehre, Nebenerw.: Std., Werktg.","pwerk1"
"soep-fid","f10p","f10p003b","Besorgungen Std., Werktg.","pwerk2"
"soep-fid","f10p","f10p003c","Hausarbeit Std., Werktg.","pwerk3"
"soep-fid","f10p","f10p003d","Kinderbetreuung Std., Werktg.","pwerk4"
"soep-fid","f10p","f10p087e","Keine Fehltage ausser Urlaub u. eigene Krankheit","pkr22"
"soep-fid","f10p","f10p090","Private Zusatzversicherung","pkv04"
"soep-fid","f10p","f10p091","Versichertenstatus, private Krankenversicherung","ppkv01"
"soep-fid","f10p","f10p092a","Monatsbeitrag private Krankenversicherung","ppkv02"
"soep-fid","f10p","f10p092b","Montatsbeitrag private Krankenversicherung unbekannt","ppkv03"
"soep-fid","f10p","f10p012","Erwerbstaetigkeit Interesse","pnerw04"
"soep-fid","f10p","f10p097","Persoenliche Risikobereitschaft","prisk"
"soep-fid","f10p","f10p098","Wahlbeteiligung","pwahl"
"soep-fid","f10p","f10p102a","Sorgen allgemeine wirtschaftliche Entwicklung","psor01"
"soep-fid","f10p","f10p102b","Sorgen eigene wirtschaftliche Situation","psor02"
"soep-fid","f10p","f10p102c","Sorgen eigene Gesundheit","psor03"
"soep-fid","f10p","f10p102d","Sorgen Umweltschutz","psor04"
"soep-fid","f10p","f10p102e","Sorgen Klimawandel","psor14"
"soep-fid","f10p","f10p102f","Sorgen Friedenserhaltung","psor05"
"soep-fid","f10p","f10p102g","Sorgen Kriminalitaetsentwicklung in Deutschland","psor06"
"soep-fid","f10p","f10p102h","Sorgen Zuwanderung","psor08"
"soep-fid","f10p","f10p102i","Sorgen Auslaenderfeindlichkeit","psor09"
"soep-fid","f10p","f10p014a","Hoehe Nettoverdienst fuer Stellenannahme","pnerw07"
"soep-fid","f10p","f10p103c1","An Ehepartner Zahlung","punt31"
