"concept","label","topic"
"e4eina","Immer die gleiche Kinderbetreuungseinrichtung","T0610020100000000"
"e4einb","Anzahl der Wechsel der Kinderbetreuungseinrichtungen","T0610020100000000"
"psta3nr","Alte Staatsangehoerigkeit","T1001010200000000"
"pzdr","Zeitdruck","T0501060000000000"
"pfam21a","Angebot Betriebliche Kinderbetreuungsangebote","T0204030000000000"
"pfam22a","Angebot Finanzielle Unterstuetzung von Kinderbetreuung","T0204030000000000"
"pfam25a","Angebot Flexible Gestaltung des Arbeitsortes","T0204030000000000"
"pfam26a","Angebot Kontakt zum Betrieb waehrend Elternzeit","T0204030000000000"
"pfam27a","Angebot Vermittlung von HH-nahen Dienstleistungen","T0204030000000000"
"pfam28a","Angebot Chancengleichheitsbeauftragte","T0204030000000000"
"pfam29a","Angebot Unterstuetzung in Notfallsituationen","T0204030000000000"
"pfam30a","Angebot Beratungs- und Informationsangebote","T0204030000000000"
"pfam21b","Inanspruchnahme Betriebliche Kinderbetreuungsinanspruchnahmee","T0204030000000000"
"pfam22b","Inanspruchnahme Finanzielle Unterstuetzung von Kinderbetreuung","T0204030000000000"
"pfam23b","Inanspruchnahme Hilfe bei der Kinderbetreuung","T0204030000000000"
"pfam26b","Inanspruchnahme Kontakt zum Betrieb waehrend Elternzeit","T0204030000000000"
"pfam27b","Inanspruchnahme Vermittlung von HH-nahen Dienstleistungen","T0204030000000000"
"pfam28b","Inanspruchnahme Chancengleichheitsbeauftragte","T0204030000000000"
"pfam29b","Inanspruchnahme Unterstuetzung in Notfallsituationen","T0204030000000000"
"pfam30b","Inanspruchnahme Beratungs- und Informationsinanspruchnahmee","T0204030000000000"
"paz14a","Wuerde Arbeitszeit gerne beibehalten/verringern/erhoehen","T0204030000000000"
"pschw","Derzeit schwanger","T0501090000000000"
"priesta","Riester-Rente Einzahlungen 2009","T0303050000000000"
"priestb","Riester-Rente Kinderzulage","T0303050000000000"
"psor16","Sorgen wirtschaftliche Zukunft Ihrer Kinder","T0801040000000000"
"psor17","Sorgen Qualitaet der oeffentlichen Betreuungsangebote","T0801040000000000"
"pnr","Laufende Personennummer der Mutter/des Vaters","T1101000000000000"
"e2arz3","Keine aerztl. Hilfe erste 3 Monate","T0502060000000000"
"e2unt","Letzte durchgefuehrte U-Untersuchung","T0502060000000000"
"e2untno","Keine U-Untersuchung","T0502060000000000"
"e2ges3","Krankenhausaufenthalt letzte 12 Monate","T0501100000000000"
"e2ges4","Anzahl Tage im KH letzte 12 Monate","T0502060000000000"
"e2arz1","Aerztliche Hilfe letzte 3 Monate","T0502060000000000"
"e2arz2a","Anzahl aerztl. Hilfe i. d. letzten 3 Monaten","T0502060000000000"
"hi03b","Fernseher Anschaffung Kosten",""
"hi05b","DVD-Player Anschaffung Kosten",""
"hi16b","DVD-Recorder Anschaffung Kosten",""
"hi07b","PC/Laptop Anschaffung Kosten",""
"hi17b","Breitband-Internet Anschaffung Kosten",""
"hi08b","Langsames Internet Anschaffung Kosten",""
"e1","Bearbeitungsergebnis Elternfragebogen 1 (0-1 Jahre)","T1105000000000000"
"e2","Bearbeitungsergebnis Elternfragebogen 2 (1-2 Jahre)","T1105000000000000"
"e3","Bearbeitungsergebnis Elternfragebogen 3 (2-3 Jahre)","T1105000000000000"
"e4","Bearbeitungsergebnis Elternfragebogen 4 (5-6 Jahre)","T1105000000000000"
"e5","Bearbeitungsergebnis Elternfragebogen 5 (7-8 Jahre)","T1105000000000000"
"e6","Bearbeitungsergebnis Elternfragebogen 6 (9-10 Jahre)","T1105000000000000"
"haus03b","Ausgaben Bekleidung/Schuhe monatlich",""
"haus05ka","Ausgaben Gesundheit k.A.",""
"haus06a","Ausgaben Telekommunikation",""
"e2arz2","Anzahl aerztl. Hilfe erste 3 Monate","T0502060000000000"
"e2arz3","Keine aerztl. Hilfe erste 3 Monate","T0502060000000000"
"e2ges1","Krankenhaus erste 3 Monate","T0501100000000000"
"e2stil2","Monate Kind gestillt","T0501090000000000"
"e2storu","Erstmals bei Untersuchung U","T0502060000000000"
"e2unt","Letzte durchgefuehrte U-Untersuchung","T0502060000000000"
"e2untno","Keine U-Untersuchung","T0502060000000000"
"haus09b","Ausgaben Freizeit, Hobbies, Sport, Garten, Tiere monatlich",""
"fid_","Partner Status in 2010","T1101000000000000"
"fid_","Type of tertiary degree","T0702030000000000"
"fid_","Field of tertiary education","T0702030000000000"
"e2pnr","Laufende Personennummer des Kindes","T1101000000000000"
"pnr","Laufende Personennummer der Mutter/des Vaters","T1101000000000000"
"fid_","Apprenticeship - two-digit occupation KldB92","T0702030000000000"
"e2stil2","Monate Kind gestillt","T0501090000000000"
"e2storu","Erstmals bei Untersuchung U","T0502060000000000"
"e2unt","Letzte durchgefuehrte     U-Untersuchung","T0502060000000000"
"e2untno","Keine U-Untersuchung","T0502060000000000"
"e2arz2","Anzahl aerztl. Hilfe erste 3 Monate","T0502060000000000"
"e2arz3","Keine aerztl. Hilfe erste 3 Monate","T0502060000000000"
"e2ges1","Krankenhaus erste 3 Monate","T0501100000000000"
"e2ges2","Anzahl Tage Krankenhaus","T0501100000000000"
"fid_","Civil servant training - two-digit occupation KldB92","T0702030000000000"
"e2ges3","Krankenhausaufenthalt letzte 12 Monate","T0501100000000000"
"e2ges4","Anzahl Tage im KH letzte 12 Monate","T0501100000000000"
"e2arz1","Aerztliche Hilfe letzte 3 Monate","T0502060000000000"
"e2arz2a","Anzahl aerztl. Hilfe i. d. letzten 3 Monaten","T0502060000000000"
"e2pnr","Laufende Personennummer des Kindes","T1101000000000000"
"e2pnr","Laufende Personennummer des Kindes","T1101000000000000"
"e6not1","Schulnote Deutsch","T0704020000000000"
"e6not2","Schulnote Mathematik","T0704020000000000"
"e5sch21","Kind versteht sich gut mit Klassenkameraden (nur SC2010)","T0704020000000000"
"e5sch24","Kind kommt mit Lehrer/in gut aus (nur SC2010)","T0704020000000000"
"e6ges1","Krankenhausaufenthalt letzte 12 Monate","T0501100000000000"
"e6ges2","Dauer Krankenhausaufent i. d. letzten 12 Mon. in Tg","T0502060000000000"
"e6arz1","Aerztl. Hilfe i. d. letzten 3 Monaten","T0502060000000000"
"e6arz2","Anzahl aerztl. Hilfe i. d. letzten 3 Monaten","T0502060000000000"
"fid_","Short-Time working Jan-Dec 2009","T0202020300000000"
"e6tg1","Kind erhaelt Taschengeld","T0405000000000000"
"e6tg2","Hoehe des Taschengeldes woechentl.","T0405000000000000"
"e6tg3","Hoehe des Taschengeldes monatl.","T0405000000000000"
"e6form","Art des Interviews","T1106000000000000"
"e6pnr","Lfde Personen-Nr. des Kindes","T0406040100000000"
