study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-vp,0,,,"Als erstes möchten wir – das Team ""Leben in Deutschland"" – Ihnen unser aufrichtiges Bedauern über den Verlust Ihres Angehörigen zum Ausdruck bringen.
Für viele Menschen ist es schwer, über das Thema Sterben und Tod mit fremden Menschen zu sprechen. Da aber in der Wissenschaft viel zu wenig über dieses Thema bekannt ist, bitten wir Sie, hierzu einige Fragen zu beantworten. 
Wir würden gerne etwas mehr zum letzten Lebensabschnitt der verstorbenen Person erfahren.Wir bitten Sie herzlich,
– unserem Mitarbeiter die Fragen zu beantworten 
– oder den Fragebogen sorgfältig selbst auszufüllen.",,"First of all we, the team of „Living in Germany“, want to express our deepest regret for the loss of your family member. For many people it is very hard to talk to stranges about dying and death. Nevertheless because of the inadequate knowledge in the scientific community about this topic we would like to aks a couple of questions. We would like to know more about the last phase of your relatives live.
Therefor we ask you kindly to answer our representative the following questions or carfully fill out this questionnaire by yourself.",,txt,,,,,,
soep-core,soep-core-2014-vp,0,1,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,Please enter according to address protocol.,,txt,,,,,,
soep-core,soep-core-2014-vp,0,hnr,,Nr. des Haushalts:,,Household number,,int,,,,hnr,,
soep-core,soep-core-2014-vp,0,name,,Vorname der Auskunftsperson:,Bitte in Druckbuchstaben,First name,,chr,,,,name,,
soep-core,soep-core-2014-vp,0,pnr,,Personen Nr.,,Person number,,int,,,,pnr,,
soep-core,soep-core-2014-vp,1,,,"Bitte geben Sie den Vornamen, das Geschlecht und Geburtsjahr der verstorbenen Person an:",,"Please state the first name, sex, and year of birth of the deceased person:",,txt,,,,,,1
soep-core,soep-core-2014-vp,1,vname,,Vorname der verstorbenen Person:,,First name of the deceased person,Please print,chr,,,,vname,,1
soep-core,soep-core-2014-vp,1,3,,Geschlecht und Geburtsjahr:,,Sex and year of birth:,,txt,,,,,,1
soep-core,soep-core-2014-vp,1,vsex,,,,,,cat,vsex,,,vsex,,1
soep-core,soep-core-2014-vp,1,vgebj,,Geburtsjahr,,Year of birth:,,int,,,,vgebj,,1
soep-core,soep-core-2014-vp,2,,,"In welchem Verwandtschaftsverhältnis standen Sie zu der verstorbenen Person? 
Der / die Verstorbene war...",,"What was your relationship to the deceased person?
He / She was …",,cat,vfam,,,vfam,,2
soep-core,soep-core-2014-vp,2,vfamso,,[andere Person] und zwar:,,Other person:,,chr,,2;vfam=4,,vfamso,"Filter:
ASK ONLY IF Q201 : VFAM=4
",2
soep-core,soep-core-2014-vp,3,,,"Wie alt war Ihr(e) Angehörige(r), als er / sie verstarb?",,How old was your relative when he/she died?,,txt,,,,,,3
soep-core,soep-core-2014-vp,3,valt,,Jahre,,Years,,int,,,,valt,,3
soep-core,soep-core-2014-vp,4,,,Hat der / die Verstorbene hier im Haushalt gelebt?,,Did the deceased person live in this household?,,cat,vinhh,,1 @ 9,vinhh,"Routing:
*IF [Q4000,1] **GOTO BLOCK 900
",4
soep-core,soep-core-2014-vp,5,,,"Wissen Sie, ob der / die Verstorbene jemals an der Studie ""Leben in Deutschland"" teilgenommen hat?",,"Do you know whether he/she ever participated in the study ""Living in Germany""?",,cat,vlid,4;vinhh=2,,vlid,,5
soep-core,soep-core-2014-vp,6,,,In welchem häuslichen Umfeld hat der / die Verstorbene während des letzten Lebensjahres vorwiegend gelebt?,,What was the primary living environment of the deceased person in the last few years?,,cat,vleb01,,,vleb01,,6
soep-core,soep-core-2014-vp,6,vleb02,,[Sonstiges Umfeld] und zwar:,,Other:,,chr,,6;vleb01=7,,vleb02,"Filter:
ASK ONLY IF Q601 : VLEB01=7
",602
soep-core,soep-core-2014-vp,7,,,Wo hat der / die Verstorbene da gelebt?,,Where did he/she live?,,cat,vleb03,,,vleb03,,7
soep-core,soep-core-2014-vp,8,,,"Während der letzten zwölf Monate ihres / seines Lebens: wie oft hatten Sie da in der Regel
persönlichen Kontakt zu dem / der Verstorbenen, sei es durch Besuche, telefonisch oder schriftlich?",,"Within the last 12 month of his/her life: How often were you in touch with the deceased person (whether by visiting, talking on the phone, or writing)?",,cat,vkont,,,vkont,,8
soep-core,soep-core-2014-vp,9,,,Wo ist Ihr Angehöriger / Ihre Angehörige verstorben?,,Where did he/she die?,,cat,vwo,,,vwo,,9
soep-core,soep-core-2014-vp,9,vwoso,,[An einem anderen Ort] und zwar:,,Somewhere else:,,chr,,9;vwo=6,,vwoso,"Filter:
ASK ONLY IF Q901 : VWO=6
",9
soep-core,soep-core-2014-vp,10,,,"Können Sie uns bitte sagen, was die Todesursache war?",Mehrfachnennung möglich!,Can you tell me what the cause of death was?,Multiple responses possible!,txt,,,,,,10
soep-core,soep-core-2014-vp,10,vurs01,,Ein Herzinfarkt,,Heart attack,,bin,,,,vurs01,,10
soep-core,soep-core-2014-vp,10,vurs02,,Eine Herz-Kreislauf-Erkrankung,,Cardiovascular disease,,bin,,,,vurs02,,10
soep-core,soep-core-2014-vp,10,vurs03,,Eine Krebserkrankung,,Cancer,,bin,,,,vurs03,,10
soep-core,soep-core-2014-vp,10,vurs04,,Ein Schlaganfall,,Stroke,,bin,,,,vurs04,,10
soep-core,soep-core-2014-vp,10,vurs05,,"Eine schwere Infektionskrankheit (z.B. Lungenentzündung, Grippe)",,"Severe infectious disease (such as pneumonia, flu)",,bin,,,,vurs05,,10
soep-core,soep-core-2014-vp,10,vurs06,,Krankheit des Magen-Darm-Traktes,,Gastrointestinal disease,,bin,,,,vurs06,,10
soep-core,soep-core-2014-vp,10,vurs07,,Eine Atemwegserkrankung,,Respiratory illness,,bin,,,,vurs07,,10
soep-core,soep-core-2014-vp,10,vurs08,,Ein Unfall,,Accident,,bin,,,,vurs08,,10
soep-core,soep-core-2014-vp,10,vurs09,,Sonstige Ursache,,Other,,bin,,,,vurs09,,10
soep-core,soep-core-2014-vp,10,vurs11,,Weiß nicht,,Do not know,,bin,,,,vurs11,,10
soep-core,soep-core-2014-vp,10,vurs10,,[Sonstige Ursache] und zwar:,,Other reason:,,chr,,10:vurs09=1,,vurs10,"Filter:
ASK ONLY IF Q1001 : VURS XX=9
",10
soep-core,soep-core-2014-vp,11,,,Hatte der / die Verstorbene vorsorglich eine oder mehrere der folgenden Dokumente hinterlegt?,,Did the deceased leave any of the following legal documents?,,txt,,,,,,11
soep-core,soep-core-2014-vp,11,vdok01,,"Ein Testament, einen letzten Willen",,Last will and testament,,cat,vdok xx,,,vdok01,,11
soep-core,soep-core-2014-vp,11,vdok02,,Eine Patientenverfügung (mit Angaben über mögliche Krankheitsbehandlungen),,Living will (with instructions for medical care / use of death-delaying procedures)?,,cat,vdok xx,,,vdok02,,11
soep-core,soep-core-2014-vp,11,vdok03,,Eine Vorsorgevollmacht (z.B. für den Fall eines Verlustes der Einwilligungsfähigkeit),,Power of attorney (in the event of incapacity),,cat,vdok xx,,,vdok03,,11
soep-core,soep-core-2014-vp,11,vdok04,,Eine Sterbeverfügung (z.B. mit Angaben zur Bestattung),,Funeral / burial instructions,,cat,vdok xx,,,vdok04,,11
soep-core,soep-core-2014-vp,12,,,Hatte der/die Verstorbene unter schwerwiegenden Einschränkungen der geistigen Leistungsfähigkeit (z.B. Gedächtnisverlust) gelitten?,,Did the deceased have a mental disability?,,cat,vleist,,,vleist,,12
soep-core,soep-core-2014-vp,13,,,Wie gut würden Sie den Gesundheitszustand der verstorbenen Person etwa drei Monate vor dem Tod beschreiben?,,How was the deceased person's health three months before he/she died?,,cat,vges01,,,vges01,,13
soep-core,soep-core-2014-vp,14,,,War der / die Verstorbene etwa drei Monate vor dem Tod hilfe- oder pflegebedürftig?,,Was the deceased in need of assistance or care three months before he/she died?,,cat,vpfleg,,2 @ 16,vpfleg,"Routing:
*IF [Q14000,2] *GOTO 16000
",14
soep-core,soep-core-2014-vp,15,,,Bei welchen der folgenden Tätigkeiten brauchte der / die Verstorbene Hilfe? Brauchte Hilfe bei ...,,The person needed help with:,,txt,,14;vpfleg=1,,,,15
soep-core,soep-core-2014-vp,15,vhil1,,Besorgungen und Erledigungen außer Haus,,Errands outside the home,,bin,,,,vhil1,,15
soep-core,soep-core-2014-vp,15,vhil2,,"Haushaltsführung, Versorgung mit Mahlzeiten und Getränken",,"Running the household, preparing meals and drinks",,bin,,,,vhil2,,15
soep-core,soep-core-2014-vp,15,vhil3,,"Einfacheren Pflegetätigkeiten, z.B. Hilfe beim An- und Auskleiden, Waschen, Kämmen, Rasieren",,"Minor care, such as help with getting dressed, washing up, combing hair, shaving ",,bin,,,,vhil3,,15
