study,questionnaire,answer_list,value,label,label_de
soep-core,soep-core-2014-vp,vsex,1,Male,männlich
soep-core,soep-core-2014-vp,vsex,2,Female,weiblich
soep-core,soep-core-2014-vp,vfam,1,My mother / my father,meine Mutter / mein Vater
soep-core,soep-core-2014-vp,vfam,2,My spouse / life partner,mein Ehepartner / Lebenspartner
soep-core,soep-core-2014-vp,vfam,3,My daughter / my son,meine Tochter / mein Sohn
soep-core,soep-core-2014-vp,vfam,4,Other person,andere Person
soep-core,soep-core-2014-vp,vinhh,1,Yes,Ja
soep-core,soep-core-2014-vp,vinhh,2,No,Nein
soep-core,soep-core-2014-vp,vlid,1,"Yes, he/she participated","Ja, hat teilgenommen"
soep-core,soep-core-2014-vp,vlid,2,"No, he/she did not participate","Nein, hat nicht teilgenommen"
soep-core,soep-core-2014-vp,vlid,3,Don't know,Weiß nicht
soep-core,soep-core-2014-vp,vleb01,1,Alone in his/her own household,Allein im eigenen Haushalt
soep-core,soep-core-2014-vp,vleb01,2,Together with spouse / partner in private household,Zusammen mit Ehe- / Lebenspartner im eigenen Haushalt
soep-core,soep-core-2014-vp,vleb01,3,Together with other family members in private household,Zusammen mit sonstigen Familienangehörigen in Privathaushalt
soep-core,soep-core-2014-vp,vleb01,4,"In a senior living facility (“assisted living“, etc.)","In einer seniorengerechten Wohnanlage (z.B. „betreutes Wohnen"")"
soep-core,soep-core-2014-vp,vleb01,5,Retirement home / Nursing home,In einem Alten- / Pflegeheim
soep-core,soep-core-2014-vp,vleb01,6,"Clinic, hospital","In einer Klinik, in einem Krankenhaus"
soep-core,soep-core-2014-vp,vleb01,7,Other home environment,Sonstiges Umfeld
soep-core,soep-core-2014-vp,vleb03,1,In this home,Hier im Haus
soep-core,soep-core-2014-vp,vleb03,2,In the neighborhood,In der Nachbarschaft
soep-core,soep-core-2014-vp,vleb03,3,Nearby (less than an hour away on foot) ,"In näherer Entfernung, das heißt, innerhalb von einer Stunde zu Fuß erreichbar"
soep-core,soep-core-2014-vp,vleb03,4,Further away in Germany,Weiter entfernt in Deutschland
soep-core,soep-core-2014-vp,vleb03,5,Outside Germany,Im Ausland
soep-core,soep-core-2014-vp,vkont,1,Every day or almost every day,Täglich oder fast täglich
soep-core,soep-core-2014-vp,vkont,2,At least once a week,Mindestens einmal in der Woche
soep-core,soep-core-2014-vp,vkont,3,At least once a month,Mindestens einmal im Monat
soep-core,soep-core-2014-vp,vkont,4,Rarely,Seltener
soep-core,soep-core-2014-vp,vkont,5,Never,Gar nicht
soep-core,soep-core-2014-vp,vwo,1,At home,Zu Hause
soep-core,soep-core-2014-vp,vwo,2,In another private household than his/her own,In einem anderen privaten Haushalt als dem eigenen
soep-core,soep-core-2014-vp,vwo,3,In a hospital,In einem Krankenhaus
soep-core,soep-core-2014-vp,vwo,4,In a retirement home / nursing home,In einem Alten- / Pflegeheim
soep-core,soep-core-2014-vp,vwo,5,In a hospice,In einem Hospiz
soep-core,soep-core-2014-vp,vwo,6,Somewhere else,An einem anderen Ort
soep-core,soep-core-2014-vp,vwo,7,Don't know,Weiß nicht
soep-core,soep-core-2014-vp,vdok xx,1,Yes,Ja
soep-core,soep-core-2014-vp,vdok xx,2,No,Nein
soep-core,soep-core-2014-vp,vdok xx,3,Don't know,Weiß nicht
soep-core,soep-core-2014-vp,vleist,1,Yes,Ja
soep-core,soep-core-2014-vp,vleist,2,No,Nein
soep-core,soep-core-2014-vp,vleist,3,Don't know,Weiß nicht
soep-core,soep-core-2014-vp,vges01,1,Very good,Sehr gut
soep-core,soep-core-2014-vp,vges01,2,Good,Gut
soep-core,soep-core-2014-vp,vges01,3,Satisfactory,Zufriedenstellend
soep-core,soep-core-2014-vp,vges01,4,Poor,Weniger gut
soep-core,soep-core-2014-vp,vges01,5,Bad,Schlecht
soep-core,soep-core-2014-vp,vpfleg,1,Yes,Ja
soep-core,soep-core-2014-vp,vpfleg,2,No,Nein
soep-core,soep-core-2014-vp,vzul x,0,Completely dissatisfied 0,0  ganz und gar unzufrieden
soep-core,soep-core-2014-vp,vzul x,1,1,1
soep-core,soep-core-2014-vp,vzul x,2,2,2
soep-core,soep-core-2014-vp,vzul x,3,3,3
soep-core,soep-core-2014-vp,vzul x,4,4,4
soep-core,soep-core-2014-vp,vzul x,5,5,5
soep-core,soep-core-2014-vp,vzul x,6,6,6
soep-core,soep-core-2014-vp,vzul x,7,7,7
soep-core,soep-core-2014-vp,vzul x,8,8,8
soep-core,soep-core-2014-vp,vzul x,9,9,9
soep-core,soep-core-2014-vp,vzul x,10,Completely satisfied 10,10 ganz und gar zufrieden
soep-core,soep-core-2014-vp,vver,1,I am having to restructure my life completely,Ich muss mein Leben ganz neu ordnen
soep-core,soep-core-2014-vp,vver,2,Some things in my life have changed,Einige Dinge ändern sich nun in meinem Leben
soep-core,soep-core-2014-vp,vver,3,My life has not changed much,In meinem Leben ändert sich dadurch eher nichts
