study,dataset,variable,label,concept,questionnaire,question,item
soep-core,bevp,hhnr,Ursprungshaushaltsnummer,,,,
soep-core,bevp,persnr,Personennummer der Befragungsperson,,,,
soep-core,bevp,vpersnr,Personennummer der verstorbenen Person,,,,
soep-core,bevp,vpnr,Laufende Nummer(gen.) zu verstorbenen Personen,,,,
soep-core,bevp,welle,Erhebungsjahr,,,,
soep-core,bevp,sample1,Stichprobenkennzeichen,,,,
soep-core,bevp,hhnrakt,Aktuelle Haushaltsnummer (=BEHHNR),hnr,soep-core-2014-vp,0,hnr
soep-core,bevp,behhnr,Aktuelle Haushaltsnummer (=HHNRAKT),,,,
soep-core,bevp,bepnr,Laufende Nummer der Auskunftsperson,pnr,soep-core-2014-vp,0,pnr
soep-core,bevp,bevp0101,Geschlecht der verstorbenen Person,vsex,soep-core-2014-vp,1,vsex
soep-core,bevp,bevp0102,Geburtsjahr der verstorbenen Person,vgebj,soep-core-2014-vp,1,vgebj
soep-core,bevp,bevp0201,Verwandtschaftsverhaeltnis zur verstorb. Pers.,vfam,soep-core-2014-vp,2,
soep-core,bevp,bevp03,Alter der verstorbenen Person,valt,soep-core-2014-vp,3,valt
soep-core,bevp,bevp04,Lebte Verstorbene/r im hiesigen HH,vinhh,soep-core-2014-vp,4,
soep-core,bevp,bevp05,Verstorbene/r Teilnehmer am SOEP,vlid,soep-core-2014-vp,5,
soep-core,bevp,bevp06,Haeusl.Umfeld Verstorb.letztes Lebensjahr,vleb01,soep-core-2014-vp,6,
soep-core,bevp,bevp07,Lebensmittelpunkt der/des Verstorbenen,vleb03,soep-core-2014-vp,7,
soep-core,bevp,bevp08,Persoenl.Kontakt zu Verstorb.in letzten Jahr,vkont,soep-core-2014-vp,8,
soep-core,bevp,bevp09,Sterbeort,vwo,soep-core-2014-vp,9,
soep-core,bevp,bevp1001,Todesursache Herzinfarkt,vurs01,soep-core-2014-vp,10,vurs01
soep-core,bevp,bevp1002,Todesursache Herz-Kreislauf-Erkrankung,vurs02,soep-core-2014-vp,10,vurs02
soep-core,bevp,bevp1003,Todesursache Krebserkrankung,vurs03,soep-core-2014-vp,10,vurs03
soep-core,bevp,bevp1004,Todesursache Schlaganfall,vurs04,soep-core-2014-vp,10,vurs04
soep-core,bevp,bevp1005,Todesursache schwere Infektionskrankheit,vurs05,soep-core-2014-vp,10,vurs05
soep-core,bevp,bevp1006,Todesursache Magen-Darm-Trakt-Erkrankung,vurs06,soep-core-2014-vp,10,vurs06
soep-core,bevp,bevp1007,Todesursache Atemwegserkrankung,vurs07,soep-core-2014-vp,10,vurs07
soep-core,bevp,bevp1008,Todesursache Unfall,vurs08,soep-core-2014-vp,10,vurs08
soep-core,bevp,bevp1009,Todesursache sonstige Ursache,vurs09,soep-core-2014-vp,10,vurs09
soep-core,bevp,bevp1010,Todesursache unbekannt,vurs11,soep-core-2014-vp,10,vurs11
soep-core,bevp,bevp1101,Hinterlegung von Testament,vdok01,soep-core-2014-vp,11,vdok01
soep-core,bevp,bevp1102,Hinterlegung von Patientenverfuegung,vdok02,soep-core-2014-vp,11,vdok02
soep-core,bevp,bevp1103,Hinterlegung von Vorsorgevollmacht,vdok03,soep-core-2014-vp,11,vdok03
soep-core,bevp,bevp1104,Hinterlegung von Sterbeverfuegung,vdok04,soep-core-2014-vp,11,vdok04
soep-core,bevp,bevp12,Eingeschrkt. geistige Leistungsfaehigkeit bei V,vleist,soep-core-2014-vp,12,
soep-core,bevp,bevp13,Gesundheitszustand der/des V 3 Monate vor Tod,vges01,soep-core-2014-vp,13,
soep-core,bevp,bevp14,"V 3 Monate vor Tod hilfe-,pflegebeduerftig",vpfleg,soep-core-2014-vp,14,
soep-core,bevp,bevp1501,Hilfe bei Besorgg./Erledigg. ausser Haus,vhil1,soep-core-2014-vp,15,vhil1
soep-core,bevp,bevp1502,"Hilfe im HH, bei Zunahme Mahlzeiten/Trinken",vhil2,soep-core-2014-vp,15,vhil2
soep-core,bevp,bevp1503,"Hilfe bei einfacher Pflege: kleiden, waschen...",vhil3,soep-core-2014-vp,15,vhil3
soep-core,bevp,bevp1504,"Hilfe bei Umbetten, Stuhlgang",vhil4,soep-core-2014-vp,15,vhil4
soep-core,bevp,bevp1505,Hilfe Gesamt k.A.,,,,
soep-core,bevp,bevp1601,Zufriedenheit der/des V 1 Jahr vor Tod,vzule1,soep-core-2014-vp,16,vzule1
soep-core,bevp,bevp1602,Zufriedenheit der/des V 3 Monate vor Tod,vzule2,soep-core-2014-vp,16,vzule2
soep-core,bevp,bevp17,Veraenderung des pers. Lebens seit Tod,vver,soep-core-2014-vp,17,
soep-core,bevp,bevform,Befragungsart/Befragungsdurchfuehrung,vform,soep-core-2014-vp,A,vform
soep-core,bevp,bevdatt,Interviewtag,vdatt,soep-core-2014-vp,A,vdatt
soep-core,bevp,bevdatm,Interviewmonat,vdatm,soep-core-2014-vp,A,vdatm
soep-core,bevp,bevdatst,Interview beendet Uhrzeit (Stunde),vdatst,soep-core-2014-vp,A,vdatst
soep-core,bevp,bevdatmi,Interview beendet Uhrzeit (Minuten),vdatmi,soep-core-2014-vp,A,vdatmi
soep-core,bevp,intid,Interviewer ID,,,,
